	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-12-08	6761.0	short	1	True	1.0		
1	2005-12-09	6741.0	short	2	True	2.0	20.0	20.0
2	2005-12-12	6841.0	short	3	True	3.0	-200.0	-180.0
3	2005-12-13	6857.0	short	4	True	4.0	-48.0	-228.0
4	2005-12-14	6757.0	short	5	True	5.0	400.0	172.0
5	2005-12-15	6750.0	short	5			35.0	207.0
6	2005-12-16	6730.0	short	5			100.0	307.0
7	2005-12-19	6735.0	short	5			-25.0	282.0
8	2005-12-20	6510.0	short	5			1125.0	1407.0
9	2005-12-21	6572.0	short	5			-310.0	1097.0
10	2005-12-22	6547.0	short	5			125.0	1222.0
11	2005-12-23	6522.0	short	5			125.0	1347.0
12	2005-12-26		short	5			-0.0	1347.0
13	2005-12-27		short	5			-0.0	1347.0
14	2005-12-28	6649.0	short	5			-635.0	712.0
15	2005-12-29	6635.0	short	5			70.0	782.0
16	2005-12-30	6478.0	short	5			785.0	1567.0
17	2006-01-02		short	5			-0.0	1567.0
18	2006-01-03	6628.0	short	5			-750.0	817.0
19	2006-01-04	6678.0	short	5			-250.0	567.0
20	2006-01-05	6625.0	short	5			265.0	832.0
21	2006-01-06	6615.0	short	5			50.0	882.0
22	2006-01-09	6661.0	short	5			-230.0	652.0
23	2006-01-10	6610.0	short	5			255.0	907.0
24	2006-01-11	6665.0	short	5			-275.0	632.0
25	2006-01-12	6715.0	short	5			-250.0	382.0
26	2006-01-13	7135.0	short	5			-2100.0	-1718.0
27	2006-01-16	7240.0	short	5			-525.0	-2243.0
28	2006-01-17	7220.0	short	5			100.0	-2143.0
29	2006-01-18	7190.0	short	5			150.0	-1993.0
30	2006-01-19	7145.0	short	5			225.0	-1768.0
31	2006-01-20	7120.0	short	5			125.0	-1643.0
32	2006-01-23	7415.0	short	5			-1475.0	-3118.0
33	2006-01-24	7355.0	short	5			300.0	-2818.0
34	2006-01-25	7402.0	short	5			-235.0	-3053.0
35	2006-01-26	7200.0	short	5			1010.0	-2043.0
36	2006-01-27	7645.0	short	5			-2225.0	-4268.0
37	2006-01-30	7600.0	short	5			225.0	-4043.0
38	2006-01-31	7860.0	short	5			-1300.0	-5343.0
39	2006-02-01	7880.0	short	5			-100.0	-5443.0
40	2006-02-02	7905.0	short	5			-125.0	-5568.0
41	2006-02-03	7755.0	short	5			750.0	-4818.0
42	2006-02-06	7800.0	short	5			-225.0	-5043.0
43	2006-02-07	7604.0	short	5			980.0	-4063.0
44	2006-02-08	7579.0	short	4	True	1.0	125.0	-3938.0
45	2006-02-09	7903.0	short	3	True	2.0	-1296.0	-5234.0
46	2006-02-10	7827.0	short	2	True	3.0	228.0	-5006.0
47	2006-02-13	7776.0	short	1	True	4.0	102.0	-4904.0
48	2006-02-14	7750.5	short	0	True	5.0	25.5	-4878.5
49	2006-04-10	8635.0	long	1	True	1.0		
50	2006-04-11	8765.0	long	2	True	2.0	130.0	-4748.5
51	2006-04-12	8810.0	long	3	True	3.0	90.0	-4658.5
52	2006-04-13	8930.0	long	4	True	4.0	360.0	-4298.5
53	2006-04-14		long	4	True	5.0	0.0	-4298.5
54	2006-04-17		long	5			0.0	-4298.5
55	2006-04-18	9170.0	long	5			1200.0	-3098.5
56	2006-04-19	9180.0	long	5			50.0	-3048.5
57	2006-04-20	8975.0	long	5			-1025.0	-4073.5
58	2006-04-21	9125.0	long	5			750.0	-3323.5
59	2006-04-24	9325.0	long	5			1000.0	-2323.5
60	2006-04-25	9425.0	long	5			500.0	-1823.5
61	2006-04-26	9406.0	long	5			-95.0	-1918.5
62	2006-04-27	9216.0	long	5			-950.0	-2868.5
63	2006-04-28	9435.0	long	5			1095.0	-1773.5
64	2006-05-01		long	5			0.0	-1773.5
65	2006-05-02	9435.0	long	5			0.0	-1773.5
66	2006-05-03	9235.0	long	5			-1000.0	-2773.5
67	2006-05-04	9360.0	long	5			625.0	-2148.5
68	2006-05-05	9335.0	long	5			-125.0	-2273.5
69	2006-05-08	9285.0	long	5			-250.0	-2523.5
70	2006-05-09	9410.0	long	5			625.0	-1898.5
71	2006-05-10	9460.0	long	5			250.0	-1648.5
72	2006-05-11	9535.0	long	5			375.0	-1273.5
73	2006-05-12	9485.0	long	5			-250.0	-1523.5
74	2006-05-15	8990.0	long	5			-2475.0	-3998.5
75	2006-05-16	8975.0	long	5			-75.0	-4073.5
76	2006-05-17	8975.0	long	5			0.0	-4073.5
77	2006-05-18	8770.0	long	5			-1025.0	-5098.5
78	2006-05-19	8078.0	long	5			-3460.0	-8558.5
79	2006-05-22	8076.0	long	5			-10.0	-8568.5
80	2006-05-23	8525.0	long	5			2245.0	-6323.5
81	2006-05-24	8070.0	long	5			-2275.0	-8598.5
82	2006-05-25	7970.0	long	5			-500.0	-9098.5
83	2006-05-26	8270.0	long	5			1500.0	-7598.5
84	2006-05-29		long	5			0.0	-7598.5
85	2006-05-30	8069.0	long	5			-1005.0	-8603.5
86	2006-05-31	8248.0	long	5			895.0	-7708.5
87	2006-06-01	8145.0	long	5			-515.0	-8223.5
88	2006-06-02	8145.0	long	5			0.0	-8223.5
89	2006-06-05	8220.0	long	5			375.0	-7848.5
90	2006-06-06	8060.0	long	5			-800.0	-8648.5
91	2006-06-07	7860.0	long	5			-1000.0	-9648.5
92	2006-06-08	7865.0	long	5			25.0	-9623.5
93	2006-06-09	7940.0	long	5			375.0	-9248.5
94	2006-06-12	7865.0	long	5			-375.0	-9623.5
95	2006-06-13	7665.0	long	5			-1000.0	-10623.5
96	2006-06-14	7740.0	long	5			375.0	-10248.5
97	2006-06-15	7910.0	long	5			850.0	-9398.5
98	2006-06-16	7760.0	long	5			-750.0	-10148.5
99	2006-06-19	7760.0	long	5			0.0	-10148.5
100	2006-06-20	7685.0	long	5			-375.0	-10523.5
101	2006-06-21	7845.0	long	5			800.0	-9723.5
102	2006-06-22	7843.0	long	5			-10.0	-9733.5
103	2006-06-23	7768.0	long	5			-375.0	-10108.5
104	2006-06-26	7840.0	long	5			360.0	-9748.5
105	2006-06-27	7840.0	long	5			0.0	-9748.5
106	2006-06-28	7869.5	long	5			147.5	-9601.0
107	2006-06-29	7900.0	long	5			152.5	-9448.5
108	2006-06-30	8045.0	long	5			725.0	-8723.5
109	2006-07-03	8142.0	long	5			485.0	-8238.5
110	2006-07-04	8264.0	long	5			610.0	-7628.5
111	2006-07-05	8299.0	long	5			175.0	-7453.5
112	2006-07-06	8536.0	long	5			1185.0	-6268.5
113	2006-07-07	8632.0	long	5			480.0	-5788.5
114	2006-07-10	8684.0	long	4	True	1.0	260.0	-5528.5
115	2006-07-11	8859.0	long	3	True	2.0	700.0	-4828.5
116	2006-07-12	8825.0	long	2	True	3.0	-102.0	-4930.5
117	2006-07-13	8649.0	long	1	True	4.0	-352.0	-5282.5
118	2006-07-14	8749.0	long	0	True	5.0	100.0	-5182.5
