	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-01-08	19790.0	short	1	True	1.0		
1	2015-01-09	19560.0	short	2	True	2.0	230.0	230.0
2	2015-01-12	19915.0	short	3	True	3.0	-710.0	-480.0
3	2015-01-13	19540.0	short	4	True	4.0	1125.0	645.0
4	2015-01-14	19391.0	short	5	True	5.0	596.0	1241.0
5	2015-01-15	19366.0	short	5			125.0	1366.0
6	2015-01-16	19386.0	short	5			-100.0	1266.0
7	2015-01-19	19334.0	short	5			260.0	1526.0
8	2015-01-20	19459.0	short	5			-625.0	901.0
9	2015-01-21	19373.0	short	5			430.0	1331.0
10	2015-01-22	19508.0	short	5			-675.0	656.0
11	2015-01-23	19480.0	short	5			140.0	796.0
12	2015-01-26	19604.0	short	5			-620.0	176.0
13	2015-01-27	19314.0	short	5			1450.0	1626.0
14	2015-01-28	19254.0	short	5			300.0	1926.0
15	2015-01-29	19185.0	short	5			345.0	2271.0
16	2015-01-30	19035.0	short	5			750.0	3021.0
17	2015-02-02	18864.0	short	5			855.0	3876.0
18	2015-02-03	19034.0	short	5			-850.0	3026.0
19	2015-02-04	19015.0	short	5			95.0	3121.0
20	2015-02-05	18974.0	short	5			205.0	3326.0
21	2015-02-06	18515.0	short	5			2295.0	5621.0
22	2015-02-09	18258.0	short	5			1285.0	6906.0
23	2015-02-10	18214.0	short	5			220.0	7126.0
24	2015-02-11	17662.0	short	5			2760.0	9886.0
25	2015-02-12	18022.0	short	5			-1800.0	8086.0
26	2015-02-13	18297.0	short	5			-1375.0	6711.0
27	2015-02-16	18146.0	short	5			755.0	7466.0
28	2015-02-17	18071.0	short	5			375.0	7841.0
29	2015-02-18	18096.0	short	5			-125.0	7716.0
30	2015-02-19	18204.0	short	5			-540.0	7176.0
31	2015-02-20	17931.0	short	5			1365.0	8541.0
32	2015-02-23	18007.0	short	5			-380.0	8161.0
33	2015-02-24	18130.5	short	5			-617.5	7543.5
34	2015-02-25	18157.0	short	5			-132.5	7411.0
35	2015-02-26	18132.0	short	5			125.0	7536.0
36	2015-02-27	17985.0	short	5			735.0	8271.0
37	2015-03-02	17833.0	short	5			760.0	9031.0
38	2015-03-03	17886.0	short	5			-265.0	8766.0
39	2015-03-04	17834.0	short	5			260.0	9026.0
40	2015-03-05	18173.0	short	5			-1695.0	7331.0
41	2015-03-06	18136.0	short	5			185.0	7516.0
42	2015-03-09	18232.0	short	4	True	1.0	-480.0	7036.0
43	2015-03-10	17834.0	short	3	True	2.0	1592.0	8628.0
44	2015-03-11	17461.0	short	2	True	3.0	1119.0	9747.0
45	2015-03-12	17255.0	short	1	True	4.0	412.0	10159.0
46	2015-03-13	17335.0	short	0	True	5.0	-80.0	10079.0
47	2015-07-08	14215.0	long	1	True	1.0		
48	2015-07-09	14315.0	long	2	True	2.0	100.0	10179.0
49	2015-07-10	14265.0	long	3	True	3.0	-100.0	10079.0
50	2015-07-13	14620.0	long	4	True	4.0	1065.0	11144.0
51	2015-07-14	14750.0	long	5	True	5.0	520.0	11664.0
52	2015-07-15	14674.0	long	5			-380.0	11284.0
53	2015-07-16	15120.0	long	5			2230.0	13514.0
54	2015-07-17	15810.0	long	5			3450.0	16964.0
55	2015-07-20	15580.0	long	5			-1150.0	15814.0
56	2015-07-21	15355.0	long	5			-1125.0	14689.0
57	2015-07-22	14809.0	long	5			-2730.0	11959.0
58	2015-07-23	14975.0	long	5			830.0	12789.0
59	2015-07-24	15437.0	long	5			2310.0	15099.0
60	2015-07-27	15745.0	long	5			1540.0	16639.0
61	2015-07-28	16300.0	long	5			2775.0	19414.0
62	2015-07-29	16320.0	long	5			100.0	19514.0
63	2015-07-30	16255.0	long	5			-325.0	19189.0
64	2015-07-31	16380.0	long	5			625.0	19814.0
65	2015-08-03	16035.0	long	5			-1725.0	18089.0
66	2015-08-04	15805.0	long	5			-1150.0	16939.0
67	2015-08-05	15550.0	long	5			-1275.0	15664.0
68	2015-08-06	15540.0	long	5			-50.0	15614.0
69	2015-08-07	15330.0	long	5			-1050.0	14564.0
70	2015-08-10	15807.0	long	5			2385.0	16949.0
71	2015-08-11	15332.0	long	5			-2375.0	14574.0
72	2015-08-12	15157.0	long	5			-875.0	13699.0
73	2015-08-13	15030.0	long	5			-635.0	13064.0
74	2015-08-14	15500.0	long	5			2350.0	15414.0
75	2015-08-17	15625.0	long	5			625.0	16039.0
76	2015-08-18	15385.0	long	5			-1200.0	14839.0
77	2015-08-19	15470.0	long	5			425.0	15264.0
78	2015-08-20	15295.0	long	5			-875.0	14389.0
79	2015-08-21	15005.0	long	5			-1450.0	12939.0
80	2015-08-24	14190.0	long	5			-4075.0	8864.0
81	2015-08-25	14350.0	long	5			800.0	9664.0
82	2015-08-26	14010.0	long	5			-1700.0	7964.0
83	2015-08-27	13990.0	long	5			-100.0	7864.0
84	2015-08-28	14400.0	long	5			2050.0	9914.0
85	2015-08-31		long	5			0.0	9914.0
86	2015-09-01	14985.0	long	5			2925.0	12839.0
87	2015-09-02	15455.0	long	5			2350.0	15189.0
88	2015-09-03	15375.0	long	5			-400.0	14789.0
89	2015-09-04	15205.0	long	5			-850.0	13939.0
90	2015-09-07	15150.0	long	5			-275.0	13664.0
91	2015-09-08	15130.0	long	4	True	1.0	-100.0	13564.0
92	2015-09-09	15215.0	long	3	True	2.0	340.0	13904.0
93	2015-09-10	15735.0	long	2	True	3.0	1560.0	15464.0
94	2015-09-11	15740.0	long	1	True	4.0	10.0	15474.0
95	2015-09-14	15915.0	long	0	True	5.0	175.0	15649.0
