	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-03-08	19292.0	short	1	True	1.0		
1	2017-03-09	19182.0	short	2	True	2.0	110.0	110.0
2	2017-03-10	19257.0	short	3	True	3.0	-150.0	-40.0
3	2017-03-13	19327.0	short	4	True	4.0	-210.0	-250.0
4	2017-03-14	19852.0	short	5	True	5.0	-2100.0	-2350.0
5	2017-03-15	19757.0	short	5			475.0	-1875.0
6	2017-03-16	20047.0	short	5			-1450.0	-3325.0
7	2017-03-17	20110.0	short	5			-315.0	-3640.0
8	2017-03-20	20200.0	short	5			-450.0	-4090.0
9	2017-03-21	20195.0	short	5			25.0	-4065.0
10	2017-03-22	20240.0	short	5			-225.0	-4290.0
11	2017-03-23	20137.0	short	5			515.0	-3775.0
12	2017-03-24	19670.0	short	5			2335.0	-1440.0
13	2017-03-27	19355.0	short	5			1575.0	135.0
14	2017-03-28	19925.0	short	5			-2850.0	-2715.0
15	2017-03-29	20105.0	short	5			-900.0	-3615.0
16	2017-03-30	20070.0	short	5			175.0	-3440.0
17	2017-03-31	20105.0	short	5			-175.0	-3615.0
18	2017-04-03	19960.0	short	5			725.0	-2890.0
19	2017-04-04	19935.0	short	5			125.0	-2765.0
20	2017-04-05	19995.0	short	5			-300.0	-3065.0
21	2017-04-06	20215.0	short	5			-1100.0	-4165.0
22	2017-04-07	20135.0	short	5			400.0	-3765.0
23	2017-04-10	20175.0	short	5			-200.0	-3965.0
24	2017-04-11	19890.0	short	5			1425.0	-2540.0
25	2017-04-12	19325.0	short	5			2825.0	285.0
26	2017-04-13	19505.0	short	5			-900.0	-615.0
27	2017-04-14		short	5			-0.0	-615.0
28	2017-04-17		short	5			-0.0	-615.0
29	2017-04-18	19372.0	short	5			665.0	50.0
30	2017-04-19	19700.0	short	5			-1640.0	-1590.0
31	2017-04-20	19762.0	short	5			-310.0	-1900.0
32	2017-04-21	19648.0	short	5			570.0	-1330.0
33	2017-04-24	19530.0	short	5			590.0	-740.0
34	2017-04-25	19506.0	short	5			120.0	-620.0
35	2017-04-26	19792.0	short	5			-1430.0	-2050.0
36	2017-04-27	19695.0	short	5			485.0	-1565.0
37	2017-04-28	19780.0	short	5			-425.0	-1990.0
38	2017-05-01		short	5			-0.0	-1990.0
39	2017-05-02	19850.0	short	5			-350.0	-2340.0
40	2017-05-03	19790.0	short	5			300.0	-2040.0
41	2017-05-04	19740.0	short	5			250.0	-1790.0
42	2017-05-05	19445.0	short	5			1475.0	-315.0
43	2017-05-08	19540.0	short	4	True	1.0	-475.0	-790.0
44	2017-05-09	19515.0	short	3	True	2.0	100.0	-690.0
45	2017-05-10	19543.0	short	2	True	3.0	-84.0	-774.0
46	2017-05-11	19735.0	short	1	True	4.0	-384.0	-1158.0
47	2017-05-12	19690.0	short	0	True	5.0	45.0	-1113.0
48	2017-11-08	19482.0	long	1	True	1.0		
49	2017-11-09	19455.0	long	2	True	2.0	-27.0	-1140.0
50	2017-11-10	19455.0	long	3	True	3.0	0.0	-1140.0
51	2017-11-13	19531.0	long	4	True	4.0	228.0	-912.0
52	2017-11-14	19508.0	long	5	True	5.0	-92.0	-1004.0
53	2017-11-15	19368.0	long	5			-700.0	-1704.0
54	2017-11-16	19382.0	long	5			70.0	-1634.0
55	2017-11-17	19510.0	long	5			640.0	-994.0
56	2017-11-20	19510.0	long	5			0.0	-994.0
57	2017-11-21	19310.0	long	5			-1000.0	-1994.0
58	2017-11-22	19435.0	long	5			625.0	-1369.0
59	2017-11-23	19460.0	long	5			125.0	-1244.0
60	2017-11-24	19545.0	long	5			425.0	-819.0
61	2017-11-27	19560.0	long	5			75.0	-744.0
62	2017-11-28	19585.0	long	5			125.0	-619.0
63	2017-11-29	19570.0	long	5			-75.0	-694.0
64	2017-11-30	19675.0	long	5			525.0	-169.0
65	2017-12-01	19510.0	long	5			-825.0	-994.0
66	2017-12-04	19572.0	long	5			310.0	-684.0
67	2017-12-05	19572.0	long	5			0.0	-684.0
68	2017-12-06	19545.0	long	5			-135.0	-819.0
69	2017-12-07	19485.0	long	5			-300.0	-1119.0
70	2017-12-08	19510.0	long	5			125.0	-994.0
71	2017-12-11	19462.0	long	5			-240.0	-1234.0
72	2017-12-12	19227.0	long	5			-1175.0	-2409.0
73	2017-12-13	18855.0	long	5			-1860.0	-4269.0
74	2017-12-14	18955.0	long	5			500.0	-3769.0
75	2017-12-15	19180.0	long	5			1125.0	-2644.0
76	2017-12-18	19385.0	long	5			1025.0	-1619.0
77	2017-12-19	19405.0	long	5			100.0	-1519.0
78	2017-12-20	19530.0	long	5			625.0	-894.0
79	2017-12-21	19410.0	long	5			-600.0	-1494.0
80	2017-12-22	19600.0	long	5			950.0	-544.0
81	2017-12-25		long	5			0.0	-544.0
82	2017-12-26		long	5			0.0	-544.0
83	2017-12-27	19775.0	long	5			875.0	331.0
84	2017-12-28	20010.0	long	5			1175.0	1506.0
85	2017-12-29	20110.0	long	5			500.0	2006.0
86	2018-01-01		long	5			0.0	2006.0
87	2018-01-02	20125.0	long	5			75.0	2081.0
88	2018-01-03	19970.0	long	5			-775.0	1306.0
89	2018-01-04	19915.0	long	5			-275.0	1031.0
90	2018-01-05	20020.0	long	5			525.0	1556.0
91	2018-01-08	20025.0	long	4	True	1.0	25.0	1581.0
92	2018-01-09	19980.0	long	3	True	2.0	-180.0	1401.0
93	2018-01-10	20095.0	long	2	True	3.0	345.0	1746.0
94	2018-01-11	20240.0	long	1	True	4.0	290.0	2036.0
95	2018-01-12	20302.0	long	0	True	5.0	62.0	2098.0
