	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-01-08	5292.0	short	1	True	1.0		
1	2001-01-09	5352.0	short	2	True	2.0	-60.0	-60.0
2	2001-01-10	5388.0	short	3	True	3.0	-72.0	-132.0
3	2001-01-11	5388.0	short	4	True	4.0	-0.0	-132.0
4	2001-01-12	5371.5	short	5	True	5.0	66.0	-66.0
5	2001-01-15	5364.5	short	5			35.0	-31.0
6	2001-01-16	5344.0	short	5			102.5	71.5
7	2001-01-17	5339.0	short	5			25.0	96.5
8	2001-01-18	5359.0	short	5			-100.0	-3.5
9	2001-01-19	5359.0	short	5			-0.0	-3.5
10	2001-01-22	5323.0	short	5			180.0	176.5
11	2001-01-23	5327.0	short	5			-20.0	156.5
12	2001-01-24	5297.0	short	5			150.0	306.5
13	2001-01-25	5300.0	short	5			-15.0	291.5
14	2001-01-26	5290.0	short	5			50.0	341.5
15	2001-01-29	5262.0	short	5			140.0	481.5
16	2001-01-30	5277.0	short	5			-75.0	406.5
17	2001-01-31	5317.0	short	5			-200.0	206.5
18	2001-02-01	5303.0	short	5			70.0	276.5
19	2001-02-02	5283.0	short	5			100.0	376.5
20	2001-02-05	5279.0	short	5			20.0	396.5
21	2001-02-06	5268.0	short	5			55.0	451.5
22	2001-02-07	5268.0	short	5			-0.0	451.5
23	2001-02-08	5263.0	short	5			25.0	476.5
24	2001-02-09	5252.0	short	5			55.0	531.5
25	2001-02-12	5260.0	short	5			-40.0	491.5
26	2001-02-13	5307.0	short	5			-235.0	256.5
27	2001-02-14	5292.0	short	5			75.0	331.5
28	2001-02-15	5287.0	short	5			25.0	356.5
29	2001-02-16	5294.0	short	5			-35.0	321.5
30	2001-02-19	5281.0	short	5			65.0	386.5
31	2001-02-20	5268.0	short	5			65.0	451.5
32	2001-02-21	5243.0	short	5			125.0	576.5
33	2001-02-22	5242.0	short	5			5.0	581.5
34	2001-02-23	5241.0	short	5			5.0	586.5
35	2001-02-26	5246.0	short	5			-25.0	561.5
36	2001-02-27	5216.0	short	5			150.0	711.5
37	2001-02-28	5241.0	short	5			-125.0	586.5
38	2001-03-01	5261.0	short	5			-100.0	486.5
39	2001-03-02	5261.0	short	5			-0.0	486.5
40	2001-03-05	5266.0	short	5			-25.0	461.5
41	2001-03-06	5234.0	short	5			160.0	621.5
42	2001-03-07	5215.0	short	5			95.0	716.5
43	2001-03-08	5205.0	short	4	True	1.0	50.0	766.5
44	2001-03-09	5215.0	short	3	True	2.0	-40.0	726.5
45	2001-03-12	5221.0	short	2	True	3.0	-18.0	708.5
46	2001-03-13	5200.0	short	1	True	4.0	42.0	750.5
47	2001-03-14	5194.5	short	0	True	5.0	5.5	756.0
48	2001-09-10	3761.0	long	1	True	1.0		
49	2001-09-11	3816.0	long	2	True	2.0	55.0	811.0
50	2001-09-12	3700.5	long	3	True	3.0	-231.0	580.0
51	2001-09-13	3725.0	long	4	True	4.0	73.5	653.5
52	2001-09-14	3750.0	long	5	True	5.0	100.0	753.5
53	2001-09-17	3688.0	long	5			-310.0	443.5
54	2001-09-18	3704.0	long	5			80.0	523.5
55	2001-09-19	3664.0	long	5			-200.0	323.5
56	2001-09-20	3649.0	long	5			-75.0	248.5
57	2001-09-21	3629.25	long	5			-98.75	149.75
58	2001-09-24	3636.5	long	5			36.25	186.0
59	2001-09-25	3636.5	long	5			0.0	186.0
60	2001-09-26	3639.0	long	5			12.5	198.5
61	2001-09-27	3672.0	long	5			165.0	363.5
62	2001-09-28	3741.0	long	5			345.0	708.5
63	2001-10-01	3698.0	long	5			-215.0	493.5
64	2001-10-02	3679.0	long	5			-95.0	398.5
65	2001-10-03	3648.5	long	5			-152.5	246.0
66	2001-10-04	3673.5	long	5			125.0	371.0
67	2001-10-05	3707.5	long	5			170.0	541.0
68	2001-10-08	3726.0	long	5			92.5	633.5
69	2001-10-09	3739.0	long	5			65.0	698.5
70	2001-10-10	3738.0	long	5			-5.0	693.5
71	2001-10-11	3773.0	long	5			175.0	868.5
72	2001-10-12	3808.0	long	5			175.0	1043.5
73	2001-10-15	3786.0	long	5			-110.0	933.5
74	2001-10-16	3780.5	long	5			-27.5	906.0
75	2001-10-17	3871.5	long	5			455.0	1361.0
76	2001-10-18	3875.0	long	5			17.5	1378.5
77	2001-10-19	3764.0	long	5			-555.0	823.5
78	2001-10-22	3748.0	long	5			-80.0	743.5
79	2001-10-23	3794.0	long	5			230.0	973.5
80	2001-10-24	3791.0	long	5			-15.0	958.5
81	2001-10-25	3803.5	long	5			62.5	1021.0
82	2001-10-26	3825.0	long	5			107.5	1128.5
83	2001-10-29	3805.0	long	5			-100.0	1028.5
84	2001-10-30	3766.0	long	5			-195.0	833.5
85	2001-10-31	3765.0	long	5			-5.0	828.5
86	2001-11-01	3823.0	long	5			290.0	1118.5
87	2001-11-02	3829.0	long	5			30.0	1148.5
88	2001-11-05	3972.5	long	5			717.5	1866.0
89	2001-11-06	3916.0	long	5			-282.5	1583.5
90	2001-11-07	3885.0	long	5			-155.0	1428.5
91	2001-11-08	3956.0	long	4	True	1.0	355.0	1783.5
92	2001-11-09	3965.5	long	3	True	2.0	38.0	1821.5
93	2001-11-12	3955.0	long	2	True	3.0	-31.5	1790.0
94	2001-11-13	4158.0	long	1	True	4.0	406.0	2196.0
95	2001-11-14	4181.0	long	0	True	5.0	23.0	2219.0
