	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2014-03-10	22772.0	short	1	True	1.0		
1	2014-03-11	22755.0	short	2	True	2.0	17.0	17.0
2	2014-03-12	22825.0	short	3	True	3.0	-140.0	-123.0
3	2014-03-13	22822.0	short	4	True	4.0	9.0	-114.0
4	2014-03-14	22842.0	short	5	True	5.0	-80.0	-194.0
5	2014-03-17	22912.0	short	5			-350.0	-544.0
6	2014-03-18	23097.0	short	5			-925.0	-1469.0
7	2014-03-19	23167.0	short	5			-350.0	-1819.0
8	2014-03-20	22942.5	short	5			1122.5	-696.5
9	2014-03-21	22767.5	short	5			875.0	178.5
10	2014-03-24	22868.0	short	5			-502.5	-324.0
11	2014-03-25	23138.0	short	5			-1350.0	-1674.0
12	2014-03-26	22901.0	short	5			1185.0	-489.0
13	2014-03-27	22707.0	short	5			970.0	481.0
14	2014-03-28	22768.0	short	5			-305.0	176.0
15	2014-03-31	22696.0	short	5			360.0	536.0
16	2014-04-01	22852.0	short	5			-780.0	-244.0
17	2014-04-02	22883.0	short	5			-155.0	-399.0
18	2014-04-03	23123.0	short	5			-1200.0	-1599.0
19	2014-04-04	23083.0	short	5			200.0	-1399.0
20	2014-04-07	23150.0	short	5			-335.0	-1734.0
21	2014-04-08	23130.0	short	5			100.0	-1634.0
22	2014-04-09	23169.0	short	5			-195.0	-1829.0
23	2014-04-10	23318.0	short	5			-745.0	-2574.0
24	2014-04-11	23308.0	short	5			50.0	-2524.0
25	2014-04-14	23350.0	short	5			-210.0	-2734.0
26	2014-04-15	23296.0	short	5			270.0	-2464.0
27	2014-04-16	23371.0	short	5			-375.0	-2839.0
28	2014-04-17	23323.0	short	5			240.0	-2599.0
29	2014-04-18		short	5			-0.0	-2599.0
30	2014-04-21		short	5			-0.0	-2599.0
31	2014-04-22	23549.0	short	5			-1130.0	-3729.0
32	2014-04-23	23631.0	short	5			-410.0	-4139.0
33	2014-04-24	23640.0	short	5			-45.0	-4184.0
34	2014-04-25	23515.0	short	5			625.0	-3559.0
35	2014-04-28	23494.0	short	5			105.0	-3454.0
36	2014-04-29	23089.0	short	5			2025.0	-1429.0
37	2014-04-30	22844.0	short	5			1225.0	-204.0
38	2014-05-01	22749.0	short	5			475.0	271.0
39	2014-05-02	22989.0	short	5			-1200.0	-929.0
40	2014-05-05		short	5			-0.0	-929.0
41	2014-05-06	23061.0	short	5			-360.0	-1289.0
42	2014-05-07	22996.0	short	5			325.0	-964.0
43	2014-05-08	23115.0	short	4	True	1.0	-595.0	-1559.0
44	2014-05-09	22950.0	short	3	True	2.0	660.0	-899.0
45	2014-05-12	22776.0	short	2	True	3.0	522.0	-377.0
46	2014-05-13	23062.0	short	1	True	4.0	-572.0	-949.0
47	2014-05-14	23183.0	short	0	True	5.0	-121.0	-1070.0
48	2015-03-09	18194.0	long	1	True	1.0		
49	2015-03-10	17793.0	long	2	True	2.0	-401.0	-1471.0
50	2015-03-11	17421.0	long	3	True	3.0	-744.0	-2215.0
51	2015-03-12	17216.0	long	4	True	4.0	-615.0	-2830.0
52	2015-03-13	17299.0	long	5	True	5.0	332.0	-2498.0
53	2015-03-16	17536.0	long	5			1185.0	-1313.0
54	2015-03-17	17345.0	long	5			-955.0	-2268.0
55	2015-03-18	16850.0	long	5			-2475.0	-4743.0
56	2015-03-19	16977.0	long	5			635.0	-4108.0
57	2015-03-20	17292.0	long	5			1575.0	-2533.0
58	2015-03-23	17643.0	long	5			1755.0	-778.0
59	2015-03-24	17540.0	long	5			-515.0	-1293.0
60	2015-03-25	17380.0	long	5			-800.0	-2093.0
61	2015-03-26	17139.0	long	5			-1205.0	-3298.0
62	2015-03-27	17187.0	long	5			240.0	-3058.0
63	2015-03-30	17030.0	long	5			-785.0	-3843.0
64	2015-03-31	16585.0	long	5			-2225.0	-6068.0
65	2015-04-01	16554.0	long	5			-155.0	-6223.0
66	2015-04-02	16780.0	long	5			1130.0	-5093.0
67	2015-04-03		long	5			0.0	-5093.0
68	2015-04-06		long	5			0.0	-5093.0
69	2015-04-07	16732.0	long	5			-240.0	-5333.0
70	2015-04-08	16688.0	long	5			-220.0	-5553.0
71	2015-04-09	16582.0	long	5			-530.0	-6083.0
72	2015-04-10	16678.0	long	5			480.0	-5603.0
73	2015-04-13	16076.0	long	5			-3010.0	-8613.0
74	2015-04-14	16251.0	long	5			875.0	-7738.0
75	2015-04-15	15826.0	long	5			-2125.0	-9863.0
76	2015-04-16	14962.0	long	5			-4320.0	-14183.0
77	2015-04-17	14820.0	long	5			-710.0	-14893.0
78	2015-04-20	14528.0	long	5			-1460.0	-16353.0
79	2015-04-21	15513.0	long	5			4925.0	-11428.0
80	2015-04-22	15542.0	long	5			145.0	-11283.0
81	2015-04-23	15466.0	long	5			-380.0	-11663.0
82	2015-04-24	15816.0	long	5			1750.0	-9913.0
83	2015-04-27	16242.0	long	5			2130.0	-7783.0
84	2015-04-28	15717.0	long	5			-2625.0	-10408.0
85	2015-04-29	15735.0	long	5			90.0	-10318.0
86	2015-04-30	16004.0	long	5			1345.0	-8973.0
87	2015-05-01	15977.0	long	5			-135.0	-9108.0
88	2015-05-04		long	5			0.0	-9108.0
89	2015-05-05	16079.0	long	5			510.0	-8598.0
90	2015-05-06	16177.0	long	5			490.0	-8108.0
91	2015-05-07	15952.0	long	5			-1125.0	-9233.0
92	2015-05-08	15877.0	long	4	True	1.0	-375.0	-9608.0
93	2015-05-11	15775.0	long	3	True	2.0	-408.0	-10016.0
94	2015-05-12	15874.0	long	2	True	3.0	297.0	-9719.0
95	2015-05-13	15674.0	long	1	True	4.0	-400.0	-10119.0
96	2015-05-14	15823.0	long	0	True	5.0	149.0	-9970.0
