	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2014-03-10	2056.0	short	1	True	1.0		
1	2014-03-11	2019.0	short	2	True	2.0	37.0	37.0
2	2014-03-12	2001.5	short	3	True	3.0	35.0	72.0
3	2014-03-13	1999.25	short	4	True	4.0	6.75	78.75
4	2014-03-14	2000.25	short	5	True	5.0	-4.0	74.75
5	2014-03-17	1988.25	short	5			60.0	134.75
6	2014-03-18	2003.25	short	5			-75.0	59.75
7	2014-03-19	2003.5	short	5			-1.25	58.5
8	2014-03-20	1975.5	short	5			140.0	198.5
9	2014-03-21	1975.75	short	5			-1.25	197.25
10	2014-03-24	1969.25	short	5			32.5	229.75
11	2014-03-25	2014.25	short	5			-225.0	4.75
12	2014-03-26	1992.5	short	5			108.75	113.5
13	2014-03-27	2000.0	short	5			-37.5	76.0
14	2014-03-28	2012.0	short	5			-60.0	16.0
15	2014-03-31	2022.25	short	5			-51.25	-35.25
16	2014-04-01	2001.5	short	5			103.75	68.5
17	2014-04-02	1996.0	short	5			27.5	96.0
18	2014-04-03	2011.0	short	5			-75.0	21.0
19	2014-04-04	2030.0	short	5			-95.0	-74.0
20	2014-04-07	2029.5	short	5			2.5	-71.5
21	2014-04-08	2054.0	short	4	True	1.0	-122.5	-194.0
22	2014-04-09	2046.0	short	3	True	2.0	32.0	-162.0
23	2014-04-10	2057.0	short	2	True	3.0	-33.0	-195.0
24	2014-04-11	2047.5	short	1	True	4.0	19.0	-176.0
25	2014-04-14	2072.0	short	0	True	5.0	-24.5	-200.5
26	2015-01-08	2150.25	long	1	True	1.0		
27	2015-01-09	2148.0	long	2	True	2.0	-2.25	-202.75
28	2015-01-12	2130.5	long	3	True	3.0	-35.0	-237.75
29	2015-01-13	2073.5	long	4	True	4.0	-171.0	-408.75
30	2015-01-14	2027.5	long	5	True	5.0	-184.0	-592.75
31	2015-01-15	2056.25	long	5			143.75	-449.0
32	2015-01-16	2094.0	long	5			188.75	-260.25
33	2015-01-19	2074.5	long	5			-97.5	-357.75
34	2015-01-20	2096.0	long	5			107.5	-250.25
35	2015-01-21	2137.25	long	5			206.25	-44.0
36	2015-01-22	2137.25	long	5			0.0	-44.0
37	2015-01-23	2087.0	long	5			-251.25	-295.25
38	2015-01-26	2128.0	long	5			205.0	-90.25
39	2015-01-27	2099.75	long	5			-141.25	-231.5
40	2015-01-28	2110.75	long	5			55.0	-176.5
41	2015-01-29	2082.25	long	5			-142.5	-319.0
42	2015-01-30	2118.75	long	5			182.5	-136.5
43	2015-02-02	2122.5	long	5			18.75	-117.75
44	2015-02-03	2148.75	long	5			131.25	13.5
45	2015-02-04	2132.5	long	5			-81.25	-67.75
46	2015-02-05	2137.25	long	5			23.75	-44.0
47	2015-02-06	2154.5	long	5			86.25	42.25
48	2015-02-09	2151.5	long	4	True	1.0	-15.0	27.25
49	2015-02-10	2104.75	long	3	True	2.0	-187.0	-159.75
50	2015-02-11	2107.5	long	2	True	3.0	8.25	-151.5
51	2015-02-12	2136.0	long	1	True	4.0	57.0	-94.5
52	2015-02-13	2141.25	long	0	True	5.0	5.25	-89.25
