	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-04-09	1013.75	short	1	True	1.0		
1	2001-04-10	1009.25	short	2	True	2.0	4.5	4.5
2	2001-04-11	1011.0	short	3	True	3.0	-3.5	1.0
3	2001-04-12	1015.75	short	4	True	4.0	-14.25	-13.25
4	2001-04-13		short	4	True	5.0	-0.0	-13.25
5	2001-04-16		short	5			-0.0	-13.25
6	2001-04-17	1009.5	short	5			31.25	18.0
7	2001-04-18	1012.5	short	5			-15.0	3.0
8	2001-04-19	1007.5	short	5			25.0	28.0
9	2001-04-20	1008.5	short	5			-5.0	23.0
10	2001-04-23	1002.75	short	5			28.75	51.75
11	2001-04-24	1003.5	short	5			-3.75	48.0
12	2001-04-25	1008.5	short	5			-25.0	23.0
13	2001-04-26	1006.25	short	5			11.25	34.25
14	2001-04-27	999.0	short	5			36.25	70.5
15	2001-04-30	994.0	short	5			25.0	95.5
16	2001-05-01	1000.5	short	5			-32.5	63.0
17	2001-05-02	1003.5	short	5			-15.0	48.0
18	2001-05-03	1003.5	short	5			-0.0	48.0
19	2001-05-04	995.5	short	5			40.0	88.0
20	2001-05-07		short	5			-0.0	88.0
21	2001-05-08	989.75	short	4	True	1.0	28.75	116.75
22	2001-05-09	996.0	short	3	True	2.0	-25.0	91.75
23	2001-05-10	995.0	short	2	True	3.0	3.0	94.75
24	2001-05-11	999.25	short	1	True	4.0	-8.5	86.25
25	2001-05-14	988.75	short	0	True	5.0	10.5	96.75
26	2002-02-08	781.75	long	1	True	1.0		
27	2002-02-11	763.75	long	2	True	2.0	-18.0	78.75
28	2002-02-12	769.25	long	3	True	3.0	11.0	89.75
29	2002-02-13	781.25	long	4	True	4.0	36.0	125.75
30	2002-02-14	780.25	long	5	True	5.0	-4.0	121.75
31	2002-02-15	774.75	long	5			-27.5	94.25
32	2002-02-18	771.0	long	5			-18.75	75.5
33	2002-02-19	769.25	long	5			-8.75	66.75
34	2002-02-20	775.25	long	5			30.0	96.75
35	2002-02-21	778.25	long	5			15.0	111.75
36	2002-02-22	770.75	long	5			-37.5	74.25
37	2002-02-25	772.25	long	5			7.5	81.75
38	2002-02-26	777.5	long	5			26.25	108.0
39	2002-02-27	789.5	long	5			60.0	168.0
40	2002-02-28	797.25	long	5			38.75	206.75
41	2002-03-01	798.5	long	5			6.25	213.0
42	2002-03-04	808.75	long	5			51.25	264.25
43	2002-03-05	799.45	long	5			-46.49999999999977	217.75000000000023
44	2002-03-06	809.5	long	5			50.24999999999977	268.0
45	2002-03-07	819.0	long	5			47.5	315.5
46	2002-03-08	825.0	long	4	True	1.0	30.0	345.5
47	2002-03-11	823.0	long	3	True	2.0	-8.0	337.5
48	2002-03-12	821.75	long	2	True	3.0	-3.75	333.75
49	2002-03-13	818.5	long	1	True	4.0	-6.5	327.25
50	2002-03-14	814.25	long	0	True	5.0	-4.25	323.0
