	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-11-08	798.0	short	1	True	1.0		
1	2001-11-09	820.75	short	2	True	2.0	-22.75	-22.75
2	2001-11-12	834.0	short	3	True	3.0	-26.5	-49.25
3	2001-11-13	845.5	short	4	True	4.0	-34.5	-83.75
4	2001-11-14	857.5	short	5	True	5.0	-48.0	-131.75
5	2001-11-15	858.75	short	5			-6.25	-138.0
6	2001-11-16	857.75	short	5			5.0	-133.0
7	2001-11-19	851.5	short	5			31.25	-101.75
8	2001-11-20	842.0	short	5			47.5	-54.25
9	2001-11-21	842.75	short	5			-3.75	-58.0
10	2001-11-22	837.25	short	5			27.5	-30.5
11	2001-11-23	840.25	short	5			-15.0	-45.5
12	2001-11-26	842.5	short	5			-11.25	-56.75
13	2001-11-27	831.0	short	5			57.5	0.75
14	2001-11-28	834.0	short	5			-15.0	-14.25
15	2001-11-29	829.75	short	5			21.25	7.0
16	2001-11-30	843.25	short	5			-67.5	-60.5
17	2001-12-03	819.0	short	5			121.25	60.75
18	2001-12-04	830.5	short	5			-57.5	3.25
19	2001-12-05	829.5	short	5			5.0	8.25
20	2001-12-06	824.0	short	5			27.5	35.75
21	2001-12-07	815.25	short	5			43.75	79.5
22	2001-12-10	801.0	short	4	True	1.0	71.25	150.75
23	2001-12-11	803.0	short	3	True	2.0	-8.0	142.75
24	2001-12-12	803.75	short	2	True	3.0	-2.25	140.5
25	2001-12-13	803.5	short	1	True	4.0	0.5	141.0
26	2001-12-14	800.75	short	0	True	5.0	2.75	143.75
27	2002-09-09	766.25	long	1	True	1.0		
28	2002-09-10	782.5	long	2	True	2.0	16.25	160.0
29	2002-09-11	785.75	long	3	True	3.0	6.5	166.5
30	2002-09-12	783.0	long	4	True	4.0	-8.25	158.25
31	2002-09-13	780.5	long	5	True	5.0	-10.0	148.25
32	2002-09-16	773.5	long	5			-35.0	113.25
33	2002-09-17	772.75	long	5			-3.75	109.5
34	2002-09-18	756.75	long	5			-80.0	29.5
35	2002-09-19	756.0	long	5			-3.75	25.75
36	2002-09-20	756.5	long	5			2.5	28.25
37	2002-09-23	751.0	long	5			-27.5	0.75
38	2002-09-24	741.5	long	5			-47.5	-46.75
39	2002-09-25	747.5	long	5			30.0	-16.75
40	2002-09-26	752.25	long	5			23.75	7.0
41	2002-09-27	746.25	long	5			-30.0	-23.0
42	2002-09-30	744.5	long	5			-8.75	-31.75
43	2002-10-01	746.75	long	5			11.25	-20.5
44	2002-10-02	748.0	long	5			6.25	-14.25
45	2002-10-03	747.75	long	5			-1.25	-15.5
46	2002-10-04	739.0	long	5			-43.75	-59.25
47	2002-10-07	741.0	long	5			10.0	-49.25
48	2002-10-08	745.5	long	4	True	1.0	22.5	-26.75
49	2002-10-09	747.5	long	3	True	2.0	8.0	-18.75
50	2002-10-10	747.75	long	2	True	3.0	0.75	-18.0
51	2002-10-11	749.5	long	1	True	4.0	3.5	-14.5
52	2002-10-14		long	1	True	5.0	0.0	-14.5
