,Due,Future,Month,Pair
0,2000-01-18,LXF00,F,LXF01
1,2000-02-15,LXG00,G,LXG01
2,2000-03-14,LXH00,H,LXH01
3,2000-04-18,LXJ00,J,LXJ01
4,2000-05-16,LXK00,K,LXK01
5,2000-06-20,LXM00,M,LXM01
6,2000-07-18,LXN00,N,LXN01
7,2000-08-15,LXQ00,Q,LXQ01
8,2000-09-19,LXU00,U,LXU01
9,2000-10-17,LXV00,V,LXV01
10,2000-11-14,LXX00,X,LXX01
11,2000-12-18,LXZ00,Z,LXZ01
12,2001-01-15,LXF01,F,LXF02
13,2001-02-19,LXG01,G,LXG02
14,2001-03-16,LXH01,H,LXH02
15,2001-04-11,LXJ01,J,LXJ02
16,2001-05-11,LXK01,K,LXK02
17,2001-06-15,LXM01,M,LXM02
18,2001-07-13,LXN01,N,LXN02
19,2001-08-10,LXQ01,Q,LXQ02
20,2001-09-14,LXU01,U,LXU02
21,2001-10-12,LXV01,V,LXV02
22,2001-11-16,LXX01,X,LXX02
23,2001-12-14,LXZ01,Z,LXZ02
24,2002-01-14,LXF02,F,LXF03
25,2002-02-15,LXG02,G,LXG03
26,2002-03-15,LXH02,H,LXH03
27,2002-04-12,LXJ02,J,LXJ03
28,2002-05-10,LXK02,K,LXK03
29,2002-06-14,LXM02,M,LXM03
30,2002-07-12,LXN02,N,LXN03
31,2002-08-16,LXQ02,Q,LXQ03
32,2002-09-13,LXU02,U,LXU03
33,2002-10-11,LXV02,V,LXV03
34,2002-11-15,LXX02,X,LXX03
35,2002-12-13,LXZ02,Z,LXZ03
36,2003-01-10,LXF03,F,LXF04
37,2003-02-14,LXG03,G,LXG04
38,2003-03-14,LXH03,H,LXH04
39,2003-04-11,LXJ03,J,LXJ04
40,2003-05-16,LXK03,K,LXK04
41,2003-06-13,LXM03,M,LXM04
42,2003-07-11,LXN03,N,LXN04
43,2003-08-15,LXQ03,Q,LXQ04
44,2003-09-12,LXU03,U,LXU04
45,2003-10-10,LXV03,V,LXV04
46,2003-11-14,LXX03,X,LXX04
