	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-11-10	1185.0	short	1	True	1.0		
1	2008-11-11	1187.0	short	2	True	2.0	-2.0	-2.0
2	2008-11-12	1214.0	short	3	True	3.0	-54.0	-56.0
3	2008-11-13	1268.0	short	4	True	4.0	-162.0	-218.0
4	2008-11-14	1265.0	short	5	True	5.0	12.0	-206.0
5	2008-11-17	1238.0	short	5			135.0	-71.0
6	2008-11-18	1293.0	short	5			-275.0	-346.0
7	2008-11-19	1246.0	short	5			235.0	-111.0
8	2008-11-20	1225.25	short	5			103.75	-7.25
9	2008-11-21	1221.5	short	5			18.75	11.5
10	2008-11-24	1282.0	short	5			-302.5	-291.0
11	2008-11-25	1313.0	short	5			-155.0	-446.0
12	2008-11-26	1317.0	short	5			-20.0	-466.0
13	2008-11-27	1277.0	short	5			200.0	-266.0
14	2008-11-28	1267.0	short	5			50.0	-216.0
15	2008-12-01	1220.0	short	5			235.0	19.0
16	2008-12-02	1223.5	short	5			-17.5	1.5
17	2008-12-03	1193.5	short	5			150.0	151.5
18	2008-12-04	1201.0	short	5			-37.5	114.0
19	2008-12-05	1145.0	short	5			280.0	394.0
20	2008-12-08	1170.0	short	4	True	1.0	-125.0	269.0
21	2008-12-09	1178.0	short	3	True	2.0	-32.0	237.0
22	2008-12-10	1164.0	short	2	True	3.0	42.0	279.0
23	2008-12-11	1166.0	short	1	True	4.0	-4.0	275.0
24	2008-12-12	1125.0	short	0	True	5.0	41.0	316.0
25	2009-11-09	2143.25	long	1	True	1.0		
26	2009-11-10	2144.0	long	2	True	2.0	0.75	316.75
27	2009-11-11	2166.25	long	3	True	3.0	44.5	361.25
28	2009-11-12	2132.75	long	4	True	4.0	-100.5	260.75
29	2009-11-13	2156.5	long	5	True	5.0	95.0	355.75
30	2009-11-16	2261.75	long	5			526.25	882.0
31	2009-11-17	2245.0	long	5			-83.75	798.25
32	2009-11-18	2229.5	long	5			-77.5	720.75
33	2009-11-19	2195.25	long	5			-171.25	549.5
34	2009-11-20	2234.75	long	5			197.5	747.0
35	2009-11-23	2249.5	long	5			73.75	820.75
36	2009-11-24	2213.0	long	5			-182.5	638.25
37	2009-11-25	2284.5	long	5			357.5	995.75
38	2009-11-26	2232.25	long	5			-261.25	734.5
39	2009-11-27	2205.75	long	5			-132.5	602.0
40	2009-11-30	2297.5	long	5			458.75	1060.75
41	2009-12-01	2347.0	long	5			247.5	1308.25
42	2009-12-02	2403.5	long	5			282.5	1590.75
43	2009-12-03	2382.5	long	5			-105.0	1485.75
44	2009-12-04	2340.25	long	5			-211.25	1274.5
45	2009-12-07	2275.25	long	5			-325.0	949.5
46	2009-12-08	2295.75	long	4	True	1.0	102.5	1052.0
47	2009-12-09	2280.25	long	3	True	2.0	-62.0	990.0
48	2009-12-10	2237.5	long	2	True	3.0	-128.25	861.75
49	2009-12-11	2264.25	long	1	True	4.0	53.5	915.25
50	2009-12-14	2298.25	long	0	True	5.0	34.0	949.25
