	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-01-10	2381.5	short	1	True	1.0		
1	2011-01-11	2407.5	short	2	True	2.0	-26.0	-26.0
2	2011-01-12	2481.25	short	3	True	3.0	-147.5	-173.5
3	2011-01-13	2464.5	short	4	True	4.0	50.25	-123.25
4	2011-01-14	2458.75	short	5	True	5.0	23.0	-100.25
5	2011-01-17	2455.5	short	5			16.25	-84.0
6	2011-01-18	2436.5	short	5			95.0	11.0
7	2011-01-19	2390.0	short	5			232.5	243.5
8	2011-01-20	2330.0	short	5			300.0	543.5
9	2011-01-21	2318.0	short	5			60.0	603.5
10	2011-01-24	2300.5	short	5			87.5	691.0
11	2011-01-25	2219.25	short	5			406.25	1097.25
12	2011-01-26	2277.25	short	5			-290.0	807.25
13	2011-01-27	2258.0	short	5			96.25	903.5
14	2011-01-28	2351.75	short	5			-468.75	434.75
15	2011-01-31	2424.75	short	5			-365.0	69.75
16	2011-02-01	2468.5	short	5			-218.75	-149.0
17	2011-02-02	2471.25	short	5			-13.75	-162.75
18	2011-02-03	2468.25	short	5			15.0	-147.75
19	2011-02-04	2502.25	short	5			-170.0	-317.75
20	2011-02-07	2504.5	short	5			-11.25	-329.0
21	2011-02-08	2506.75	short	4	True	1.0	-11.25	-340.25
22	2011-02-09	2453.5	short	3	True	2.0	213.0	-127.25
23	2011-02-10	2444.75	short	2	True	3.0	26.25	-101.0
24	2011-02-11	2459.5	short	1	True	4.0	-29.5	-130.5
25	2011-02-14	2515.0	short	0	True	5.0	-55.5	-186.0
26	2011-03-08	2382.0	long	1	True	1.0		
27	2011-03-09	2261.0	long	2	True	2.0	-121.0	-307.0
28	2011-03-10	2278.5	long	3	True	3.0	35.0	-272.0
29	2011-03-11	2266.0	long	4	True	4.0	-37.5	-309.5
30	2011-03-14	2315.5	long	5	True	5.0	198.0	-111.5
31	2011-03-15	2268.25	long	5			-236.25	-347.75
32	2011-03-16	2276.25	long	5			40.0	-307.75
33	2011-03-17	2322.75	long	5			232.5	-75.25
34	2011-03-18	2315.75	long	5			-35.0	-110.25
35	2011-03-21	2270.0	long	5			-228.75	-339.0
36	2011-03-22	2320.25	long	5			251.25	-87.75
37	2011-03-23	2414.0	long	5			468.75	381.0
38	2011-03-24	2410.5	long	5			-17.5	363.5
39	2011-03-25	2366.5	long	5			-220.0	143.5
40	2011-03-28	2327.0	long	5			-197.5	-54.0
41	2011-03-29	2363.25	long	5			181.25	127.25
42	2011-03-30	2326.0	long	5			-186.25	-59.0
43	2011-03-31	2351.25	long	5			126.25	67.25
44	2011-04-01	2383.5	long	5			161.25	228.5
45	2011-04-04	2403.5	long	5			100.0	328.5
46	2011-04-05	2407.0	long	5			17.5	346.0
47	2011-04-06	2431.0	long	5			120.0	466.0
48	2011-04-07	2433.5	long	5			12.5	478.5
49	2011-04-08	2514.75	long	4	True	1.0	406.25	884.75
50	2011-04-11	2525.75	long	3	True	2.0	44.0	928.75
51	2011-04-12	2449.0	long	2	True	3.0	-230.25	698.5
52	2011-04-13	2401.25	long	1	True	4.0	-95.5	603.0
53	2011-04-14	2379.25	long	0	True	5.0	-22.0	581.0
