	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-05-08	1153.5	short	1	True	1.0		
1	2000-05-09	1157.0	short	2	True	2.0	-3.5	-3.5
2	2000-05-10	1166.0	short	3	True	3.0	-18.0	-21.5
3	2000-05-11	1159.5	short	4	True	4.0	19.5	-2.0
4	2000-05-12	1174.75	short	5	True	5.0	-61.0	-63.0
5	2000-05-15	1183.5	short	5			-43.75	-106.75
6	2000-05-16	1184.25	short	5			-3.75	-110.5
7	2000-05-17	1183.0	short	5			6.25	-104.25
8	2000-05-18	1177.0	short	5			30.0	-74.25
9	2000-05-19	1175.0	short	5			10.0	-64.25
10	2000-05-22	1176.0	short	5			-5.0	-69.25
11	2000-05-23	1181.5	short	5			-27.5	-96.75
12	2000-05-24	1184.5	short	5			-15.0	-111.75
13	2000-05-25	1174.5	short	5			50.0	-61.75
14	2000-05-26	1165.5	short	5			45.0	-16.75
15	2000-05-29	1176.0	short	5			-52.5	-69.25
16	2000-05-30	1142.0	short	5			170.0	100.75
17	2000-05-31	1136.5	short	5			27.5	128.25
18	2000-06-01	1130.25	short	5			31.25	159.5
19	2000-06-02	1123.25	short	5			35.0	194.5
20	2000-06-05	1115.5	short	5			38.75	233.25
21	2000-06-06	1114.25	short	5			6.25	239.5
22	2000-06-07	1097.5	short	5			83.75	323.25
23	2000-06-08	1113.75	short	4	True	1.0	-81.25	242.0
24	2000-06-09	1116.75	short	3	True	2.0	-12.0	230.0
25	2000-06-12	1101.5	short	2	True	3.0	45.75	275.75
26	2000-06-13	1117.5	short	1	True	4.0	-32.0	243.75
27	2000-06-14	1125.0	short	0	True	5.0	-7.5	236.25
28	2000-07-10	1123.25	long	1	True	1.0		
29	2000-07-11	1135.25	long	2	True	2.0	12.0	248.25
30	2000-07-12	1137.5	long	3	True	3.0	4.5	252.75
31	2000-07-13	1130.0	long	4	True	4.0	-22.5	230.25
32	2000-07-14	1128.5	long	5	True	5.0	-6.0	224.25
33	2000-07-17	1133.25	long	5			23.75	248.0
34	2000-07-18	1131.5	long	5			-8.75	239.25
35	2000-07-19	1151.75	long	5			101.25	340.5
36	2000-07-20	1157.25	long	5			27.5	368.0
37	2000-07-21	1153.25	long	5			-20.0	348.0
38	2000-07-24	1155.5	long	5			11.25	359.25
39	2000-07-25	1155.5	long	5			0.0	359.25
40	2000-07-26	1149.0	long	5			-32.5	326.75
41	2000-07-27	1156.0	long	5			35.0	361.75
42	2000-07-28	1164.25	long	5			41.25	403.0
43	2000-07-31	1158.0	long	5			-31.25	371.75
44	2000-08-01	1165.0	long	5			35.0	406.75
45	2000-08-02	1157.75	long	5			-36.25	370.5
46	2000-08-03	1147.75	long	5			-50.0	320.5
47	2000-08-04	1147.0	long	5			-3.75	316.75
48	2000-08-07	1150.25	long	5			16.25	333.0
49	2000-08-08	1146.0	long	4	True	1.0	-21.25	311.75
50	2000-08-09	1138.75	long	3	True	2.0	-29.0	282.75
51	2000-08-10	1153.75	long	2	True	3.0	45.0	327.75
52	2000-08-11	1163.0	long	1	True	4.0	18.5	346.25
53	2000-08-14	1163.0	long	0	True	5.0	0.0	346.25
