	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-08-08	2925.25	short	1	True	1.0		
1	2017-08-09	2932.0	short	2	True	2.0	-6.75	-6.75
2	2017-08-10	2938.5	short	3	True	3.0	-13.0	-19.75
3	2017-08-11	2896.75	short	4	True	4.0	125.25	105.5
4	2017-08-14	2917.0	short	5	True	5.0	-81.0	24.5
5	2017-08-15	2959.5	short	5			-212.5	-188.0
6	2017-08-16	3120.5	short	5			-805.0	-993.0
7	2017-08-17	3063.5	short	5			285.0	-708.0
8	2017-08-18	3126.5	short	5			-315.0	-1023.0
9	2017-08-21	3127.0	short	5			-2.5	-1025.5
10	2017-08-22	3119.5	short	5			37.5	-988.0
11	2017-08-23	3097.0	short	5			112.5	-875.5
12	2017-08-24	3119.0	short	5			-110.0	-985.5
13	2017-08-25	3063.5	short	5			277.5	-708.0
14	2017-08-28		short	5			-0.0	-708.0
15	2017-08-29	3109.5	short	5			-230.0	-938.0
16	2017-08-30	3094.0	short	5			77.5	-860.5
17	2017-08-31	3145.0	short	5			-255.0	-1115.5
18	2017-09-01	3184.0	short	5			-195.0	-1310.5
19	2017-09-04	3203.5	short	5			-97.5	-1408.0
20	2017-09-05	3138.5	short	5			325.0	-1083.0
21	2017-09-06	3093.0	short	5			227.5	-855.5
22	2017-09-07	3127.25	short	5			-171.25	-1026.75
23	2017-09-08	3028.75	short	4	True	1.0	492.5	-534.25
24	2017-09-11	3080.5	short	3	True	2.0	-207.0	-741.25
25	2017-09-12	3057.5	short	2	True	3.0	69.0	-672.25
26	2017-09-13	3020.5	short	1	True	4.0	74.0	-598.25
27	2017-09-14	3004.0	short	0	True	5.0	16.5	-581.75
28	2017-10-09	3249.0	long	1	True	1.0		
29	2017-10-10	3303.0	long	2	True	2.0	54.0	-527.75
30	2017-10-11	3244.0	long	3	True	3.0	-118.0	-645.75
31	2017-10-12	3282.0	long	4	True	4.0	114.0	-531.75
32	2017-10-13	3256.0	long	5	True	5.0	-104.0	-635.75
33	2017-10-16	3202.0	long	5			-270.0	-905.75
34	2017-10-17	3094.75	long	5			-536.25	-1442.0
35	2017-10-18	3149.0	long	5			271.25	-1170.75
36	2017-10-19	3142.0	long	5			-35.0	-1205.75
37	2017-10-20	3127.0	long	5			-75.0	-1280.75
38	2017-10-23	3160.0	long	5			165.0	-1115.75
39	2017-10-24	3215.5	long	5			277.5	-838.25
40	2017-10-25	3241.0	long	5			127.5	-710.75
41	2017-10-26	3264.0	long	5			115.0	-595.75
42	2017-10-27	3215.0	long	5			-245.0	-840.75
43	2017-10-30	3254.0	long	5			195.0	-645.75
44	2017-10-31	3309.0	long	5			275.0	-370.75
45	2017-11-01	3317.5	long	5			42.5	-328.25
46	2017-11-02	3291.0	long	5			-132.5	-460.75
47	2017-11-03	3247.0	long	5			-220.0	-680.75
48	2017-11-06	3260.0	long	5			65.0	-615.75
49	2017-11-07	3198.0	long	5			-310.0	-925.75
50	2017-11-08	3227.5	long	4	True	1.0	147.5	-778.25
51	2017-11-09	3215.5	long	3	True	2.0	-48.0	-826.25
52	2017-11-10	3261.25	long	2	True	3.0	137.25	-689.0
53	2017-11-13	3242.0	long	1	True	4.0	-38.5	-727.5
54	2017-11-14		long	1	True	5.0	0.0	-727.5
