	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-08-25	1098.0	5	short				
1	1998-08-26	1095.0	5	short			15.0	15.0
2	1998-08-27	1086.5	5	short			42.5	57.5
3	1998-08-28	1086.0	5	short			2.5	60.0
4	1998-08-31		5	short			-0.0	60.0
5	1998-09-01	1111.0	5	short			-125.0	-65.0
6	1998-09-02	1102.0	5	short			45.0	-20.0
7	1998-09-03	1106.0	5	short			-20.0	-40.0
8	1998-09-04	1102.0	5	short			20.0	-20.0
9	1998-09-07	1102.0	5	short			-0.0	-20.0
10	1998-09-08	1100.25	5	short			8.75	-11.25
11	1998-09-09	1097.0	5	short			16.25	5.0
12	1998-09-10	1095.75	5	short			6.25	11.25
13	1998-09-11	1097.75	5	short			-10.0	1.25
14	1998-09-14	1100.25	5	short			-12.5	-11.25
15	1998-09-15	1101.25	5	short			-5.0	-16.25
16	1998-09-16	1103.0	5	short			-8.75	-25.0
17	1998-09-17	1071.5	5	short			157.5	132.5
18	1998-09-18	1081.0	5	short			-47.5	85.0
19	1998-09-21	1068.5	5	short			62.5	147.5
20	1998-09-22	1074.75	5	short			-31.25	116.25
21	1998-09-23	1092.5	5	short			-88.75	27.5
22	1998-09-24	1085.5	5	short			35.0	62.5
23	1998-09-25	1080.5	5	short			25.0	87.5
24	1998-09-28	1079.25	5	short			6.25	93.75
25	1998-09-29	1084.25	5	short			-25.0	68.75
26	1998-09-30	1074.75	5	short			47.5	116.25
27	1998-10-01	1084.0	5	short			-46.25	70.0
28	1998-10-02	1064.25	5	short			98.75	168.75
29	1998-10-05	1061.0	5	short			16.25	185.0
30	1998-10-06	1071.0	5	short			-50.0	135.0
31	1998-10-07	1078.25	5	short			-36.25	98.75
32	1998-10-08	1060.0	5	short			91.25	190.0
33	1998-10-09	1041.75	5	short			91.25	281.25
34	1998-10-12	1045.75	5	short			-20.0	261.25
35	1998-10-13	1044.25	5	short			7.5	268.75
36	1998-10-14	1039.75	5	short			22.5	291.25
37	1998-10-15	1035.0	5	short			23.75	315.0
38	1998-10-16	1049.25	5	short			-71.25	243.75
39	1998-10-19	1055.5	5	short			-31.25	212.5
40	1998-10-20	1058.5	5	short			-15.0	197.5
41	1998-10-21	1039.0	5	short			97.5	295.0
42	1998-10-22	1036.0	5	short			15.0	310.0
43	1998-10-23	1042.0	5	short			-30.0	280.0
44	1998-10-26	1031.25	5	short			53.75	333.75
45	1998-10-27	1032.0	5	short			-3.75	330.0
46	1998-10-28	1031.5	5	short			2.5	332.5
47	1998-10-29	1024.0	5	short			37.5	370.0
48	1998-10-30	1023.0	5	short			5.0	375.0
49	1998-11-02	1042.5	5	short			-97.5	277.5
50	1998-11-03	1037.5	5	short			25.0	302.5
51	1998-11-04	1040.75	5	short			-16.25	286.25
52	1998-11-05	1038.5	5	short			11.25	297.5
53	1998-11-06	1038.75	5	short			-1.25	296.25
54	1998-11-09	1041.0	5	short			-11.25	285.0
55	1998-11-10	1036.25	5	short			23.75	308.75
56	1998-11-11	1036.0	5	short			1.25	310.0
