	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-01-08	2582.0	short	1	True	1.0		
1	2008-01-09	2505.0	short	2	True	2.0	77.0	77.0
2	2008-01-10	2444.5	short	3	True	3.0	121.0	198.0
3	2008-01-11	2393.5	short	4	True	4.0	153.0	351.0
4	2008-01-14	2397.5	short	5	True	5.0	-16.0	335.0
5	2008-01-15	2303.25	short	5			471.25	806.25
6	2008-01-16	2282.5	short	5			103.75	910.0
7	2008-01-17	2287.5	short	5			-25.0	885.0
8	2008-01-18	2355.0	short	5			-337.5	547.5
9	2008-01-21	2226.0	short	5			645.0	1192.5
10	2008-01-22	2306.5	short	5			-402.5	790.0
11	2008-01-23	2211.5	short	5			475.0	1265.0
12	2008-01-24	2258.0	short	5			-232.5	1032.5
13	2008-01-25	2282.5	short	5			-122.5	910.0
14	2008-01-28	2292.0	short	5			-47.5	862.5
15	2008-01-29	2382.0	short	5			-450.0	412.5
16	2008-01-30	2352.0	short	5			150.0	562.5
17	2008-01-31	2517.0	short	5			-825.0	-262.5
18	2008-02-01	2477.0	short	5			200.0	-62.5
19	2008-02-04	2472.0	short	5			25.0	-37.5
20	2008-02-05	2372.0	short	5			500.0	462.5
21	2008-02-06	2386.5	short	5			-72.5	390.0
22	2008-02-07	2352.0	short	5			172.5	562.5
23	2008-02-08	2451.0	short	4	True	1.0	-495.0	67.5
24	2008-02-11	2460.5	short	3	True	2.0	-38.0	29.5
25	2008-02-12	2486.0	short	2	True	3.0	-76.5	-47.0
26	2008-02-13	2416.0	short	1	True	4.0	140.0	93.0
27	2008-02-14	2351.5	short	0	True	5.0	64.5	157.5
28	2008-04-08	2338.5	long	1	True	1.0		
29	2008-04-09	2358.0	long	2	True	2.0	19.5	177.0
30	2008-04-10	2327.5	long	3	True	3.0	-61.0	116.0
31	2008-04-11	2295.5	long	4	True	4.0	-96.0	20.0
32	2008-04-14	2284.0	long	5	True	5.0	-46.0	-26.0
33	2008-04-15	2278.0	long	5			-30.0	-56.0
34	2008-04-16	2326.0	long	5			240.0	184.0
35	2008-04-17	2291.25	long	5			-173.75	10.25
36	2008-04-18	2259.5	long	5			-158.75	-148.5
37	2008-04-21	2196.5	long	5			-315.0	-463.5
38	2008-04-22	2247.25	long	5			253.75	-209.75
39	2008-04-23	2218.5	long	5			-143.75	-353.5
40	2008-04-24	2218.5	long	5			0.0	-353.5
41	2008-04-25	2299.0	long	5			402.5	49.0
42	2008-04-28	2284.25	long	5			-73.75	-24.75
43	2008-04-29	2222.5	long	5			-308.75	-333.5
44	2008-04-30	2212.0	long	5			-52.5	-386.0
45	2008-05-01	2169.0	long	5			-215.0	-601.0
46	2008-05-02	2199.0	long	5			150.0	-451.0
47	2008-05-05		long	5			0.0	-451.0
48	2008-05-06	2257.5	long	5			292.5	-158.5
49	2008-05-07	2230.5	long	5			-135.0	-293.5
50	2008-05-08	2194.0	long	4	True	1.0	-182.5	-476.0
51	2008-05-09	2130.75	long	3	True	2.0	-253.0	-729.0
52	2008-05-12	2153.5	long	2	True	3.0	68.25	-660.75
53	2008-05-13	2298.0	long	1	True	4.0	289.0	-371.75
54	2008-05-14	2261.0	long	0	True	5.0	-37.0	-408.75
