	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-08-25	1103.0	5	short				
1	1998-08-26	1100.0	5	short			15.0	15.0
2	1998-08-27	1091.5	5	short			42.5	57.5
3	1998-08-28	1091.0	5	short			2.5	60.0
4	1998-08-31		5	short			-0.0	60.0
5	1998-09-01	1116.0	5	short			-125.0	-65.0
6	1998-09-02	1107.0	5	short			45.0	-20.0
7	1998-09-03	1111.0	5	short			-20.0	-40.0
8	1998-09-04	1107.0	5	short			20.0	-20.0
9	1998-09-07	1106.5	5	short			2.5	-17.5
10	1998-09-08	1105.5	5	short			5.0	-12.5
11	1998-09-09	1102.25	5	short			16.25	3.75
12	1998-09-10	1101.0	5	short			6.25	10.0
13	1998-09-11	1103.25	5	short			-11.25	-1.25
14	1998-09-14	1105.75	5	short			-12.5	-13.75
15	1998-09-15	1106.75	5	short			-5.0	-18.75
16	1998-09-16	1108.5	5	short			-8.75	-27.5
17	1998-09-17	1078.5	5	short			150.0	122.5
18	1998-09-18	1088.0	5	short			-47.5	75.0
19	1998-09-21	1075.5	5	short			62.5	137.5
20	1998-09-22	1083.0	5	short			-37.5	100.0
21	1998-09-23	1100.75	5	short			-88.75	11.25
22	1998-09-24	1093.75	5	short			35.0	46.25
23	1998-09-25	1088.75	5	short			25.0	71.25
24	1998-09-28	1089.75	5	short			-5.0	66.25
25	1998-09-29	1094.75	5	short			-25.0	41.25
26	1998-09-30	1085.25	5	short			47.5	88.75
27	1998-10-01	1094.5	5	short			-46.25	42.5
28	1998-10-02	1076.25	5	short			91.25	133.75
29	1998-10-05	1075.25	5	short			5.0	138.75
30	1998-10-06	1085.25	5	short			-50.0	88.75
31	1998-10-07	1091.0	5	short			-28.75	60.0
32	1998-10-08	1073.5	5	short			87.5	147.5
33	1998-10-09	1055.25	5	short			91.25	238.75
34	1998-10-12	1059.25	5	short			-20.0	218.75
35	1998-10-13	1057.75	5	short			7.5	226.25
36	1998-10-14	1052.75	5	short			25.0	251.25
37	1998-10-15	1047.75	5	short			25.0	276.25
38	1998-10-16	1061.75	5	short			-70.0	206.25
39	1998-10-19	1069.5	5	short			-38.75	167.5
40	1998-10-20	1072.0	5	short			-12.5	155.0
41	1998-10-21	1052.5	5	short			97.5	252.5
42	1998-10-22	1049.5	5	short			15.0	267.5
43	1998-10-23	1055.5	5	short			-30.0	237.5
44	1998-10-26	1044.75	5	short			53.75	291.25
45	1998-10-27	1045.5	5	short			-3.75	287.5
46	1998-10-28	1044.25	5	short			6.25	293.75
47	1998-10-29	1036.0	5	short			41.25	335.0
48	1998-10-30	1035.5	5	short			2.5	337.5
49	1998-11-02	1054.5	5	short			-95.0	242.5
50	1998-11-03	1049.5	5	short			25.0	267.5
51	1998-11-04	1052.25	5	short			-13.75	253.75
52	1998-11-05	1050.0	5	short			11.25	265.0
53	1998-11-06	1050.25	5	short			-1.25	263.75
