	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2003-12-08	979.0	short	1	True	1.0		
1	2003-12-09	985.5	short	2	True	2.0	-6.5	-6.5
2	2003-12-10	988.5	short	3	True	3.0	-6.0	-12.5
3	2003-12-11	988.75	short	4	True	4.0	-0.75	-13.25
4	2003-12-12	989.5	short	5	True	5.0	-3.0	-16.25
5	2003-12-15	988.0	short	5			7.5	-8.75
6	2003-12-16	993.25	short	5			-26.25	-35.0
7	2003-12-17	987.0	short	5			31.25	-3.75
8	2003-12-18	995.5	short	5			-42.5	-46.25
9	2003-12-19	1002.5	short	5			-35.0	-81.25
10	2003-12-22	988.0	short	5			72.5	-8.75
11	2003-12-23	1002.0	short	5			-70.0	-78.75
12	2003-12-24	1002.75	short	5			-3.75	-82.5
13	2003-12-25		short	5			-0.0	-82.5
14	2003-12-26		short	5			-0.0	-82.5
15	2003-12-29	1007.0	short	5			-21.25	-103.75
16	2003-12-30	1011.0	short	5			-20.0	-123.75
17	2003-12-31	1016.0	short	5			-25.0	-148.75
18	2004-01-01		short	5			-0.0	-148.75
19	2004-01-02	1037.5	short	5			-107.5	-256.25
20	2004-01-05	1044.5	short	5			-35.0	-291.25
21	2004-01-06	1026.0	short	5			92.5	-198.75
22	2004-01-07	1022.0	short	5			20.0	-178.75
23	2004-01-08	1051.0	short	4	True	1.0	-145.0	-323.75
24	2004-01-09	1044.0	short	3	True	2.0	28.0	-295.75
25	2004-01-12	1035.75	short	2	True	3.0	24.75	-271.0
26	2004-01-13	1034.5	short	1	True	4.0	2.5	-268.5
27	2004-01-14	1042.5	short	0	True	5.0	-8.0	-276.5
28	2004-06-08	1084.0	long	1	True	1.0		
29	2004-06-09	1064.0	long	2	True	2.0	-20.0	-296.5
30	2004-06-10	1049.5	long	3	True	3.0	-29.0	-325.5
31	2004-06-11	1018.25	long	4	True	4.0	-93.75	-419.25
32	2004-06-14	1002.25	long	5	True	5.0	-64.0	-483.25
33	2004-06-15	1014.5	long	5			61.25	-422.0
34	2004-06-16	1003.75	long	5			-53.75	-475.75
35	2004-06-17	1014.5	long	5			53.75	-422.0
36	2004-06-18	1017.0	long	5			12.5	-409.5
37	2004-06-21	1010.25	long	5			-33.75	-443.25
38	2004-06-22	957.0	long	5			-266.25	-709.5
39	2004-06-23	968.25	long	5			56.25	-653.25
40	2004-06-24	989.25	long	5			105.0	-548.25
41	2004-06-25	984.5	long	5			-23.75	-572.0
42	2004-06-28	986.75	long	5			11.25	-560.75
43	2004-06-29	967.75	long	5			-95.0	-655.75
44	2004-06-30	977.75	long	5			50.0	-605.75
45	2004-07-01	971.0	long	5			-33.75	-639.5
46	2004-07-02	977.0	long	5			30.0	-609.5
47	2004-07-05	996.75	long	5			98.75	-510.75
48	2004-07-06	984.75	long	5			-60.0	-570.75
49	2004-07-07	999.75	long	5			75.0	-495.75
50	2004-07-08	1002.25	long	4	True	1.0	12.5	-483.25
51	2004-07-09	1002.5	long	3	True	2.0	1.0	-482.25
52	2004-07-12	1005.5	long	2	True	3.0	9.0	-473.25
53	2004-07-13	990.5	long	1	True	4.0	-30.0	-503.25
54	2004-07-14	995.25	long	0	True	5.0	4.75	-498.5
