	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-04-08	2564.5	short	1	True	1.0		
1	2011-04-11	2578.5	short	2	True	2.0	-14.0	-14.0
2	2011-04-12	2503.0	short	3	True	3.0	151.0	137.0
3	2011-04-13	2457.0	short	4	True	4.0	138.0	275.0
4	2011-04-14	2436.0	short	5	True	5.0	84.0	359.0
5	2011-04-15	2435.0	short	5			5.0	364.0
6	2011-04-18	2360.5	short	5			372.5	736.5
7	2011-04-19	2364.5	short	5			-20.0	716.5
8	2011-04-20	2390.0	short	5			-127.5	589.0
9	2011-04-21	2390.5	short	5			-2.5	586.5
10	2011-04-22		short	5			-0.0	586.5
11	2011-04-25		short	5			-0.0	586.5
12	2011-04-26	2292.75	short	5			488.75	1075.25
13	2011-04-27	2272.25	short	5			102.5	1177.75
14	2011-04-28	2274.0	short	5			-8.75	1169.0
15	2011-04-29		short	5			-0.0	1169.0
16	2011-05-02		short	5			-0.0	1169.0
17	2011-05-03	2273.5	short	5			2.5	1171.5
18	2011-05-04	2219.0	short	5			272.5	1444.0
19	2011-05-05	2153.0	short	5			330.0	1774.0
20	2011-05-06	2167.0	short	5			-70.0	1704.0
21	2011-05-09	2185.5	short	4	True	1.0	-92.5	1611.5
22	2011-05-10	2193.5	short	3	True	2.0	-32.0	1579.5
23	2011-05-11	2180.75	short	2	True	3.0	38.25	1617.75
24	2011-05-12	2162.5	short	1	True	4.0	36.5	1654.25
25	2011-05-13	2176.0	short	0	True	5.0	-13.5	1640.75
26	2011-12-08	1974.5	long	1	True	1.0		
27	2011-12-09	1993.75	long	2	True	2.0	19.25	1660.0
28	2011-12-12	1922.5	long	3	True	3.0	-142.5	1517.5
29	2011-12-13	1902.0	long	4	True	4.0	-61.5	1456.0
30	2011-12-14	1834.5	long	5	True	5.0	-270.0	1186.0
31	2011-12-15	1834.75	long	5			1.25	1187.25
32	2011-12-16	1856.75	long	5			110.0	1297.25
33	2011-12-19	1825.0	long	5			-158.75	1138.5
34	2011-12-20	1853.75	long	5			143.75	1282.25
35	2011-12-21	1837.25	long	5			-82.5	1199.75
36	2011-12-22	1836.5	long	5			-3.75	1196.0
37	2011-12-23	1841.5	long	5			25.0	1221.0
38	2011-12-26		long	5			0.0	1221.0
39	2011-12-27		long	5			0.0	1221.0
40	2011-12-28	1795.0	long	5			-232.5	988.5
41	2011-12-29	1817.25	long	5			111.25	1099.75
42	2011-12-30	1830.75	long	5			67.5	1167.25
43	2012-01-02		long	5			0.0	1167.25
44	2012-01-03	1864.25	long	5			167.5	1334.75
45	2012-01-04	1856.5	long	5			-38.75	1296.0
46	2012-01-05	1821.25	long	5			-176.25	1119.75
47	2012-01-06	1840.75	long	5			97.5	1217.25
48	2012-01-09	1870.25	long	4	True	1.0	147.5	1364.75
49	2012-01-10	1922.75	long	3	True	2.0	210.0	1574.75
50	2012-01-11	1928.75	long	2	True	3.0	18.0	1592.75
51	2012-01-12	1960.0	long	1	True	4.0	62.5	1655.25
52	2012-01-13	1954.0	long	0	True	5.0	-6.0	1649.25
