	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2014-09-08	2407.0	short	1	True	1.0		
1	2014-09-09	2320.75	short	2	True	2.0	86.25	86.25
2	2014-09-10	2328.25	short	3	True	3.0	-15.0	71.25
3	2014-09-11	2282.5	short	4	True	4.0	137.25	208.5
4	2014-09-12	2291.75	short	5	True	5.0	-37.0	171.5
5	2014-09-15	2266.75	short	5			125.0	296.5
6	2014-09-16	2296.75	short	5			-150.0	146.5
7	2014-09-17	2285.5	short	5			56.25	202.75
8	2014-09-18	2282.5	short	5			15.0	217.75
9	2014-09-19	2294.5	short	5			-60.0	157.75
10	2014-09-22	2260.5	short	5			170.0	327.75
11	2014-09-23	2274.75	short	5			-71.25	256.5
12	2014-09-24	2298.5	short	5			-118.75	137.75
13	2014-09-25	2282.5	short	5			80.0	217.75
14	2014-09-26	2282.25	short	5			1.25	219.0
15	2014-09-29	2308.5	short	5			-131.25	87.75
16	2014-09-30	2305.5	short	5			15.0	102.75
17	2014-10-01	2285.75	short	5			98.75	201.5
18	2014-10-02	2268.5	short	5			86.25	287.75
19	2014-10-03	2282.25	short	5			-68.75	219.0
20	2014-10-06	2323.5	short	5			-206.25	12.75
21	2014-10-07	2335.0	short	5			-57.5	-44.75
22	2014-10-08	2334.75	short	4	True	1.0	1.25	-43.5
23	2014-10-09	2353.0	short	3	True	2.0	-73.0	-116.5
24	2014-10-10	2330.25	short	2	True	3.0	68.25	-48.25
25	2014-10-13	2354.0	short	1	True	4.0	-47.5	-95.75
26	2014-10-14	2364.75	short	0	True	5.0	-10.75	-106.5
27	2015-05-08	2359.0	long	1	True	1.0		
28	2015-05-11	2305.5	long	2	True	2.0	-53.5	-160.0
29	2015-05-12	2358.5	long	3	True	3.0	106.0	-54.0
30	2015-05-13	2338.25	long	4	True	4.0	-60.75	-114.75
31	2015-05-14	2309.75	long	5	True	5.0	-114.0	-228.75
32	2015-05-15	2290.0	long	5			-98.75	-327.5
33	2015-05-18	2280.25	long	5			-48.75	-376.25
34	2015-05-19	2223.5	long	5			-283.75	-660.0
35	2015-05-20	2193.5	long	5			-150.0	-810.0
36	2015-05-21	2186.0	long	5			-37.5	-847.5
37	2015-05-22	2173.0	long	5			-65.0	-912.5
38	2015-05-25		long	5			0.0	-912.5
39	2015-05-26	2172.0	long	5			-5.0	-917.5
40	2015-05-27	2183.25	long	5			56.25	-861.25
41	2015-05-28	2228.25	long	5			225.0	-636.25
42	2015-05-29	2183.0	long	5			-226.25	-862.5
43	2015-06-01	2148.5	long	5			-172.5	-1035.0
44	2015-06-02	2151.25	long	5			13.75	-1021.25
45	2015-06-03	2165.25	long	5			70.0	-951.25
46	2015-06-04	2134.25	long	5			-155.0	-1106.25
47	2015-06-05	2121.5	long	5			-63.75	-1170.0
48	2015-06-08	2129.25	long	4	True	1.0	38.75	-1131.25
49	2015-06-09	2150.75	long	3	True	2.0	86.0	-1045.25
50	2015-06-10	2126.0	long	2	True	3.0	-74.25	-1119.5
51	2015-06-11	2108.75	long	1	True	4.0	-34.5	-1154.0
52	2015-06-12	2113.0	long	0	True	5.0	4.25	-1149.75
