	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2019-11-08	2433.5	short	1	True	1.0		
1	2019-11-11	2447.5	short	2	True	2.0	-14.0	-14.0
2	2019-11-12	2422.5	short	3	True	3.0	50.0	36.0
3	2019-11-13	2382.5	short	4	True	4.0	120.0	156.0
4	2019-11-14	2362.5	short	5	True	5.0	80.0	236.0
5	2019-11-15	2344.0	short	5			92.5	328.5
6	2019-11-18	2311.0	short	5			165.0	493.5
7	2019-11-19	2316.0	short	5			-25.0	468.5
8	2019-11-20	2287.0	short	5			145.0	613.5
9	2019-11-21	2266.0	short	5			105.0	718.5
10	2019-11-22	2275.5	short	5			-47.5	671.0
11	2019-11-25	2250.75	short	5			123.75	794.75
12	2019-11-26	2270.0	short	5			-96.25	698.5
13	2019-11-27	2267.5	short	5			12.5	711.0
14	2019-11-28	2254.75	short	5			63.75	774.75
15	2019-11-29	2246.0	short	5			43.75	818.5
16	2019-12-02	2216.5	short	5			147.5	966.0
17	2019-12-03	2178.0	short	5			192.5	1158.5
18	2019-12-04	2221.25	short	5			-216.25	942.25
19	2019-12-05	2211.5	short	5			48.75	991.0
20	2019-12-06	2217.0	short	5			-27.5	963.5
21	2019-12-09	2218.5	short	4	True	1.0	-7.5	956.0
22	2019-12-10	2210.5	short	3	True	2.0	32.0	988.0
23	2019-12-11	2201.75	short	2	True	3.0	26.25	1014.25
24	2019-12-12	2238.0	short	1	True	4.0	-72.5	941.75
25	2019-12-13	2224.5	short	0	True	5.0	13.5	955.25
26	2020-08-10	2390.0	long	1	True	1.0		
27	2020-08-11	2402.25	long	2	True	2.0	12.25	967.5
28	2020-08-12	2391.75	long	3	True	3.0	-21.0	946.5
29	2020-08-13	2364.0	long	4	True	4.0	-83.25	863.25
30	2020-08-14	2356.5	long	5	True	5.0	-30.0	833.25
31	2020-08-17	2430.25	long	5			368.75	1202.0
32	2020-08-18	2447.25	long	5			85.0	1287.0
33	2020-08-19	2493.5	long	5			231.25	1518.25
34	2020-08-20	2475.5	long	5			-90.0	1428.25
35	2020-08-21	2439.85	long	5			-178.25000000000045	1249.9999999999995
36	2020-08-24	2429.25	long	5			-52.999999999999545	1197.0
37	2020-08-25	2465.5	long	5			181.25	1378.25
38	2020-08-26	2448.0	long	5			-87.5	1290.75
39	2020-08-27	2467.75	long	5			98.75	1389.5
40	2020-08-28	2498.25	long	5			152.5	1542.0
41	2020-08-31		long	5			0.0	1542.0
42	2020-09-01	2534.75	long	5			182.5	1724.5
43	2020-09-02	2511.75	long	5			-115.0	1609.5
44	2020-09-03	2489.25	long	5			-112.5	1497.0
45	2020-09-04	2459.0	long	5			-151.25	1345.75
46	2020-09-07	2482.0	long	5			115.0	1460.75
47	2020-09-08	2390.75	long	4	True	1.0	-456.25	1004.5
48	2020-09-09	2398.7	long	3	True	2.0	31.799999999999272	1036.2999999999993
49	2020-09-10	2392.25	long	2	True	3.0	-19.349999999999454	1016.9499999999998
50	2020-09-11	2448.75	long	1	True	4.0	113.0	1129.9499999999998
51	2020-09-14	2457.25	long	0	True	5.0	8.5	1138.4499999999998
