	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-12-09	4.054	short	1	True	1.0		
1	2002-12-10	4.207	short	2	True	2.0	-0.15299999999999958	-0.15299999999999958
2	2002-12-11	4.217	short	3	True	3.0	-0.019999999999999574	-0.17299999999999915
3	2002-12-12	4.3	short	4	True	4.0	-0.24900000000000055	-0.4219999999999997
4	2002-12-13	4.36	short	5	True	5.0	-0.240000000000002	-0.6620000000000017
5	2002-12-16	4.307	short	5			0.2649999999999997	-0.397000000000002
6	2002-12-17	4.254	short	5			0.2650000000000041	-0.1319999999999979
7	2002-12-18	4.294	short	5			-0.20000000000000018	-0.3319999999999981
8	2002-12-19	4.303	short	5			-0.045000000000001705	-0.3769999999999998
9	2002-12-20	4.388	short	5			-0.4249999999999998	-0.8019999999999996
10	2002-12-23	4.417	short	5			-0.14499999999999957	-0.9469999999999992
11	2002-12-24	4.43	short	5			-0.0649999999999995	-1.0119999999999987
12	2002-12-25		short	5			-0.0	-1.0119999999999987
13	2002-12-26	4.42	short	5			0.049999999999998934	-0.9619999999999997
14	2002-12-27	4.507	short	5			-0.4349999999999987	-1.3969999999999985
15	2002-12-30	4.426	short	5			0.4049999999999976	-0.9920000000000009
16	2002-12-31	4.429	short	5			-0.015000000000000568	-1.0070000000000014
17	2003-01-01		short	5			-0.0	-1.0070000000000014
18	2003-01-02	4.666	short	5			-1.1850000000000005	-2.192000000000002
19	2003-01-03	4.755	short	5			-0.4449999999999976	-2.6369999999999996
20	2003-01-06	4.608	short	5			0.7350000000000012	-1.9019999999999984
21	2003-01-07	4.72	short	5			-0.5600000000000005	-2.461999999999999
22	2003-01-08	4.768	short	4	True	1.0	-0.2400000000000002	-2.701999999999999
23	2003-01-09	4.854	short	3	True	2.0	-0.3440000000000012	-3.0460000000000003
24	2003-01-10	4.711	short	2	True	3.0	0.4289999999999994	-2.617000000000001
25	2003-01-13	4.752	short	1	True	4.0	-0.08199999999999896	-2.699
26	2003-01-14	4.718	short	0	True	5.0	0.03399999999999981	-2.665
27	2003-04-08	5.168	long	1	True	1.0		
28	2003-04-09	5.255	long	2	True	2.0	0.08699999999999974	-2.5780000000000003
29	2003-04-10	5.491	long	3	True	3.0	0.47199999999999953	-2.1060000000000008
30	2003-04-11	5.5	long	4	True	4.0	0.027000000000001023	-2.0789999999999997
31	2003-04-14	5.627	long	5	True	5.0	0.5079999999999991	-1.5710000000000006
32	2003-04-15	5.739	long	5			0.5600000000000005	-1.0110000000000001
33	2003-04-16	5.76	long	5			0.10499999999999954	-0.9060000000000006
34	2003-04-17	5.788	long	5			0.14000000000000234	-0.7659999999999982
35	2003-04-18		long	5			0.0	-0.7659999999999982
36	2003-04-21	5.803	long	5			0.0749999999999984	-0.6909999999999998
37	2003-04-22	5.739	long	5			-0.3200000000000003	-1.0110000000000001
38	2003-04-23	5.671	long	5			-0.3399999999999981	-1.3509999999999982
39	2003-04-24	5.553	long	5			-0.5900000000000016	-1.9409999999999998
40	2003-04-25	5.541	long	5			-0.05999999999999783	-2.0009999999999977
41	2003-04-28	5.19	long	5			-1.755	-3.7559999999999976
42	2003-04-29	5.236	long	5			0.22999999999999687	-3.5260000000000007
43	2003-04-30	5.385	long	5			0.7450000000000001	-2.7810000000000006
44	2003-05-01	5.267	long	5			-0.5899999999999972	-3.3709999999999978
45	2003-05-02	5.255	long	5			-0.060000000000002274	-3.431
46	2003-05-05	5.689	long	5			2.170000000000001	-1.2609999999999992
47	2003-05-06	5.568	long	5			-0.6050000000000022	-1.8660000000000014
48	2003-05-07	5.66	long	5			0.46000000000000263	-1.4059999999999988
49	2003-05-08	5.772	long	4	True	1.0	0.5600000000000005	-0.8459999999999983
50	2003-05-09	5.806	long	3	True	2.0	0.13599999999999923	-0.7099999999999991
51	2003-05-12	5.983	long	2	True	3.0	0.5309999999999988	-0.17900000000000027
52	2003-05-13	6.308	long	1	True	4.0	0.6500000000000004	0.4710000000000001
53	2003-05-14	6.314	long	0	True	5.0	0.006000000000000227	0.4770000000000003
