	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-03-08	2.817	short	1	True	1.0		
1	2000-03-09	2.861	short	2	True	2.0	-0.04400000000000004	-0.04400000000000004
2	2000-03-10	2.854	short	3	True	3.0	0.014000000000000234	-0.029999999999999805
3	2000-03-13	2.912	short	4	True	4.0	-0.1739999999999995	-0.2039999999999993
4	2000-03-14	2.89	short	5	True	5.0	0.08799999999999919	-0.1160000000000001
5	2000-03-15	2.922	short	5			-0.16000000000000014	-0.27600000000000025
6	2000-03-16	2.91	short	5			0.06000000000000005	-0.2160000000000002
7	2000-03-17	2.87	short	5			0.20000000000000018	-0.016000000000000014
8	2000-03-20	2.818	short	5			0.26000000000000023	0.24400000000000022
9	2000-03-21	2.844	short	5			-0.129999999999999	0.11400000000000121
10	2000-03-22	2.875	short	5			-0.1550000000000007	-0.04099999999999948
11	2000-03-23	2.915	short	5			-0.20000000000000018	-0.24099999999999966
12	2000-03-24	2.901	short	5			0.07000000000000117	-0.1709999999999985
13	2000-03-27	2.963	short	5			-0.3100000000000014	-0.48099999999999987
14	2000-03-28	2.995	short	5			-0.16000000000000014	-0.641
15	2000-03-29	2.951	short	5			0.2200000000000002	-0.4209999999999998
16	2000-03-30	2.92	short	5			0.1550000000000007	-0.2659999999999991
17	2000-03-31	2.977	short	5			-0.2849999999999997	-0.5509999999999988
18	2000-04-03	2.938	short	5			0.1949999999999985	-0.3560000000000003
19	2000-04-04	2.879	short	5			0.2950000000000008	-0.0609999999999995
20	2000-04-05	2.93	short	5			-0.2550000000000008	-0.3160000000000003
21	2000-04-06	2.984	short	5			-0.26999999999999913	-0.5859999999999994
22	2000-04-07	3.008	short	5			-0.1200000000000001	-0.7059999999999995
23	2000-04-10	3.011	short	4	True	1.0	-0.015000000000000568	-0.7210000000000001
24	2000-04-11	2.99	short	3	True	2.0	0.08399999999999963	-0.6370000000000005
25	2000-04-12	3.043	short	2	True	3.0	-0.1589999999999998	-0.7960000000000003
26	2000-04-13	3.105	short	1	True	4.0	-0.12399999999999967	-0.9199999999999999
27	2000-04-14	3.096	short	0	True	5.0	0.008999999999999897	-0.911
28	2000-07-10	4.222	long	1	True	1.0		
29	2000-07-11	4.251	long	2	True	2.0	0.028999999999999915	-0.8820000000000001
30	2000-07-12	4.031	long	3	True	3.0	-0.4400000000000013	-1.3220000000000014
31	2000-07-13	4.162	long	4	True	4.0	0.3930000000000007	-0.9290000000000007
32	2000-07-14	4.145	long	5	True	5.0	-0.06800000000000139	-0.9970000000000021
33	2000-07-17	4.007	long	5			-0.6899999999999995	-1.6870000000000016
34	2000-07-18	4.041	long	5			0.17000000000000348	-1.5169999999999981
35	2000-07-19	3.889	long	5			-0.7600000000000029	-2.277000000000001
36	2000-07-20	3.863	long	5			-0.129999999999999	-2.407
37	2000-07-21	3.837	long	5			-0.129999999999999	-2.536999999999999
38	2000-07-24	3.725	long	5			-0.5600000000000005	-3.0969999999999995
39	2000-07-25	3.666	long	5			-0.2950000000000008	-3.3920000000000003
40	2000-07-26	3.793	long	5			0.6350000000000011	-2.7569999999999992
41	2000-07-27	3.843	long	5			0.2499999999999991	-2.507
42	2000-07-28	3.845	long	5			0.010000000000001119	-2.496999999999999
43	2000-07-31	3.774	long	5			-0.35500000000000087	-2.852
44	2000-08-01	3.987	long	5			1.0650000000000004	-1.7869999999999995
45	2000-08-02	4.214	long	5			1.1350000000000016	-0.6519999999999979
46	2000-08-03	4.25	long	5			0.17999999999999794	-0.472
47	2000-08-04	4.296	long	5			0.23000000000000131	-0.24199999999999866
48	2000-08-07	4.348	long	5			0.259999999999998	0.01799999999999935
49	2000-08-08	4.409	long	4	True	1.0	0.3049999999999997	0.32299999999999907
50	2000-08-09	4.419	long	3	True	2.0	0.03999999999999915	0.3629999999999982
51	2000-08-10	4.468	long	2	True	3.0	0.14700000000000113	0.5099999999999993
52	2000-08-11	4.475	long	1	True	4.0	0.013999999999999346	0.5239999999999987
53	2000-08-14	4.318	long	0	True	5.0	-0.15700000000000003	0.36699999999999866
