,Due,Future,Month,Pair
0,1999-12-28,NGF00,F,NGU00
1,2000-01-27,NGG00,G,NGV00
2,2000-02-25,NGH00,H,NGX00
3,2000-03-29,NGJ00,J,NGZ00
4,2000-04-26,NGK00,K,NGF01
5,2000-05-26,NGM00,M,NGG01
6,2000-06-28,NGN00,N,NGH01
7,2000-07-27,NGQ00,Q,NGJ01
8,2000-08-29,NGU00,U,NGK01
9,2000-09-27,NGV00,V,NGM01
10,2000-10-27,NGX00,X,NGN01
11,2000-11-28,NGZ00,Z,NGQ01
12,2000-12-27,NGF01,F,NGU01
13,2001-01-29,NGG01,G,NGV01
14,2001-02-26,NGH01,H,NGX01
15,2001-03-28,NGJ01,J,NGZ01
16,2001-04-26,NGK01,K,NGF02
17,2001-05-29,NGM01,M,NGG02
18,2001-06-27,NGN01,N,NGH02
19,2001-07-27,NGQ01,Q,NGJ02
20,2001-08-29,NGU01,U,NGK02
21,2001-09-26,NGV01,V,NGM02
22,2001-10-29,NGX01,X,NGN02
23,2001-11-28,NGZ01,Z,NGQ02
24,2001-12-27,NGF02,F,NGU02
25,2002-01-29,NGG02,G,NGV02
26,2002-02-26,NGH02,H,NGX02
27,2002-03-26,NGJ02,J,NGZ02
28,2002-04-26,NGK02,K,NGF03
29,2002-05-29,NGM02,M,NGG03
30,2002-06-26,NGN02,N,NGH03
31,2002-07-29,NGQ02,Q,NGJ03
32,2002-08-28,NGU02,U,NGK03
33,2002-09-26,NGV02,V,NGM03
34,2002-10-29,NGX02,X,NGN03
35,2002-11-26,NGZ02,Z,NGQ03
36,2002-12-27,NGF03,F,NGU03
37,2003-01-29,NGG03,G,NGV03
38,2003-02-26,NGH03,H,NGX03
39,2003-03-27,NGJ03,J,NGZ03
40,2003-04-28,NGK03,K,NGF04
41,2003-05-28,NGM03,M,NGG04
42,2003-06-26,NGN03,N,NGH04
43,2003-07-29,NGQ03,Q,NGJ04
44,2003-08-27,NGU03,U,NGK04
45,2003-09-26,NGV03,V,NGM04
46,2003-10-29,NGX03,X,NGN04
47,2003-11-25,NGZ03,Z,NGQ04
48,2003-12-29,NGF04,F,NGU04
49,2004-01-28,NGG04,G,NGV04
50,2004-02-25,NGH04,H,NGX04
51,2004-03-29,NGJ04,J,NGZ04
52,2004-04-28,NGK04,K,NGF05
53,2004-05-26,NGM04,M,NGG05
54,2004-06-28,NGN04,N,NGH05
55,2004-07-28,NGQ04,Q,NGJ05
56,2004-08-27,NGU04,U,NGK05
57,2004-09-28,NGV04,V,NGM05
58,2004-10-27,NGX04,X,NGN05
59,2004-11-24,NGZ04,Z,NGQ05
60,2004-12-28,NGF05,F,NGU05
61,2005-01-27,NGG05,G,NGV05
62,2005-02-24,NGH05,H,NGX05
63,2005-03-29,NGJ05,J,NGZ05
64,2005-04-27,NGK05,K,NGF06
65,2005-05-26,NGM05,M,NGG06
66,2005-06-28,NGN05,N,NGH06
67,2005-07-27,NGQ05,Q,NGJ06
68,2005-08-29,NGU05,U,NGK06
69,2005-09-28,NGV05,V,NGM06
70,2005-10-27,NGX05,X,NGN06
71,2005-11-28,NGZ05,Z,NGQ06
72,2005-12-28,NGF06,F,NGU06
73,2006-01-27,NGG06,G,NGV06
74,2006-02-24,NGH06,H,NGX06
75,2006-03-29,NGJ06,J,NGZ06
76,2006-04-26,NGK06,K,NGF07
77,2006-05-26,NGM06,M,NGG07
78,2006-06-28,NGN06,N,NGH07
79,2006-07-27,NGQ06,Q,NGJ07
80,2006-08-29,NGU06,U,NGK07
81,2006-09-27,NGV06,V,NGM07
82,2006-10-27,NGX06,X,NGN07
83,2006-11-28,NGZ06,Z,NGQ07
84,2006-12-27,NGF07,F,NGU07
85,2007-01-29,NGG07,G,NGV07
86,2007-02-26,NGH07,H,NGX07
87,2007-03-28,NGJ07,J,NGZ07
88,2007-04-26,NGK07,K,NGF08
89,2007-05-29,NGM07,M,NGG08
90,2007-06-27,NGN07,N,NGH08
91,2007-07-27,NGQ07,Q,NGJ08
92,2007-08-29,NGU07,U,NGK08
93,2007-09-26,NGV07,V,NGM08
94,2007-10-29,NGX07,X,NGN08
95,2007-11-28,NGZ07,Z,NGQ08
96,2007-12-27,NGF08,F,NGU08
97,2008-01-29,NGG08,G,NGV08
98,2008-02-27,NGH08,H,NGX08
99,2008-03-27,NGJ08,J,NGZ08
100,2008-04-28,NGK08,K,NGF09
101,2008-05-28,NGM08,M,NGG09
102,2008-06-26,NGN08,N,NGH09
103,2008-07-29,NGQ08,Q,NGJ09
104,2008-08-27,NGU08,U,NGK09
105,2008-09-26,NGV08,V,NGM09
106,2008-10-29,NGX08,X,NGN09
107,2008-11-24,NGZ08,Z,NGQ09
108,2008-12-29,NGF09,F,NGU09
109,2009-01-28,NGG09,G,NGV09
110,2009-02-25,NGH09,H,NGX09
111,2009-03-27,NGJ09,J,NGZ09
112,2009-04-28,NGK09,K,NGF10
113,2009-05-27,NGM09,M,NGG10
114,2009-06-26,NGN09,N,NGH10
115,2009-07-29,NGQ09,Q,NGJ10
116,2009-08-27,NGU09,U,NGK10
117,2009-09-28,NGV09,V,NGM10
118,2009-10-28,NGX09,X,NGN10
119,2009-11-24,NGZ09,Z,NGQ10
120,2009-12-29,NGF10,F,NGU10
121,2010-01-27,NGG10,G,NGV10
122,2010-02-24,NGH10,H,NGX10
123,2010-03-29,NGJ10,J,NGZ10
124,2010-04-28,NGK10,K,NGF11
