	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-02-08	519.55	short	1	True	1.0		
1	2016-02-09	518.35	short	2	True	2.0	1.1999999999999318	1.1999999999999318
2	2016-02-10	526.55	short	3	True	3.0	-16.399999999999864	-15.199999999999932
3	2016-02-11	526.2	short	4	True	4.0	1.0499999999997272	-14.150000000000205
4	2016-02-12	528.75	short	5	True	5.0	-10.199999999999818	-24.350000000000023
5	2016-02-15		short	5			-0.0	-24.350000000000023
6	2016-02-16	511.3	short	5			87.24999999999994	62.89999999999992
7	2016-02-17	517.5	short	5			-30.999999999999943	31.899999999999977
8	2016-02-18	506.45	short	5			55.25000000000006	87.15000000000003
9	2016-02-19	500.75	short	5			28.499999999999943	115.64999999999998
10	2016-02-22	500.15	short	5			3.0000000000001137	118.65000000000009
11	2016-02-23	501.4	short	5			-6.25	112.40000000000009
12	2016-02-24	488.35	short	5			65.24999999999977	177.64999999999986
13	2016-02-25	484.65	short	5			18.500000000000227	196.1500000000001
14	2016-02-26	484.0	short	5			3.2499999999998863	199.39999999999998
15	2016-02-29	496.9	short	5			-64.49999999999989	134.9000000000001
16	2016-03-01	518.6	short	5			-108.50000000000023	26.399999999999864
17	2016-03-02	516.5	short	5			10.500000000000114	36.89999999999998
18	2016-03-03	543.05	short	5			-132.74999999999977	-95.8499999999998
19	2016-03-04	563.8	short	5			-103.75	-199.5999999999998
20	2016-03-07	578.0	short	5			-71.00000000000023	-270.6
21	2016-03-08	567.95	short	5			50.24999999999977	-220.35000000000025
22	2016-03-09	566.95	short	5			5.0	-215.35000000000025
23	2016-03-10	574.8	short	5			-39.249999999999545	-254.5999999999998
24	2016-03-11	580.85	short	5			-30.25000000000034	-284.85000000000014
25	2016-03-14	573.55	short	5			36.50000000000034	-248.3499999999998
26	2016-03-15	571.45	short	5			10.499999999999545	-237.85000000000025
27	2016-03-16	578.35	short	5			-34.499999999999886	-272.35000000000014
28	2016-03-17	598.6	short	5			-101.25	-373.60000000000014
29	2016-03-18	590.8	short	5			39.00000000000034	-334.5999999999998
30	2016-03-21	603.65	short	5			-64.25000000000011	-398.8499999999999
31	2016-03-22	607.3	short	5			-18.249999999999886	-417.0999999999998
32	2016-03-23	584.45	short	5			114.24999999999955	-302.85000000000025
33	2016-03-24	574.05	short	5			52.000000000000455	-250.8499999999998
34	2016-03-25		short	5			-0.0	-250.8499999999998
35	2016-03-28	568.6	short	5			27.24999999999966	-223.60000000000014
36	2016-03-29	574.8	short	5			-30.99999999999966	-254.5999999999998
37	2016-03-30	568.15	short	5			33.249999999999886	-221.3499999999999
38	2016-03-31	565.9	short	5			11.25	-210.0999999999999
39	2016-04-01	562.9	short	5			15.0	-195.0999999999999
40	2016-04-04	554.55	short	5			41.750000000000114	-153.3499999999998
41	2016-04-05	545.8	short	5			43.75	-109.5999999999998
42	2016-04-06	540.05	short	5			28.75	-80.8499999999998
43	2016-04-07	536.3	short	5			18.75	-62.099999999999795
44	2016-04-08	541.0	short	5			-23.500000000000227	-85.60000000000002
45	2016-04-11	547.85	short	5			-34.250000000000114	-119.85000000000014
46	2016-04-12	546.5	short	5			6.750000000000114	-113.10000000000002
47	2016-04-13	544.95	short	5			7.749999999999773	-105.35000000000025
48	2016-04-14	562.8	short	5			-89.24999999999955	-194.5999999999998
49	2016-04-15	570.15	short	5			-36.750000000000114	-231.3499999999999
50	2016-04-18	570.0	short	5			0.7499999999998863	-230.60000000000002
51	2016-04-19	584.25	short	5			-71.25	-301.85
52	2016-04-20	599.1	short	5			-74.25000000000011	-376.10000000000014
53	2016-04-21	612.3	short	5			-65.99999999999966	-442.0999999999998
