	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-12-08	958.2	short	1	True	1.0		
1	2016-12-09	929.3	short	2	True	2.0	28.90000000000009	28.90000000000009
2	2016-12-12	948.0	short	3	True	3.0	-37.40000000000009	-8.5
3	2016-12-13	950.8	short	4	True	4.0	-8.399999999999864	-16.899999999999864
4	2016-12-14	954.7	short	5	True	5.0	-15.600000000000364	-32.50000000000023
5	2016-12-15	907.1	short	5			238.0000000000001	205.4999999999999
6	2016-12-16	947.4	short	5			-201.49999999999977	4.000000000000114
7	2016-12-19	930.8	short	5			83.00000000000011	87.00000000000023
8	2016-12-20	937.8	short	5			-35.0	52.00000000000023
9	2016-12-21	927.7	short	5			50.499999999999545	102.49999999999977
10	2016-12-22	920.0	short	5			38.50000000000023	141.0
11	2016-12-23	906.5	short	5			67.5	208.5
12	2016-12-26		short	5			-0.0	208.5
13	2016-12-27	917.2	short	5			-53.50000000000023	154.99999999999977
14	2016-12-28	913.0	short	5			21.000000000000227	176.0
15	2016-12-29	913.3	short	5			-1.4999999999997726	174.50000000000023
16	2016-12-30	915.8	short	5			-12.5	162.00000000000023
17	2017-01-02		short	5			-0.0	162.00000000000023
18	2017-01-03	955.0	short	5			-196.00000000000023	-34.0
19	2017-01-04	958.0	short	5			-15.0	-49.0
20	2017-01-05	986.5	short	5			-142.5	-191.5
21	2017-01-06	981.1	short	5			26.999999999999886	-164.5000000000001
22	2017-01-09	993.2	short	5			-60.500000000000114	-225.00000000000023
23	2017-01-10	993.2	short	5			-0.0	-225.00000000000023
24	2017-01-11	986.8	short	5			32.000000000000455	-192.99999999999977
25	2017-01-12	995.1	short	5			-41.50000000000034	-234.5000000000001
26	2017-01-13	996.7	short	5			-8.000000000000114	-242.50000000000023
27	2017-01-16		short	5			-0.0	-242.50000000000023
28	2017-01-17	993.1	short	5			18.000000000000114	-224.5000000000001
29	2017-01-18	982.2	short	5			54.499999999999886	-170.00000000000023
30	2017-01-19	966.7	short	5			77.5	-92.50000000000023
31	2017-01-20	986.4	short	5			-98.49999999999966	-190.9999999999999
32	2017-01-23	990.2	short	5			-19.00000000000034	-210.00000000000023
33	2017-01-24	1018.3	short	5			-140.49999999999955	-350.4999999999998
34	2017-01-25	992.3	short	5			130.0	-220.49999999999977
35	2017-01-26	992.5	short	5			-1.0000000000002274	-221.5
36	2017-01-27	994.1	short	5			-8.000000000000114	-229.5000000000001
37	2017-01-30	1004.3	short	5			-50.99999999999966	-280.4999999999998
38	2017-01-31	1007.3	short	5			-15.0	-295.4999999999998
39	2017-02-01	1010.3	short	5			-15.0	-310.4999999999998
40	2017-02-02	1010.2	short	5			0.49999999999954525	-310.0000000000002
41	2017-02-03	1017.5	short	5			-36.49999999999977	-346.5
42	2017-02-06	1025.3	short	5			-38.99999999999977	-385.4999999999998
43	2017-02-07	1024.0	short	5			6.499999999999773	-379.0
44	2017-02-08	1030.8	short	5			-33.99999999999977	-412.9999999999998
45	2017-02-09	1033.4	short	5			-13.000000000000682	-426.00000000000045
46	2017-02-10	1022.6	short	5			54.00000000000034	-372.0000000000001
47	2017-02-13	1011.7	short	5			54.499999999999886	-317.5000000000002
48	2017-02-14	1013.7	short	5			-10.0	-327.5000000000002
49	2017-02-15	1021.4	short	5			-38.49999999999966	-365.9999999999999
50	2017-02-16	1027.4	short	5			-30.00000000000057	-396.00000000000045
51	2017-02-17	1017.8	short	5			48.00000000000068	-347.9999999999998
52	2017-02-20		short	5			-0.0	-347.9999999999998
