	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-12-08		short	0	True	1.0		
1	2009-12-09		short	0	True	2.0		
2	2009-12-10		short	0	True	3.0		
3	2009-12-11		short	0	True	4.0		
4	2009-12-14		short	0	True	5.0		
5	2009-12-15		short	5				
6	2009-12-16		short	5				
7	2009-12-17		short	5				
8	2009-12-18		short	5				
9	2009-12-21		short	5				
10	2009-12-22		short	5				
11	2009-12-23		short	5				
12	2009-12-24		short	5				
13	2009-12-25		short	5				
14	2009-12-28		short	5				
15	2009-12-29		short	5				
16	2009-12-30		short	5				
17	2009-12-31		short	5				
18	2010-01-01		short	5				
19	2010-01-04		short	5				
20	2010-01-05		short	5				
21	2010-01-06		short	5				
22	2010-01-07		short	5				
23	2010-01-08		short	5				
24	2010-01-11		short	5				
25	2010-01-12		short	5				
26	2010-01-13		short	5				
27	2010-01-14		short	5				
28	2010-01-15		short	5				
29	2010-01-18		short	5				
30	2010-01-19		short	5				
31	2010-01-20		short	5				
32	2010-01-21		short	5				
33	2010-01-22		short	5				
34	2010-01-25		short	5				
35	2010-01-26		short	5				
36	2010-01-27		short	5				
37	2010-01-28	1483.9	short	5				
38	2010-01-29		short	5			-0.0	0.0
39	2010-02-01		short	5			-0.0	0.0
40	2010-02-02		short	5			-0.0	0.0
41	2010-02-03	1566.2	short	5			-411.4999999999998	-411.4999999999998
42	2010-02-04	1505.3	short	5			304.50000000000045	-106.99999999999932
43	2010-02-05		short	5			-0.0	-106.99999999999932
44	2010-02-08	1471.0	short	5			171.49999999999977	64.50000000000045
45	2010-02-09	1492.4	short	5			-107.00000000000045	-42.5
46	2010-02-10	1502.9	short	5			-52.5	-95.0
47	2010-02-11	1509.3	short	5			-31.999999999999318	-126.99999999999932
48	2010-02-12		short	5			-0.0	-126.99999999999932
49	2010-02-15		short	5			-0.0	-126.99999999999932
50	2010-02-16	1527.7	short	5			-92.00000000000045	-218.99999999999977
51	2010-02-17	1527.1	short	5			3.000000000000682	-215.9999999999991
52	2010-02-18	1509.6	short	5			87.5	-128.4999999999991
53	2010-02-19		short	5			-0.0	-128.4999999999991
54	2010-02-22	1521.9	short	5			-61.50000000000091	-190.0
55	2010-02-23	1500.3	short	5			108.00000000000068	-81.99999999999932
56	2010-02-24	1497.3	short	5			15.0	-66.99999999999932
57	2010-02-25	1522.9	short	5			-128.00000000000068	-195.0
58	2010-02-26	1531.8	short	5			-44.49999999999932	-239.49999999999932
59	2010-03-01	1542.0	short	5			-51.00000000000023	-290.49999999999955
60	2010-03-02	1575.1	short	5			-165.49999999999955	-455.9999999999991
61	2010-03-03	1583.5	short	5			-42.000000000000455	-497.99999999999955
62	2010-03-04	1583.9	short	5			-2.0000000000004547	-500.0
63	2010-03-05	1579.6	short	5			21.50000000000091	-478.4999999999991
64	2010-03-08	1600.0	short	4	True	1.0	-102.00000000000045	-580.4999999999995
65	2010-03-09	1596.9	short	3	True	2.0	12.399999999999636	-568.0999999999999
66	2010-03-10	1590.4	short	2	True	3.0	19.5	-548.5999999999999
67	2010-03-11	1612.5	short	1	True	4.0	-44.19999999999982	-592.7999999999997
68	2010-03-12	1608.9	short	0	True	5.0	3.599999999999909	-589.1999999999998
69	2010-12-08	1687.2	long	1	True	1.0		
70	2010-12-09	1684.5	long	2	True	2.0	-2.7000000000000455	-591.8999999999999
71	2010-12-10	1680.1	long	3	True	3.0	-8.800000000000182	-600.7
72	2010-12-13	1702.1	long	4	True	4.0	66.0	-534.7
73	2010-12-14	1719.2	long	5	True	5.0	68.40000000000055	-466.2999999999995
74	2010-12-15	1709.3	long	5			-49.500000000000455	-515.8
75	2010-12-16	1703.1	long	5			-31.000000000000227	-546.8000000000002
76	2010-12-17	1703.5	long	5			2.0000000000004547	-544.7999999999997
77	2010-12-20	1715.7	long	5			61.00000000000023	-483.7999999999995
78	2010-12-21	1727.1	long	5			56.99999999999932	-426.8000000000002
79	2010-12-22	1735.8	long	5			43.50000000000023	-383.29999999999995
80	2010-12-23	1727.8	long	5			-40.0	-423.29999999999995
81	2010-12-24		long	5			0.0	-423.29999999999995
82	2010-12-27	1741.0	long	5			66.00000000000023	-357.2999999999997
83	2010-12-28	1757.2	long	5			81.00000000000023	-276.2999999999995
84	2010-12-29	1760.2	long	5			15.0	-261.2999999999995
85	2010-12-30	1749.3	long	5			-54.500000000000455	-315.79999999999995
86	2010-12-31	1778.2	long	5			144.50000000000045	-171.2999999999995
87	2011-01-03	1786.4	long	5			41.00000000000023	-130.29999999999927
88	2011-01-04	1747.4	long	5			-195.0	-325.2999999999993
89	2011-01-05	1734.1	long	5			-66.50000000000091	-391.8000000000002
90	2011-01-06	1735.1	long	5			5.0	-386.8000000000002
91	2011-01-07	1738.3	long	5			16.000000000000227	-370.79999999999995
92	2011-01-10	1745.1	long	5			33.99999999999977	-336.8000000000002
93	2011-01-11	1770.3	long	5			126.00000000000023	-210.79999999999995
94	2011-01-12	1801.1	long	5			153.99999999999977	-56.80000000000018
95	2011-01-13	1821.2	long	5			100.50000000000068	43.7000000000005
96	2011-01-14	1816.0	long	5			-26.000000000000227	17.700000000000273
97	2011-01-17		long	5			0.0	17.700000000000273
98	2011-01-18	1828.3	long	5			61.49999999999977	79.20000000000005
99	2011-01-19	1838.1	long	5			48.99999999999977	128.19999999999982
100	2011-01-20	1818.6	long	5			-97.5	30.699999999999818
101	2011-01-21	1822.3	long	5			18.500000000000227	49.200000000000045
102	2011-01-24	1819.6	long	5			-13.500000000000227	35.69999999999982
103	2011-01-25	1787.3	long	5			-161.49999999999977	-125.79999999999995
104	2011-01-26	1796.9	long	5			48.00000000000068	-77.79999999999927
105	2011-01-27	1803.5	long	5			32.999999999999545	-44.79999999999973
106	2011-01-28	1805.0	long	5			7.5	-37.29999999999973
107	2011-01-31	1800.9	long	5			-20.499999999999545	-57.79999999999927
108	2011-02-01	1833.0	long	5			160.49999999999955	102.70000000000027
109	2011-02-02	1828.6	long	5			-22.000000000000455	80.69999999999982
110	2011-02-03	1844.1	long	5			77.5	158.19999999999982
111	2011-02-04	1845.8	long	5			8.500000000000227	166.70000000000005
112	2011-02-07	1844.2	long	5			-7.999999999999545	158.7000000000005
113	2011-02-08	1861.9	long	5			88.50000000000023	247.20000000000073
114	2011-02-09	1859.4	long	5			-12.5	234.70000000000073
115	2011-02-10	1830.8	long	5			-143.00000000000068	91.70000000000005
116	2011-02-11	1813.5	long	5			-86.49999999999977	5.200000000000273
117	2011-02-14	1827.6	long	5			70.49999999999955	75.69999999999982
