	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-06-09		short	0	True	1.0		
1	2008-06-10		short	0	True	2.0		
2	2008-06-11		short	0	True	3.0		
3	2008-06-12		short	0	True	4.0		
4	2008-06-13		short	0	True	5.0		
5	2008-06-16		short	5				
6	2008-06-17		short	5				
7	2008-06-18		short	5				
8	2008-06-19		short	5				
9	2008-06-20		short	5				
10	2008-06-23		short	5				
11	2008-06-24		short	5				
12	2008-06-25		short	5				
13	2008-06-26		short	5				
14	2008-06-27		short	5				
15	2008-06-30		short	5				
16	2008-07-01		short	5				
17	2008-07-02		short	5				
18	2008-07-03		short	5				
19	2008-07-04		short	5				
20	2008-07-07		short	5				
21	2008-07-08		short	5				
22	2008-07-09		short	5				
23	2008-07-10		short	5				
24	2008-07-11		short	5				
25	2008-07-14		short	5				
26	2008-07-15		short	5				
27	2008-07-16		short	5				
28	2008-07-17		short	5				
29	2008-07-18		short	5				
30	2008-07-21		short	5				
31	2008-07-22		short	5				
32	2008-07-23		short	5				
33	2008-07-24		short	5				
34	2008-07-25		short	5				
35	2008-07-28		short	5				
36	2008-07-29		short	5				
37	2008-07-30		short	5				
38	2008-07-31		short	5				
39	2008-08-01		short	5				
40	2008-08-04		short	5				
41	2008-08-05		short	5				
42	2008-08-06		short	5				
43	2008-08-07		short	5				
44	2008-08-08		short	5				
45	2008-08-11		short	5				
46	2008-08-12	1490.8	short	5				
47	2008-08-13		short	5			-0.0	0.0
48	2008-08-14	1503.4	short	5			-63.00000000000068	-63.00000000000068
49	2008-08-15		short	5			-0.0	-63.00000000000068
50	2008-08-18	1411.9	short	5			457.5	394.4999999999993
51	2008-08-19	1367.6	short	5			221.5000000000009	616.0000000000002
52	2008-08-20		short	5			-0.0	616.0000000000002
53	2008-08-21	1475.8	short	5			-541.0000000000002	75.0
54	2008-08-22	1459.0	short	5			83.99999999999977	158.99999999999977
55	2008-08-25		short	5			-0.0	158.99999999999977
56	2008-08-26	1443.0	short	5			80.0	238.99999999999977
57	2008-08-27		short	5			-0.0	238.99999999999977
58	2008-08-28		short	5			-0.0	238.99999999999977
59	2008-08-29		short	5			-0.0	238.99999999999977
60	2008-09-01		short	5			-0.0	238.99999999999977
61	2008-09-02		short	5			-0.0	238.99999999999977
62	2008-09-03		short	5			-0.0	238.99999999999977
63	2008-09-04		short	5			-0.0	238.99999999999977
64	2008-09-05		short	5			-0.0	238.99999999999977
65	2008-09-08		short	5	True	1.0	-0.0	238.99999999999977
66	2008-09-09		short	5	True	2.0	-0.0	238.99999999999977
67	2008-09-10		short	5	True	3.0	-0.0	238.99999999999977
68	2008-09-11		short	5	True	4.0	-0.0	238.99999999999977
69	2008-09-12		short	5	True	5.0	-0.0	238.99999999999977
70	2009-06-08	1250.4	long	1	True	1.0		
71	2009-06-09	1264.5	long	2	True	2.0	14.099999999999909	253.09999999999968
72	2009-06-10	1279.7	long	3	True	3.0	30.40000000000009	283.4999999999998
73	2009-06-11	1280.0	long	4	True	4.0	0.8999999999998636	284.39999999999964
74	2009-06-12	1265.5	long	5	True	5.0	-58.0	226.39999999999964
75	2009-06-15	1219.8	long	5			-228.50000000000023	-2.100000000000591
76	2009-06-16	1226.9	long	5			35.50000000000068	33.40000000000009
77	2009-06-17	1211.8	long	5			-75.50000000000068	-42.10000000000059
78	2009-06-18	1214.2	long	5			12.000000000000455	-30.100000000000136
79	2009-06-19	1218.3	long	5			20.499999999999545	-9.600000000000591
80	2009-06-22	1177.1	long	5			-206.00000000000023	-215.60000000000082
81	2009-06-23	1173.6	long	5			-17.5	-233.10000000000082
82	2009-06-24	1175.2	long	5			8.000000000000682	-225.10000000000014
83	2009-06-25	1197.0	long	5			108.99999999999977	-116.10000000000036
84	2009-06-26	1210.7	long	5			68.50000000000023	-47.600000000000136
85	2009-06-29	1193.2	long	5			-87.5	-135.10000000000014
86	2009-06-30	1185.3	long	5			-39.500000000000455	-174.6000000000006
87	2009-07-01	1205.1	long	5			98.99999999999977	-75.60000000000082
88	2009-07-02	1193.3	long	5			-58.99999999999977	-134.6000000000006
89	2009-07-03		long	5			0.0	-134.6000000000006
90	2009-07-06	1147.0	long	5			-231.49999999999977	-366.10000000000036
91	2009-07-07	1135.8	long	5			-56.00000000000023	-422.1000000000006
92	2009-07-08	1101.8	long	5			-170.0	-592.1000000000006
93	2009-07-09	1110.5	long	5			43.50000000000023	-548.6000000000004
94	2009-07-10	1107.6	long	5			-14.500000000000455	-563.1000000000008
95	2009-07-13	1117.3	long	5			48.50000000000023	-514.6000000000006
96	2009-07-14	1135.1	long	5			88.99999999999977	-425.6000000000008
97	2009-07-15	1157.9	long	5			114.00000000000091	-311.5999999999999
98	2009-07-16	1169.3	long	5			56.99999999999932	-254.6000000000006
99	2009-07-17	1176.1	long	5			33.99999999999977	-220.60000000000082
100	2009-07-20	1188.9	long	5			64.00000000000091	-156.5999999999999
101	2009-07-21	1177.0	long	5			-59.500000000000455	-216.10000000000036
102	2009-07-22	1175.7	long	5			-6.499999999999773	-222.60000000000014
103	2009-07-23	1188.0	long	5			61.49999999999977	-161.10000000000036
104	2009-07-24	1191.4	long	5			17.000000000000455	-144.0999999999999
105	2009-07-27	1222.5	long	5			155.49999999999955	11.399999999999636
106	2009-07-28	1196.6	long	5			-129.50000000000045	-118.10000000000082
107	2009-07-29	1172.2	long	5			-121.99999999999932	-240.10000000000014
108	2009-07-30	1189.0	long	5			83.99999999999977	-156.10000000000036
109	2009-07-31	1214.2	long	5			126.00000000000023	-30.100000000000136
110	2009-08-03	1239.7	long	5			127.5	97.39999999999986
111	2009-08-04	1276.8	long	5			185.49999999999955	282.8999999999994
112	2009-08-05	1293.1	long	5			81.49999999999977	364.3999999999992
113	2009-08-06	1263.4	long	5			-148.4999999999991	215.9000000000001
114	2009-08-07	1268.5	long	5			25.499999999999545	241.39999999999964
115	2009-08-10	1250.9	long	5			-87.99999999999955	153.4000000000001
116	2009-08-11	1245.1	long	5			-29.00000000000091	124.39999999999918
117	2009-08-12	1244.4	long	5			-3.4999999999990905	120.90000000000009
118	2009-08-13	1272.7	long	5			141.49999999999977	262.39999999999986
119	2009-08-14	1261.7	long	5			-55.0	207.39999999999986
120	2009-08-17	1222.6	long	5			-195.50000000000068	11.899999999999181
121	2009-08-18	1232.1	long	5			47.5	59.39999999999918
122	2009-08-19	1241.4	long	5			46.50000000000091	105.90000000000009
123	2009-08-20	1242.0	long	5			2.9999999999995453	108.89999999999964
124	2009-08-21	1259.2	long	5			86.00000000000023	194.89999999999986
125	2009-08-24	1248.1	long	5			-55.50000000000068	139.39999999999918
126	2009-08-25	1247.8	long	5			-1.4999999999997726	137.8999999999994
127	2009-08-26	1238.4	long	5			-46.99999999999932	90.90000000000009
128	2009-08-27	1240.5	long	5			10.499999999999545	101.39999999999964
129	2009-08-28	1245.9	long	5			27.000000000000455	128.4000000000001
130	2009-08-31	1244.0	long	5			-9.500000000000455	118.89999999999964
131	2009-09-01	1226.8	long	5			-86.00000000000023	32.89999999999941
132	2009-09-02	1230.1	long	5			16.499999999999773	49.39999999999918
133	2009-09-03	1253.8	long	5			118.50000000000023	167.8999999999994
134	2009-09-04	1259.1	long	5			26.499999999999773	194.39999999999918
135	2009-09-07		long	5			0.0	194.39999999999918
136	2009-09-08	1289.6	long	4	True	1.0	152.5	346.8999999999992
137	2009-09-09	1291.4	long	3	True	2.0	7.200000000000728	354.0999999999999
138	2009-09-10	1289.7	long	2	True	3.0	-5.100000000000136	348.9999999999998
139	2009-09-11	1320.7	long	1	True	4.0	62.0	410.9999999999998
140	2009-09-14	1319.7	long	0	True	5.0	-1.0	409.9999999999998
