	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-02-08	881.75	short	1	True	1.0		
1	2011-02-09	885.75	short	2	True	2.0	-4.0	-4.0
2	2011-02-10	892.0	short	3	True	3.0	-12.5	-16.5
3	2011-02-11	882.0	short	4	True	4.0	30.0	13.5
4	2011-02-14	900.5	short	5	True	5.0	-74.0	-60.5
5	2011-02-15	894.75	short	5			28.75	-31.75
6	2011-02-16	897.0	short	5			-11.25	-43.0
7	2011-02-17	905.25	short	5			-41.25	-84.25
8	2011-02-18	895.5	short	5			48.75	-35.5
9	2011-02-21	909.25	short	5			-68.75	-104.25
10	2011-02-22	918.75	short	5			-47.5	-151.75
11	2011-02-23	931.75	short	5			-65.0	-216.75
12	2011-02-24	947.5	short	5			-78.75	-295.5
13	2011-02-25	948.25	short	5			-3.75	-299.25
14	2011-02-28	958.5	short	5			-51.25	-350.5
15	2011-03-01	966.75	short	5			-41.25	-391.75
16	2011-03-02	987.25	short	5			-102.5	-494.25
17	2011-03-03	982.0	short	5			26.25	-468.0
18	2011-03-04	985.0	short	5			-15.0	-483.0
19	2011-03-07	995.5	short	5			-52.5	-535.5
20	2011-03-08	974.5	short	4	True	1.0	105.0	-430.5
21	2011-03-09	986.75	short	3	True	2.0	-49.0	-479.5
22	2011-03-10	969.25	short	2	True	3.0	52.5	-427.0
23	2011-03-11	969.75	short	1	True	4.0	-1.0	-428.0
24	2011-03-14	967.5	short	0	True	5.0	2.25	-425.75
25	2011-12-08	938.75	long	1	True	1.0		
26	2011-12-09	925.0	long	2	True	2.0	-13.75	-439.5
27	2011-12-12	923.0	long	3	True	3.0	-4.0	-443.5
28	2011-12-13	932.5	long	4	True	4.0	28.5	-415.0
29	2011-12-14	904.75	long	5	True	5.0	-111.0	-526.0
30	2011-12-15	898.25	long	5			-32.5	-558.5
31	2011-12-16	894.25	long	5			-20.0	-578.5
32	2011-12-19	888.0	long	5			-31.25	-609.75
33	2011-12-20	902.25	long	5			71.25	-538.5
34	2011-12-21	910.5	long	5			41.25	-497.25
35	2011-12-22	919.5	long	5			45.0	-452.25
36	2011-12-23	914.5	long	5			-25.0	-477.25
37	2011-12-26		long	5			0.0	-477.25
38	2011-12-27	924.5	long	5			50.0	-427.25
39	2011-12-28	918.25	long	5			-31.25	-458.5
40	2011-12-29	921.5	long	5			16.25	-442.25
41	2011-12-30	924.0	long	5			12.5	-429.75
42	2012-01-02		long	5			0.0	-429.75
43	2012-01-03	953.5	long	5			147.5	-282.25
44	2012-01-04	964.75	long	5			56.25	-226.0
45	2012-01-05	966.5	long	5			8.75	-217.25
46	2012-01-06	960.75	long	5			-28.75	-246.0
47	2012-01-09	959.0	long	4	True	1.0	-8.75	-254.75
48	2012-01-10	974.0	long	3	True	2.0	60.0	-194.75
49	2012-01-11	971.0	long	2	True	3.0	-9.0	-203.75
50	2012-01-12	971.0	long	1	True	4.0	0.0	-203.75
51	2012-01-13		long	1	True	5.0	0.0	-203.75
