	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-08-09	734.75	short	1	True	1.0		
1	2010-08-10	724.75	short	2	True	2.0	10.0	10.0
2	2010-08-11	707.5	short	3	True	3.0	34.5	44.5
3	2010-08-12	695.5	short	4	True	4.0	36.0	80.5
4	2010-08-13	683.5	short	5	True	5.0	48.0	128.5
5	2010-08-16	680.5	short	5			15.0	143.5
6	2010-08-17	695.25	short	5			-73.75	69.75
7	2010-08-18	684.25	short	5			55.0	124.75
8	2010-08-19	681.5	short	5			13.75	138.5
9	2010-08-20	672.0	short	5			47.5	186.0
10	2010-08-23	668.75	short	5			16.25	202.25
11	2010-08-24	661.0	short	5			38.75	241.0
12	2010-08-25	661.5	short	5			-2.5	238.5
13	2010-08-26	680.75	short	5			-96.25	142.25
14	2010-08-27	684.25	short	5			-17.5	124.75
15	2010-08-30	687.25	short	5			-15.0	109.75
16	2010-08-31	683.0	short	5			21.25	131.0
17	2010-09-01	687.0	short	5			-20.0	111.0
18	2010-09-02	681.5	short	5			27.5	138.5
19	2010-09-03	680.25	short	5			6.25	144.75
20	2010-09-06	689.0	short	5			-43.75	101.0
21	2010-09-07	685.75	short	5			16.25	117.25
22	2010-09-08	699.0	short	4	True	1.0	-66.25	51.0
23	2010-09-09	701.5	short	3	True	2.0	-10.0	41.0
24	2010-09-10	697.0	short	2	True	3.0	13.5	54.5
25	2010-09-13	704.5	short	1	True	4.0	-15.0	39.5
26	2010-09-14	706.5	short	0	True	5.0	-2.0	37.5
27	2011-07-08	966.5	long	1	True	1.0		
28	2011-07-11	960.75	long	2	True	2.0	-5.75	31.75
29	2011-07-12	967.0	long	3	True	3.0	12.5	44.25
30	2011-07-13	983.0	long	4	True	4.0	48.0	92.25
31	2011-07-14	972.5	long	5	True	5.0	-42.0	50.25
32	2011-07-15	977.25	long	5			23.75	74.0
33	2011-07-18	967.5	long	5			-48.75	25.25
34	2011-07-19	976.0	long	5			42.5	67.75
35	2011-07-20	977.75	long	5			8.75	76.5
36	2011-07-21	983.25	long	5			27.5	104.0
37	2011-07-22	982.75	long	5			-2.5	101.5
38	2011-07-25	978.75	long	5			-20.0	81.5
39	2011-07-26	978.5	long	5			-1.25	80.25
40	2011-07-27	974.5	long	5			-20.0	60.25
41	2011-07-28	979.0	long	5			22.5	82.75
42	2011-07-29	971.0	long	5			-40.0	42.75
43	2011-08-01	970.75	long	5			-1.25	41.5
44	2011-08-02	967.5	long	5			-16.25	25.25
45	2011-08-03	954.25	long	5			-66.25	-41.0
46	2011-08-04	934.0	long	5			-101.25	-142.25
47	2011-08-05	912.5	long	5			-107.5	-249.75
48	2011-08-08	900.25	long	4	True	1.0	-61.25	-311.0
49	2011-08-09	886.25	long	3	True	2.0	-56.0	-367.0
50	2011-08-10	887.5	long	2	True	3.0	3.75	-363.25
51	2011-08-11	887.5	long	1	True	4.0	0.0	-363.25
52	2011-08-12		long	1	True	5.0	0.0	-363.25
