	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-08-08	581.0	short	1	True	1.0		
1	2005-08-09	578.25	short	2	True	2.0	2.75	2.75
2	2005-08-10	582.0	short	3	True	3.0	-7.5	-4.75
3	2005-08-11	599.25	short	4	True	4.0	-51.75	-56.5
4	2005-08-12	594.5	short	5	True	5.0	19.0	-37.5
5	2005-08-15	591.25	short	5			16.25	-21.25
6	2005-08-16	595.0	short	5			-18.75	-40.0
7	2005-08-17	582.0	short	5			65.0	25.0
8	2005-08-18	575.0	short	5			35.0	60.0
9	2005-08-19	587.5	short	5			-62.5	-2.5
10	2005-08-22	594.75	short	5			-36.25	-38.75
11	2005-08-23	589.0	short	5			28.75	-10.0
12	2005-08-24	594.5	short	5			-27.5	-37.5
13	2005-08-25	604.5	short	5			-50.0	-87.5
14	2005-08-26	604.25	short	5			1.25	-86.25
15	2005-08-29		short	5			-0.0	-86.25
16	2005-08-30	611.5	short	5			-36.25	-122.5
17	2005-08-31	616.25	short	5			-23.75	-146.25
18	2005-09-01	620.0	short	5			-18.75	-165.0
19	2005-09-02	612.0	short	5			40.0	-125.0
20	2005-09-05	606.0	short	5			30.0	-95.0
21	2005-09-06	609.25	short	5			-16.25	-111.25
22	2005-09-07	603.0	short	5			31.25	-80.0
23	2005-09-08	586.75	short	4	True	1.0	81.25	1.25
24	2005-09-09	593.5	short	3	True	2.0	-27.0	-25.75
25	2005-09-12	574.25	short	2	True	3.0	57.75	32.0
26	2005-09-13	581.25	short	1	True	4.0	-14.0	18.0
27	2005-09-14	593.75	short	0	True	5.0	-12.5	5.5
28	2006-08-08	675.5	long	1	True	1.0		
29	2006-08-09	675.0	long	2	True	2.0	-0.5	5.0
30	2006-08-10	654.0	long	3	True	3.0	-42.0	-37.0
31	2006-08-11	651.5	long	4	True	4.0	-7.5	-44.5
32	2006-08-14	638.5	long	5	True	5.0	-52.0	-96.5
33	2006-08-15	649.5	long	5			55.0	-41.5
34	2006-08-16	649.0	long	5			-2.5	-44.0
35	2006-08-17	635.5	long	5			-67.5	-111.5
36	2006-08-18	637.75	long	5			11.25	-100.25
37	2006-08-21	648.75	long	5			55.0	-45.25
38	2006-08-22	651.75	long	5			15.0	-30.25
39	2006-08-23	643.0	long	5			-43.75	-74.0
40	2006-08-24	648.75	long	5			28.75	-45.25
41	2006-08-25	658.25	long	5			47.5	2.25
42	2006-08-28	631.75	long	5			-132.5	-130.25
43	2006-08-29	633.5	long	5			8.75	-121.5
44	2006-08-30	628.25	long	5			-26.25	-147.75
45	2006-08-31	634.75	long	5			32.5	-115.25
46	2006-09-01	630.0	long	5			-23.75	-139.0
47	2006-09-04	618.25	long	5			-58.75	-197.75
48	2006-09-05	621.75	long	5			17.5	-180.25
49	2006-09-06	612.5	long	5			-46.25	-226.5
50	2006-09-07	601.75	long	5			-53.75	-280.25
51	2006-09-08	595.75	long	4	True	1.0	-30.0	-310.25
52	2006-09-11	576.75	long	3	True	2.0	-76.0	-386.25
53	2006-09-12	576.75	long	2	True	3.0	0.0	-386.25
54	2006-09-13		long	2	True	4.0	0.0	-386.25
55	2006-09-14		long	2	True	5.0	0.0	-386.25
