	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-10-10	874.0	short	1	True	1.0		
1	2011-10-11	874.0	short	2	True	2.0	-0.0	0.0
2	2011-10-12	883.75	short	3	True	3.0	-19.5	-19.5
3	2011-10-13	876.0	short	4	True	4.0	23.25	3.75
4	2011-10-14	895.5	short	5	True	5.0	-78.0	-74.25
5	2011-10-17	898.25	short	5			-13.75	-88.0
6	2011-10-18	891.25	short	5			35.0	-53.0
7	2011-10-19	904.5	short	5			-66.25	-119.25
8	2011-10-20	884.25	short	5			101.25	-18.0
9	2011-10-21	899.75	short	5			-77.5	-95.5
10	2011-10-24	899.0	short	5			3.75	-91.75
11	2011-10-25	902.0	short	5			-15.0	-106.75
12	2011-10-26	902.75	short	5			-3.75	-110.5
13	2011-10-27	922.0	short	5			-96.25	-206.75
14	2011-10-28	919.25	short	5			13.75	-193.0
15	2011-10-31	906.25	short	5			65.0	-128.0
16	2011-11-01	890.0	short	5			81.25	-46.75
17	2011-11-02	912.5	short	5			-112.5	-159.25
18	2011-11-03	914.25	short	5			-8.75	-168.0
19	2011-11-04	923.0	short	5			-43.75	-211.75
20	2011-11-07	935.5	short	5			-62.5	-274.25
21	2011-11-08	942.5	short	4	True	1.0	-35.0	-309.25
22	2011-11-09	948.0	short	3	True	2.0	-22.0	-331.25
23	2011-11-10	937.75	short	2	True	3.0	30.75	-300.5
24	2011-11-11	951.25	short	1	True	4.0	-27.0	-327.5
25	2011-11-14	952.5	short	0	True	5.0	-1.25	-328.75
26	2012-10-08	982.0	long	1	True	1.0		
27	2012-10-09	989.5	long	2	True	2.0	7.5	-321.25
28	2012-10-10	1007.75	long	3	True	3.0	36.5	-284.75
29	2012-10-11	1014.75	long	4	True	4.0	21.0	-263.75
30	2012-10-12	1001.0	long	5	True	5.0	-55.0	-318.75
31	2012-10-15	997.75	long	5			-16.25	-335.0
32	2012-10-16	1003.25	long	5			27.5	-307.5
33	2012-10-17	996.75	long	5			-32.5	-340.0
34	2012-10-18	996.5	long	5			-1.25	-341.25
35	2012-10-19	996.5	long	5			0.0	-341.25
36	2012-10-22	977.25	long	5			-96.25	-437.5
37	2012-10-23	954.75	long	5			-112.5	-550.0
38	2012-10-24	957.0	long	5			11.25	-538.75
39	2012-10-25	958.0	long	5			5.0	-533.75
40	2012-10-26	968.5	long	5			52.5	-481.25
41	2012-10-29	970.5	long	5			10.0	-471.25
42	2012-10-30	963.5	long	5			-35.0	-506.25
43	2012-10-31	958.0	long	5			-27.5	-533.75
44	2012-11-01	942.25	long	5			-78.75	-612.5
45	2012-11-02	925.0	long	5			-86.25	-698.75
46	2012-11-05	922.5	long	5			-12.5	-711.25
47	2012-11-06	937.0	long	5			72.5	-638.75
48	2012-11-07	931.0	long	5			-30.0	-668.75
49	2012-11-08	920.5	long	4	True	1.0	-52.5	-721.25
50	2012-11-09	930.5	long	3	True	2.0	40.0	-681.25
51	2012-11-12	930.5	long	2	True	3.0	0.0	-681.25
52	2012-11-13		long	2	True	4.0	0.0	-681.25
53	2012-11-14		long	2	True	5.0	0.0	-681.25
