	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2013-11-08	876.0	short	1	True	1.0		
1	2013-11-11	880.75	short	2	True	2.0	-4.75	-4.75
2	2013-11-12	883.5	short	3	True	3.0	-5.5	-10.25
3	2013-11-13	887.75	short	4	True	4.0	-12.75	-23.0
4	2013-11-14	895.25	short	5	True	5.0	-30.0	-53.0
5	2013-11-15	895.25	short	5			-0.0	-53.0
6	2013-11-18	896.75	short	5			-7.5	-60.5
7	2013-11-19	893.5	short	5			16.25	-44.25
8	2013-11-20	892.0	short	5			7.5	-36.75
9	2013-11-21	898.0	short	5			-30.0	-66.75
10	2013-11-22	909.5	short	5			-57.5	-124.25
11	2013-11-25	906.0	short	5			17.5	-106.75
12	2013-11-26	913.0	short	5			-35.0	-141.75
13	2013-11-27	913.5	short	5			-2.5	-144.25
14	2013-11-28	917.5	short	5			-20.0	-164.25
15	2013-11-29	918.75	short	5			-6.25	-170.5
16	2013-12-02	920.25	short	5			-7.5	-178.0
17	2013-12-03	927.5	short	5			-36.25	-214.25
18	2013-12-04	926.5	short	5			5.0	-209.25
19	2013-12-05	920.75	short	5			28.75	-180.5
20	2013-12-06	919.75	short	5			5.0	-175.5
21	2013-12-09	915.25	short	4	True	1.0	22.5	-153.0
22	2013-12-10	909.0	short	3	True	2.0	25.0	-128.0
23	2013-12-11	913.5	short	2	True	3.0	-13.5	-141.5
24	2013-12-12	908.5	short	1	True	4.0	10.0	-131.5
25	2013-12-13	901.5	short	0	True	5.0	7.0	-124.5
26	2014-11-10	740.75	long	1	True	1.0		
27	2014-11-11	723.5	long	2	True	2.0	-17.25	-141.75
28	2014-11-12	728.25	long	3	True	3.0	9.5	-132.25
29	2014-11-13	705.0	long	4	True	4.0	-69.75	-202.0
30	2014-11-14	698.0	long	5	True	5.0	-28.0	-230.0
31	2014-11-17	697.75	long	5			-1.25	-231.25
32	2014-11-18	698.0	long	5			1.25	-230.0
33	2014-11-19	697.5	long	5			-2.5	-232.5
34	2014-11-20	695.75	long	5			-8.75	-241.25
35	2014-11-21	704.25	long	5			42.5	-198.75
36	2014-11-24	706.75	long	5			12.5	-186.25
37	2014-11-25	694.25	long	5			-62.5	-248.75
38	2014-11-26	694.75	long	5			2.5	-246.25
39	2014-11-27	643.25	long	5			-257.5	-503.75
40	2014-11-28	656.75	long	5			67.5	-436.25
41	2014-12-01	646.75	long	5			-50.0	-486.25
42	2014-12-02	641.0	long	5			-28.75	-515.0
43	2014-12-03	634.0	long	5			-35.0	-550.0
44	2014-12-04	622.0	long	5			-60.0	-610.0
45	2014-12-05	618.5	long	5			-17.5	-627.5
46	2014-12-08	601.5	long	4	True	1.0	-85.0	-712.5
47	2014-12-09	604.0	long	3	True	2.0	10.0	-702.5
48	2014-12-10	581.75	long	2	True	3.0	-66.75	-769.25
49	2014-12-11	581.75	long	1	True	4.0	0.0	-769.25
50	2014-12-12		long	1	True	5.0	0.0	-769.25
