	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-01-10	794.5	short	1	True	1.0		
1	2011-01-11	806.75	short	2	True	2.0	-12.25	-12.25
2	2011-01-12	817.5	short	3	True	3.0	-21.5	-33.75
3	2011-01-13	817.25	short	4	True	4.0	0.75	-33.0
4	2011-01-14	818.5	short	5	True	5.0	-5.0	-38.0
5	2011-01-17	817.0	short	5			7.5	-30.5
6	2011-01-18	824.25	short	5			-36.25	-66.75
7	2011-01-19	827.5	short	5			-16.25	-83.0
8	2011-01-20	812.5	short	5			75.0	-8.0
9	2011-01-21	820.75	short	5			-41.25	-49.25
10	2011-01-24	826.5	short	5			-28.75	-78.0
11	2011-01-25	807.75	short	5			93.75	15.75
12	2011-01-26	819.25	short	5			-57.5	-41.75
13	2011-01-27	826.25	short	5			-35.0	-76.75
14	2011-01-28	833.0	short	5			-33.75	-110.5
15	2011-01-31	843.75	short	5			-53.75	-164.25
16	2011-02-01	854.0	short	5			-51.25	-215.5
17	2011-02-02	866.25	short	5			-61.25	-276.75
18	2011-02-03	870.25	short	5			-20.0	-296.75
19	2011-02-04	852.75	short	5			87.5	-209.25
20	2011-02-07	854.75	short	5			-10.0	-219.25
21	2011-02-08	857.5	short	4	True	1.0	-13.75	-233.0
22	2011-02-09	861.0	short	3	True	2.0	-14.0	-247.0
23	2011-02-10	865.0	short	2	True	3.0	-12.0	-259.0
24	2011-02-11	854.25	short	1	True	4.0	21.5	-237.5
25	2011-02-14	874.75	short	0	True	5.0	-20.5	-258.0
26	2011-03-08	953.5	long	1	True	1.0		
27	2011-03-09	968.25	long	2	True	2.0	14.75	-243.25
28	2011-03-10	953.25	long	3	True	3.0	-30.0	-273.25
29	2011-03-11	958.75	long	4	True	4.0	16.5	-256.75
30	2011-03-14	963.0	long	5	True	5.0	17.0	-239.75
31	2011-03-15	952.0	long	5			-55.0	-294.75
32	2011-03-16	959.0	long	5			35.0	-259.75
33	2011-03-17	974.25	long	5			76.25	-183.5
34	2011-03-18	972.25	long	5			-10.0	-193.5
35	2011-03-21	978.25	long	5			30.0	-163.5
36	2011-03-22	987.5	long	5			46.25	-117.25
37	2011-03-23	988.0	long	5			2.5	-114.75
38	2011-03-24	981.75	long	5			-31.25	-146.0
39	2011-03-25	979.75	long	5			-10.0	-156.0
40	2011-03-28	981.5	long	5			8.75	-147.25
41	2011-03-29	978.25	long	5			-16.25	-163.5
42	2011-03-30	978.0	long	5			-1.25	-164.75
43	2011-03-31	993.0	long	5			75.0	-89.75
44	2011-04-01	1000.5	long	5			37.5	-52.25
45	2011-04-04	1008.75	long	5			41.25	-11.0
46	2011-04-05	1021.5	long	5			63.75	52.75
47	2011-04-06	1025.5	long	5			20.0	72.75
48	2011-04-07	1024.5	long	5			-5.0	67.75
49	2011-04-08	1053.0	long	4	True	1.0	142.5	210.25
50	2011-04-11	1050.5	long	3	True	2.0	-10.0	200.25
51	2011-04-12	1050.5	long	2	True	3.0	0.0	200.25
52	2011-04-13		long	2	True	4.0	0.0	200.25
53	2011-04-14		long	2	True	5.0	0.0	200.25
