	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-03-08	269.0	short	1	True	1.0		
1	2004-03-09	265.0	short	2	True	2.0	4.0	4.0
2	2004-03-10	261.25	short	3	True	3.0	7.5	11.5
3	2004-03-11	266.25	short	4	True	4.0	-15.0	-3.5
4	2004-03-12	258.75	short	5	True	5.0	30.0	26.5
5	2004-03-15	272.0	short	5			-66.25	-39.75
6	2004-03-16	269.75	short	5			11.25	-28.5
7	2004-03-17	276.0	short	5			-31.25	-59.75
8	2004-03-18	274.5	short	5			7.5	-52.25
9	2004-03-19	271.75	short	5			13.75	-38.5
10	2004-03-22	267.75	short	5			20.0	-18.5
11	2004-03-23	274.75	short	5			-35.0	-53.5
12	2004-03-24	272.75	short	5			10.0	-43.5
13	2004-03-25	267.25	short	5			27.5	-16.0
14	2004-03-26	264.75	short	5			12.5	-3.5
15	2004-03-29	263.0	short	5			8.75	5.25
16	2004-03-30	269.5	short	5			-32.5	-27.25
17	2004-03-31	266.5	short	5			15.0	-12.25
18	2004-04-01	265.5	short	5			5.0	-7.25
19	2004-04-02	254.5	short	5			55.0	47.75
20	2004-04-05	256.75	short	5			-11.25	36.5
21	2004-04-06	262.0	short	5			-26.25	10.25
22	2004-04-07	276.5	short	5			-72.5	-62.25
23	2004-04-08	278.0	short	4	True	1.0	-7.5	-69.75
24	2004-04-09		short	4	True	2.0	-0.0	-69.75
25	2004-04-12		short	4	True	3.0	-0.0	-69.75
26	2004-04-13	282.0	short	1	True	4.0	-16.0	-85.75
27	2004-04-14	279.5	short	0	True	5.0	2.5	-83.25
28	2004-05-10	313.5	long	1	True	1.0		
29	2004-05-11	314.25	long	2	True	2.0	0.75	-82.5
30	2004-05-12	326.75	long	3	True	3.0	25.0	-57.5
31	2004-05-13	321.75	long	4	True	4.0	-15.0	-72.5
32	2004-05-14	327.75	long	5	True	5.0	24.0	-48.5
33	2004-05-17	324.5	long	5			-16.25	-64.75
34	2004-05-18	317.75	long	5			-33.75	-98.5
35	2004-05-19	326.5	long	5			43.75	-54.75
36	2004-05-20	325.75	long	5			-3.75	-58.5
37	2004-05-21	313.25	long	5			-62.5	-121.0
38	2004-05-24	332.25	long	5			95.0	-26.0
39	2004-05-25	323.5	long	5			-43.75	-69.75
40	2004-05-26	325.75	long	5			11.25	-58.5
41	2004-05-27	314.5	long	5			-56.25	-114.75
42	2004-05-28	314.5	long	5			0.0	-114.75
43	2004-05-31		long	5			0.0	-114.75
44	2004-06-01	336.25	long	5			108.75	-6.0
45	2004-06-02	328.25	long	5			-40.0	-46.0
46	2004-06-03	314.25	long	5			-70.0	-116.0
47	2004-06-04	313.0	long	5			-6.25	-122.25
48	2004-06-07	311.5	long	5			-7.5	-129.75
49	2004-06-08	313.75	long	4	True	1.0	11.25	-118.5
50	2004-06-09	314.5	long	3	True	2.0	3.0	-115.5
51	2004-06-10	314.5	long	2	True	3.0	0.0	-115.5
52	2004-06-11		long	2	True	4.0	0.0	-115.5
53	2004-06-14		long	2	True	5.0	0.0	-115.5
