	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-07-10	435.5	short	1	True	1.0		
1	2017-07-11	435.25	short	2	True	2.0	0.25	0.25
2	2017-07-12	438.75	short	3	True	3.0	-7.0	-6.75
3	2017-07-13	444.5	short	4	True	4.0	-17.25	-24.0
4	2017-07-14	448.25	short	5	True	5.0	-15.0	-39.0
5	2017-07-17	449.75	short	5			-7.5	-46.5
6	2017-07-18	447.5	short	5			11.25	-35.25
7	2017-07-19	457.25	short	5			-48.75	-84.0
8	2017-07-20	463.0	short	5			-28.75	-112.75
9	2017-07-21	453.5	short	5			47.5	-65.25
10	2017-07-24	452.75	short	5			3.75	-61.5
11	2017-07-25	463.0	short	5			-51.25	-112.75
12	2017-07-26	471.25	short	5			-41.25	-154.0
13	2017-07-27	476.0	short	5			-23.75	-177.75
14	2017-07-28	484.5	short	5			-42.5	-220.25
15	2017-07-31	486.0	short	5			-7.5	-227.75
16	2017-08-01	480.25	short	5			28.75	-199.0
17	2017-08-02	486.75	short	5			-32.5	-231.5
18	2017-08-03	490.5	short	5			-18.75	-250.25
19	2017-08-04	487.0	short	5			17.5	-232.75
20	2017-08-07	478.5	short	5			42.5	-190.25
21	2017-08-08	484.25	short	4	True	1.0	-28.75	-219.0
22	2017-08-09	483.0	short	3	True	2.0	5.0	-214.0
23	2017-08-10	486.5	short	2	True	3.0	-10.5	-224.5
24	2017-08-11	482.75	short	1	True	4.0	7.5	-217.0
25	2017-08-14	483.5	short	0	True	5.0	-0.75	-217.75
26	2017-09-08	524.0	long	1	True	1.0		
27	2017-09-11	516.75	long	2	True	2.0	-7.25	-225.0
28	2017-09-12	518.0	long	3	True	3.0	2.5	-222.5
29	2017-09-13	526.25	long	4	True	4.0	24.75	-197.75
30	2017-09-14	531.0	long	5	True	5.0	19.0	-178.75
31	2017-09-15	534.75	long	5			18.75	-160.0
32	2017-09-18	525.0	long	5			-48.75	-208.75
33	2017-09-19	528.5	long	5			17.5	-191.25
34	2017-09-20	537.0	long	5			42.5	-148.75
35	2017-09-21	541.25	long	5			21.25	-127.5
36	2017-09-22	541.5	long	5			1.25	-126.25
37	2017-09-25	551.5	long	5			50.0	-76.25
38	2017-09-26	546.25	long	5			-26.25	-102.5
39	2017-09-27	548.75	long	5			12.5	-90.0
40	2017-09-28	550.75	long	5			10.0	-80.0
41	2017-09-29	548.25	long	5			-12.5	-92.5
42	2017-10-02	531.0	long	5			-86.25	-178.75
43	2017-10-03	526.5	long	5			-22.5	-201.25
44	2017-10-04	528.25	long	5			8.75	-192.5
45	2017-10-05	540.25	long	5			60.0	-132.5
46	2017-10-06	520.0	long	5			-101.25	-233.75
47	2017-10-09	517.0	long	4	True	1.0	-15.0	-248.75
48	2017-10-10	530.75	long	3	True	2.0	55.0	-193.75
49	2017-10-11	528.25	long	2	True	3.0	-7.5	-201.25
50	2017-10-12	528.25	long	1	True	4.0	0.0	-201.25
51	2017-10-13		long	1	True	5.0	0.0	-201.25
