	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-11-08	563.5	short	1	True	1.0		
1	2017-11-09	568.5	short	2	True	2.0	-5.0	-5.0
2	2017-11-10	569.5	short	3	True	3.0	-2.0	-7.0
3	2017-11-13	566.75	short	4	True	4.0	8.25	1.25
4	2017-11-14	552.25	short	5	True	5.0	58.0	59.25
5	2017-11-15	556.5	short	5			-21.25	38.0
6	2017-11-16	555.75	short	5			3.75	41.75
7	2017-11-17	561.25	short	5			-27.5	14.25
8	2017-11-20	556.25	short	5			25.0	39.25
9	2017-11-21	559.25	short	5			-15.0	24.25
10	2017-11-22	562.25	short	5			-15.0	9.25
11	2017-11-23	564.0	short	5			-8.75	0.5
12	2017-11-24	564.75	short	5			-3.75	-3.25
13	2017-11-27	565.0	short	5			-1.25	-4.5
14	2017-11-28	566.5	short	5			-7.5	-12.0
15	2017-11-29	562.5	short	5			20.0	8.0
16	2017-11-30	559.0	short	5			17.5	25.5
17	2017-12-01	569.75	short	5			-53.75	-28.25
18	2017-12-04	557.75	short	5			60.0	31.75
19	2017-12-05	558.75	short	5			-5.0	26.75
20	2017-12-06	549.0	short	5			48.75	75.5
21	2017-12-07	551.5	short	5			-12.5	63.0
22	2017-12-08	565.0	short	4	True	1.0	-67.5	-4.5
23	2017-12-11	572.25	short	3	True	2.0	-29.0	-33.5
24	2017-12-12	570.5	short	2	True	3.0	5.25	-28.25
25	2017-12-13	562.0	short	1	True	4.0	17.0	-11.25
26	2017-12-14	562.0	short	0	True	5.0	-0.0	-11.25
27	2018-02-08	570.5	long	1	True	1.0		
28	2018-02-09	555.75	long	2	True	2.0	-14.75	-26.0
29	2018-02-12	555.75	long	3	True	3.0	0.0	-26.0
30	2018-02-13	545.75	long	4	True	4.0	-30.0	-56.0
31	2018-02-14	550.0	long	5	True	5.0	17.0	-39.0
32	2018-02-15	557.25	long	5			36.25	-2.75
33	2018-02-16	570.25	long	5			65.0	62.25
34	2018-02-19	578.5	long	5			41.25	103.5
35	2018-02-20	574.25	long	5			-21.25	82.25
36	2018-02-21	575.75	long	5			7.5	89.75
37	2018-02-22	585.0	long	5			46.25	136.0
38	2018-02-23	591.0	long	5			30.0	166.0
39	2018-02-26	599.0	long	5			40.0	206.0
40	2018-02-27	594.5	long	5			-22.5	183.5
41	2018-02-28	577.0	long	5			-87.5	96.0
42	2018-03-01	561.75	long	5			-76.25	19.75
43	2018-03-02	563.25	long	5			7.5	27.25
44	2018-03-05	572.0	long	5			43.75	71.0
45	2018-03-06	571.5	long	5			-2.5	68.5
46	2018-03-07	571.75	long	5			1.25	69.75
47	2018-03-08	566.75	long	4	True	1.0	-25.0	44.75
48	2018-03-09	573.75	long	3	True	2.0	28.0	72.75
49	2018-03-12	573.75	long	2	True	3.0	0.0	72.75
50	2018-03-13		long	2	True	4.0	0.0	72.75
51	2018-03-14		long	2	True	5.0	0.0	72.75
