	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-12-08	224.5	short	1	True	1.0		
1	2000-12-11	227.75	short	2	True	2.0	-3.25	-3.25
2	2000-12-12	225.0	short	3	True	3.0	5.5	2.25
3	2000-12-13	226.0	short	4	True	4.0	-3.0	-0.75
4	2000-12-14	216.0	short	5	True	5.0	40.0	39.25
5	2000-12-15	216.25	short	5			-1.25	38.0
6	2000-12-18	223.5	short	5			-36.25	1.75
7	2000-12-19	219.25	short	5			21.25	23.0
8	2000-12-20	214.75	short	5			22.5	45.5
9	2000-12-21	211.0	short	5			18.75	64.25
10	2000-12-22	207.0	short	5			20.0	84.25
11	2000-12-25		short	5			-0.0	84.25
12	2000-12-26		short	5			-0.0	84.25
13	2000-12-27	214.0	short	5			-35.0	49.25
14	2000-12-28	210.0	short	5			20.0	69.25
15	2000-12-29	213.75	short	5			-18.75	50.5
16	2001-01-01		short	5			-0.0	50.5
17	2001-01-02	213.75	short	5			-0.0	50.5
18	2001-01-03	213.75	short	5			-0.0	50.5
19	2001-01-04	218.25	short	5			-22.5	28.0
20	2001-01-05	222.0	short	5			-18.75	9.25
21	2001-01-08	218.25	short	4	True	1.0	18.75	28.0
22	2001-01-09	209.75	short	3	True	2.0	34.0	62.0
23	2001-01-10	214.75	short	2	True	3.0	-15.0	47.0
24	2001-01-11	217.5	short	1	True	4.0	-5.5	41.5
25	2001-01-12	216.0	short	0	True	5.0	1.5	43.0
26	2001-04-09	217.25	long	1	True	1.0		
27	2001-04-10	229.0	long	2	True	2.0	11.75	54.75
28	2001-04-11	230.25	long	3	True	3.0	2.5	57.25
29	2001-04-12	232.75	long	4	True	4.0	7.5	64.75
30	2001-04-13		long	4	True	5.0	0.0	64.75
31	2001-04-16		long	5			0.0	64.75
32	2001-04-17	235.25	long	5			12.5	77.25
33	2001-04-18	229.25	long	5			-30.0	47.25
34	2001-04-19	230.25	long	5			5.0	52.25
35	2001-04-20	228.0	long	5			-11.25	41.0
36	2001-04-23	228.5	long	5			2.5	43.5
37	2001-04-24	228.75	long	5			1.25	44.75
38	2001-04-25	226.75	long	5			-10.0	34.75
39	2001-04-26	230.75	long	5			20.0	54.75
40	2001-04-27	231.25	long	5			2.5	57.25
41	2001-04-30	233.5	long	5			11.25	68.5
42	2001-05-01	231.25	long	5			-11.25	57.25
43	2001-05-02	228.5	long	5			-13.75	43.5
44	2001-05-03	233.5	long	5			25.0	68.5
45	2001-05-04	235.75	long	5			11.25	79.75
46	2001-05-07		long	5			0.0	79.75
47	2001-05-08	232.25	long	4	True	1.0	-17.5	62.25
48	2001-05-09	233.5	long	3	True	2.0	5.0	67.25
49	2001-05-10	233.5	long	2	True	3.0	0.0	67.25
50	2001-05-11		long	2	True	4.0	0.0	67.25
51	2001-05-14		long	2	True	5.0	0.0	67.25
