	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-08-08	583.5	short	1	True	1.0		
1	2005-08-09	584.5	short	2	True	2.0	-1.0	-1.0
2	2005-08-10	589.5	short	3	True	3.0	-10.0	-11.0
3	2005-08-11	607.25	short	4	True	4.0	-53.25	-64.25
4	2005-08-12	606.75	short	5	True	5.0	2.0	-62.25
5	2005-08-15	600.5	short	5			31.25	-31.0
6	2005-08-16	602.0	short	5			-7.5	-38.5
7	2005-08-17	589.75	short	5			61.25	22.75
8	2005-08-18	582.25	short	5			37.5	60.25
9	2005-08-19	594.75	short	5			-62.5	-2.25
10	2005-08-22	603.75	short	5			-45.0	-47.25
11	2005-08-23	597.0	short	5			33.75	-13.5
12	2005-08-24	601.25	short	5			-21.25	-34.75
13	2005-08-25	610.0	short	5			-43.75	-78.5
14	2005-08-26	611.0	short	5			-5.0	-83.5
15	2005-08-29		short	5			-0.0	-83.5
16	2005-08-30	627.0	short	5			-80.0	-163.5
17	2005-08-31	633.25	short	5			-31.25	-194.75
18	2005-09-01	640.0	short	5			-33.75	-228.5
19	2005-09-02	629.75	short	5			51.25	-177.25
20	2005-09-05	619.25	short	5			52.5	-124.75
21	2005-09-06	625.5	short	5			-31.25	-156.0
22	2005-09-07	616.75	short	5			43.75	-112.25
23	2005-09-08	600.5	short	4	True	1.0	81.25	-31.0
24	2005-09-09	606.5	short	3	True	2.0	-24.0	-55.0
25	2005-09-12	581.25	short	2	True	3.0	75.75	20.75
26	2005-09-13	588.75	short	1	True	4.0	-15.0	5.75
27	2005-09-14	602.5	short	0	True	5.0	-13.75	-8.0
28	2006-01-09	536.75	long	1	True	1.0		
29	2006-01-10	531.25	long	2	True	2.0	-5.5	-13.5
30	2006-01-11	519.25	long	3	True	3.0	-24.0	-37.5
31	2006-01-12	536.5	long	4	True	4.0	51.75	14.25
32	2006-01-13	521.75	long	5	True	5.0	-59.0	-44.75
33	2006-01-16	539.75	long	5			90.0	45.25
34	2006-01-17	547.25	long	5			37.5	82.75
35	2006-01-18	548.5	long	5			6.25	89.0
36	2006-01-19	546.25	long	5			-11.25	77.75
37	2006-01-20	565.25	long	5			95.0	172.75
38	2006-01-23	569.25	long	5			20.0	192.75
39	2006-01-24	564.25	long	5			-25.0	167.75
40	2006-01-25	546.5	long	5			-88.75	79.0
41	2006-01-26	549.75	long	5			16.25	95.25
42	2006-01-27	554.5	long	5			23.75	119.0
43	2006-01-30	558.0	long	5			17.5	136.5
44	2006-01-31	560.5	long	5			12.5	149.0
45	2006-02-01	558.0	long	5			-12.5	136.5
46	2006-02-02	543.75	long	5			-71.25	65.25
47	2006-02-03	538.25	long	5			-27.5	37.75
48	2006-02-06	544.75	long	5			32.5	70.25
49	2006-02-07	529.75	long	5			-75.0	-4.75
50	2006-02-08	524.75	long	4	True	1.0	-25.0	-29.75
51	2006-02-09	526.25	long	3	True	2.0	6.0	-23.75
52	2006-02-10	526.25	long	2	True	3.0	0.0	-23.75
53	2006-02-13		long	2	True	4.0	0.0	-23.75
54	2006-02-14		long	2	True	5.0	0.0	-23.75
