	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1999-07-13	162.75	5	long				
1	1999-07-14	161.0	5	long			-8.75	-8.75
2	1999-07-15	160.0	5	long			-5.0	-13.75
3	1999-07-16	162.5	5	long			12.5	-1.25
4	1999-07-19	162.75	5	long			1.25	0.0
5	1999-07-20	160.5	5	long			-11.25	-11.25
6	1999-07-21	155.25	5	long			-26.25	-37.5
7	1999-07-22	156.5	5	long			6.25	-31.25
8	1999-07-23	160.0	5	long			17.5	-13.75
9	1999-07-26	161.5	5	long			7.5	-6.25
10	1999-07-27	159.5	5	long			-10.0	-16.25
11	1999-07-28	162.5	5	long			15.0	-1.25
12	1999-07-29	163.25	5	long			3.75	2.5
13	1999-07-30	165.25	5	long			10.0	12.5
14	1999-08-02	162.5	5	long			-13.75	-1.25
15	1999-08-03	163.25	5	long			3.75	2.5
16	1999-08-04	165.75	5	long			12.5	15.0
17	1999-08-05	166.75	5	long			5.0	20.0
18	1999-08-06	166.5	5	long			-1.25	18.75
19	1999-08-09	168.0	5	long			7.5	26.25
20	1999-08-10	168.75	5	long			3.75	30.0
21	1999-08-11	171.75	5	long			15.0	45.0
22	1999-08-12	169.25	5	long			-12.5	32.5
23	1999-08-13	172.25	5	long			15.0	47.5
24	1999-08-16	171.25	5	long			-5.0	42.5
25	1999-08-17	172.75	5	long			7.5	50.0
26	1999-08-18	174.5	5	long			8.75	58.75
27	1999-08-19	177.0	5	long			12.5	71.25
28	1999-08-20	179.5	5	long			12.5	83.75
29	1999-08-23	180.0	5	long			2.5	86.25
30	1999-08-24	177.0	5	long			-15.0	71.25
31	1999-08-25	171.75	5	long			-26.25	45.0
32	1999-08-26	170.5	5	long			-6.25	38.75
33	1999-08-27	173.25	5	long			13.75	52.5
34	1999-08-30		5	long			0.0	52.5
35	1999-08-31	178.5	5	long			26.25	78.75
36	1999-09-01	178.25	5	long			-1.25	77.5
37	1999-09-02	175.25	5	long			-15.0	62.5
38	1999-09-03	175.75	5	long			2.5	65.0
39	1999-09-06	178.0	5	long			11.25	76.25
40	1999-09-07	179.5	5	long			7.5	83.75
41	1999-09-08	182.75	5	long			16.25	100.0
42	1999-09-09	185.75	5	long			15.0	115.0
43	1999-09-10	187.0	5	long			6.25	121.25
44	1999-09-13	188.5	5	long			7.5	128.75
45	1999-09-14	188.0	5	long			-2.5	126.25
46	1999-09-15	188.25	5	long			1.25	127.5
47	1999-09-16	187.75	5	long			-2.5	125.0
48	1999-09-17	188.25	5	long			2.5	127.5
49	1999-09-20	187.5	5	long			-3.75	123.75
50	1999-09-21	186.25	5	long			-6.25	117.5
51	1999-09-22	185.5	5	long			-3.75	113.75
52	1999-09-23	190.5	5	long			25.0	138.75
53	1999-09-24	192.25	5	long			8.75	147.5
54	1999-09-27	192.75	5	long			2.5	150.0
55	1999-09-28	191.25	5	long			-7.5	142.5
56	1999-09-29	192.75	5	long			7.5	150.0
57	1999-09-30	190.5	5	long			-11.25	138.75
58	1999-10-01	192.25	5	long			8.75	147.5
59	1999-10-04	188.5	5	long			-18.75	128.75
60	1999-10-05	183.0	5	long			-27.5	101.25
61	1999-10-06	184.25	5	long			6.25	107.5
62	1999-10-07	180.5	5	long			-18.75	88.75
63	1999-10-08	169.0	5	long			-57.5	31.25
64	1999-10-11	168.75	5	long			-1.25	30.0
65	1999-10-12	177.25	5	long			42.5	72.5
66	1999-10-13	181.75	5	long			22.5	95.0
67	1999-10-14	183.5	5	long			8.75	103.75
68	1999-10-15	180.25	5	long			-16.25	87.5
69	1999-10-18	182.75	5	long			12.5	100.0
70	1999-10-19	184.0	5	long			6.25	106.25
71	1999-10-20	180.0	5	long			-20.0	86.25
72	1999-10-21	184.5	5	long			22.5	108.75
73	1999-10-22	187.5	5	long			15.0	123.75
74	1999-10-25	189.75	5	long			11.25	135.0
75	1999-10-26	189.25	5	long			-2.5	132.5
76	1999-10-27	187.75	5	long			-7.5	125.0
77	1999-10-28	182.5	5	long			-26.25	98.75
78	1999-10-29	180.0	5	long			-12.5	86.25
79	1999-11-01	180.75	5	long			3.75	90.0
80	1999-11-02	182.5	5	long			8.75	98.75
81	1999-11-03	183.75	5	long			6.25	105.0
82	1999-11-04	186.5	5	long			13.75	118.75
83	1999-11-05	187.75	5	long			6.25	125.0
84	1999-11-08	187.5	5	long			-1.25	123.75
85	1999-11-09	190.5	5	long			15.0	138.75
86	1999-11-10	198.25	5	long			38.75	177.5
87	1999-11-11	197.75	5	long			-2.5	175.0
88	1999-11-12	199.5	5	long			8.75	183.75
89	1999-11-15	205.0	5	long			27.5	211.25
90	1999-11-16	205.0	5	long			0.0	211.25
91	1999-11-17	210.0	5	long			25.0	236.25
92	1999-11-18	208.75	5	long			-6.25	230.0
93	1999-11-19	209.25	5	long			2.5	232.5
94	1999-11-22	213.75	5	long			22.5	255.0
95	1999-11-23	211.5	5	long			-11.25	243.75
96	1999-11-24	212.5	5	long			5.0	248.75
97	1999-11-25	212.0	5	long			-2.5	246.25
98	1999-11-26	208.25	5	long			-18.75	227.5
99	1999-11-29	205.75	5	long			-12.5	215.0
100	1999-11-30	203.5	5	long			-11.25	203.75
101	1999-12-01	192.0	5	long			-57.5	146.25
102	1999-12-02	199.5	5	long			37.5	183.75
103	1999-12-03	202.75	5	long			16.25	200.0
104	1999-12-06	206.0	5	long			16.25	216.25
105	1999-12-07	202.75	5	long			-16.25	200.0
106	1999-12-08	203.25	5	long			2.5	202.5
107	1999-12-09	203.5	5	long			1.25	203.75
108	1999-12-10	200.0	5	long			-17.5	186.25
109	1999-12-13	199.5	5	long			-2.5	183.75
110	1999-12-14	202.75	5	long			16.25	200.0
111	1999-12-15	209.0	5	long			31.25	231.25
112	1999-12-16	211.75	5	long			13.75	245.0
113	1999-12-17	211.75	5	long			0.0	245.0
114	1999-12-20	215.0	5	long			16.25	261.25
115	1999-12-21	213.5	5	long			-7.5	253.75
116	1999-12-22	211.5	5	long			-10.0	243.75
117	1999-12-23	213.75	5	long			11.25	255.0
118	1999-12-24	214.25	5	long			2.5	257.5
119	1999-12-27		5	long			0.0	257.5
120	1999-12-28		5	long			0.0	257.5
121	1999-12-29	219.25	5	long			25.0	282.5
122	1999-12-30	222.25	5	long			15.0	297.5
123	1999-12-31		5	long			0.0	297.5
124	2000-01-03		5	long			0.0	297.5
125	2000-01-04	213.5	5	long			-43.75	253.75
126	2000-01-05	213.0	5	long			-2.5	251.25
127	2000-01-06	211.25	5	long			-8.75	242.5
128	2000-01-07	205.25	5	long			-30.0	212.5
129	2000-01-10	196.0	4	long	True	1.0	-46.25	166.25
130	2000-01-11	201.5	3	long	True	2.0	22.0	188.25
131	2000-01-12	201.5	2	long	True	3.0	0.0	188.25
132	2000-01-13		2	long	True	4.0	0.0	188.25
133	2000-01-14		2	long	True	5.0	0.0	188.25
