	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2013-12-09	923.25	short	1	True	1.0		
1	2013-12-10	916.5	short	2	True	2.0	6.75	6.75
2	2013-12-11	920.75	short	3	True	3.0	-8.5	-1.75
3	2013-12-12	915.0	short	4	True	4.0	17.25	15.5
4	2013-12-13	906.75	short	5	True	5.0	33.0	48.5
5	2013-12-16	919.75	short	5			-65.0	-16.5
6	2013-12-17	909.25	short	5			52.5	36.0
7	2013-12-18	915.75	short	5			-32.5	3.5
8	2013-12-19	921.25	short	5			-27.5	-24.0
9	2013-12-20	927.25	short	5			-30.0	-54.0
10	2013-12-23	930.25	short	5			-15.0	-69.0
11	2013-12-24	929.5	short	5			3.75	-65.25
12	2013-12-25		short	5			-0.0	-65.25
13	2013-12-26	934.5	short	5			-25.0	-90.25
14	2013-12-27	939.25	short	5			-23.75	-114.0
15	2013-12-30	930.0	short	5			46.25	-67.75
16	2013-12-31	929.0	short	5			5.0	-62.75
17	2014-01-01		short	5			-0.0	-62.75
18	2014-01-02	911.5	short	5			87.5	24.75
19	2014-01-03	897.0	short	5			72.5	97.25
20	2014-01-06	897.75	short	5			-3.75	93.5
21	2014-01-07	897.0	short	5			3.75	97.25
22	2014-01-08	898.0	short	4	True	1.0	-5.0	92.25
23	2014-01-09	894.75	short	3	True	2.0	13.0	105.25
24	2014-01-10	889.25	short	2	True	3.0	16.5	121.75
25	2014-01-13	893.5	short	1	True	4.0	-8.5	113.25
26	2014-01-14	886.75	short	0	True	5.0	6.75	120.0
27	2014-06-09	895.0	long	1	True	1.0		
28	2014-06-10	887.5	long	2	True	2.0	-7.5	112.5
29	2014-06-11	894.25	long	3	True	3.0	13.5	126.0
30	2014-06-12	911.5	long	4	True	4.0	51.75	177.75
31	2014-06-13	920.75	long	5	True	5.0	37.0	214.75
32	2014-06-16	924.5	long	5			18.75	233.5
33	2014-06-17	930.75	long	5			31.25	264.75
34	2014-06-18	935.0	long	5			21.25	286.0
35	2014-06-19	938.75	long	5			18.75	304.75
36	2014-06-20	935.25	long	5			-17.5	287.25
37	2014-06-23	928.75	long	5			-32.5	254.75
38	2014-06-24	936.0	long	5			36.25	291.0
39	2014-06-25	928.75	long	5			-36.25	254.75
40	2014-06-26	924.75	long	5			-20.0	234.75
41	2014-06-27	920.75	long	5			-20.0	214.75
42	2014-06-30	915.0	long	5			-28.75	186.0
43	2014-07-01	914.0	long	5			-5.0	181.0
44	2014-07-02	908.75	long	5			-26.25	154.75
45	2014-07-03	899.75	long	5			-45.0	109.75
46	2014-07-04	897.75	long	5			-10.0	99.75
47	2014-07-07	896.25	long	5			-7.5	92.25
48	2014-07-08	887.5	long	4	True	1.0	-43.75	48.5
49	2014-07-09	883.0	long	3	True	2.0	-18.0	30.5
50	2014-07-10	883.0	long	2	True	3.0	0.0	30.5
51	2014-07-11		long	2	True	4.0	0.0	30.5
52	2014-07-14		long	2	True	5.0	0.0	30.5
