,Due,Future,Month,Pair
0,2000-01-12,QSF00,F,QSV00
1,2000-02-10,QSG00,G,QSX00
2,2000-03-10,QSH00,H,QSZ00
3,2000-04-12,QSJ00,J,QSF01
4,2000-05-11,QSK00,K,QSG01
5,2000-06-12,QSM00,M,QSH01
6,2000-07-12,QSN00,N,QSJ01
7,2000-08-10,QSQ00,Q,QSK01
8,2000-09-12,QSU00,U,QSM01
9,2000-10-12,QSV00,V,QSN01
10,2000-11-10,QSX00,X,QSQ01
11,2000-12-12,QSZ00,Z,QSU01
12,2001-01-11,QSF01,F,QSV01
13,2001-02-12,QSG01,G,QSX01
14,2001-03-12,QSH01,H,QSZ01
15,2001-04-11,QSJ01,J,QSF02
16,2001-05-10,QSK01,K,QSG02
17,2001-06-12,QSM01,M,QSH02
18,2001-07-12,QSN01,N,QSJ02
19,2001-08-10,QSQ01,Q,QSK02
20,2001-09-12,QSU01,U,QSM02
21,2001-10-11,QSV01,V,QSN02
22,2001-11-12,QSX01,X,QSQ02
23,2001-12-12,QSZ01,Z,QSU02
24,2002-01-10,QSF02,F,QSV02
25,2002-02-12,QSG02,G,QSX02
26,2002-03-12,QSH02,H,QSZ02
27,2002-04-11,QSJ02,J,QSF03
28,2002-05-10,QSK02,K,QSG03
29,2002-06-12,QSM02,M,QSH03
30,2002-07-11,QSN02,N,QSJ03
31,2002-08-12,QSQ02,Q,QSK03
32,2002-09-12,QSU02,U,QSM03
33,2002-10-10,QSV02,V,QSN03
34,2002-11-12,QSX02,X,QSQ03
35,2002-12-12,QSZ02,Z,QSU03
36,2003-01-10,QSF03,F,QSV03
37,2003-02-12,QSG03,G,QSX03
38,2003-03-12,QSH03,H,QSZ03
39,2003-04-10,QSJ03,J,QSF04
40,2003-05-12,QSK03,K,QSG04
41,2003-06-12,QSM03,M,QSH04
42,2003-07-10,QSN03,N,QSJ04
43,2003-08-12,QSQ03,Q,QSK04
44,2003-09-11,QSU03,U,QSM04
45,2003-10-10,QSV03,V,QSN04
46,2003-11-12,QSX03,X,QSQ04
47,2003-12-11,QSZ03,Z,QSU04
48,2004-01-12,QSF04,F,QSV04
49,2004-02-12,QSG04,G,QSX04
50,2004-03-11,QSH04,H,QSZ04
51,2004-04-08,QSJ04,J,QSF05
52,2004-05-12,QSK04,K,QSG05
53,2004-06-10,QSM04,M,QSH05
54,2004-07-12,QSN04,N,QSJ05
55,2004-08-12,QSQ04,Q,QSK05
56,2004-09-10,QSU04,U,QSM05
57,2004-10-12,QSV04,V,QSN05
58,2004-11-11,QSX04,X,QSQ05
59,2004-12-10,QSZ04,Z,QSU05
60,2005-01-12,QSF05,F,QSV05
61,2005-02-10,QSG05,G,QSX05
62,2005-03-10,QSH05,H,QSZ05
63,2005-04-12,QSJ05,J,QSF06
64,2005-05-12,QSK05,K,QSG06
65,2005-06-10,QSM05,M,QSH06
66,2005-07-12,QSN05,N,QSJ06
67,2005-08-11,QSQ05,Q,QSK06
68,2005-09-12,QSU05,U,QSM06
69,2005-10-12,QSV05,V,QSN06
70,2005-11-10,QSX05,X,QSQ06
71,2005-12-12,QSZ05,Z,QSU06
72,2006-01-12,QSF06,F,QSV06
73,2006-02-10,QSG06,G,QSX06
74,2006-03-10,QSH06,H,QSZ06
75,2006-04-12,QSJ06,J,QSF07
76,2006-05-11,QSK06,K,QSG07
77,2006-06-12,QSM06,M,QSH07
78,2006-07-12,QSN06,N,QSJ07
79,2006-08-10,QSQ06,Q,QSK07
80,2006-09-12,QSU06,U,QSM07
81,2006-10-12,QSV06,V,QSN07
82,2006-11-10,QSX06,X,QSQ07
83,2006-12-12,QSZ06,Z,QSU07
84,2007-01-11,QSF07,F,QSV07
85,2007-02-12,QSG07,G,QSX07
86,2007-03-12,QSH07,H,QSZ07
87,2007-04-12,QSJ07,J,QSF08
88,2007-05-10,QSK07,K,QSG08
89,2007-06-12,QSM07,M,QSH08
90,2007-07-12,QSN07,N,QSJ08
91,2007-08-10,QSQ07,Q,QSK08
92,2007-09-12,QSU07,U,QSM08
93,2007-10-11,QSV07,V,QSN08
94,2007-11-12,QSX07,X,QSQ08
95,2007-12-12,QSZ07,Z,QSU08
96,2008-01-10,QSF08,F,QSV08
97,2008-02-12,QSG08,G,QSX08
98,2008-03-12,QSH08,H,QSZ08
99,2008-04-10,QSJ08,J,QSF09
100,2008-05-12,QSK08,K,QSG09
101,2008-06-12,QSM08,M,QSH09
102,2008-07-10,QSN08,N,QSJ09
103,2008-08-12,QSQ08,Q,QSK09
104,2008-09-11,QSU08,U,QSM09
105,2008-10-10,QSV08,V,QSN09
106,2008-11-12,QSX08,X,QSQ09
107,2008-12-11,QSZ08,Z,QSU09
108,2009-01-12,QSF09,F,QSV09
109,2009-02-12,QSG09,G,QSX09
110,2009-03-12,QSH09,H,QSZ09
111,2009-04-08,QSJ09,J,QSF10
112,2009-05-12,QSK09,K,QSG10
