,Date,Long,Short,Pre_Long,Pre_Short,Q_Long,Q_Short,Q_Pre_Long,Q_Pre_Short,IS_ROLLING,Payload,Value,Daily_Gain,Change (%),Cum_Gain
0,2000-02-11,217.5,182.0,,193.5,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",177.5,0.0,,0.0
1,2000-02-14,220.0,184.25,,195.75,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",178.75,125.0,inf,125.0
2,2000-02-15,219.75,183.75,,195.25,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",180.0,125.0,0.0,250.0
3,2000-02-16,223.5,184.25,,195.75,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",196.25,1625.0,12.0,1875.0
4,2000-02-17,220.5,183.0,,194.5,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",187.5,-875.0,-1.5384615384615383,1000.0
5,2000-02-18,219.75,181.75,,193.25,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",190.0,250.0,-1.2857142857142856,1250.0
6,2000-02-21,215.5,179.5,,191.0,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",180.0,-1000.0,-5.0,250.0
7,2000-02-22,213.0,181.25,,192.75,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",158.75,-2125.0,1.125,-1875.0
8,2000-02-23,217.5,183.75,,195.25,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",168.75,1000.0,-1.4705882352941178,-875.0
9,2000-02-24,219.25,182.5,,194.0,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",183.75,1500.0,0.5,625.0
10,2000-02-25,227.25,185.5,,197.0,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",208.75,2500.0,0.6666666666666667,3125.0
11,2000-02-28,226.75,185.0,,196.5,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",208.75,0.0,-1.0,3125.0
12,2000-02-29,230.0,186.75,,198.25,5,5,0,0,False,"{'long_future': 'QSH00', 'short_future': 'QSH01', 'event': 'base', 'missing_price_flag': False}",216.25,750.0,inf,3875.0
