	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1999-01-28	534.0	5	long				
1	1999-01-29	534.0	5	long			0.0	0.0
2	1999-02-01	534.0	5	long			0.0	0.0
3	1999-02-02	539.0	5	long			25.0	25.0
4	1999-02-03	535.5	5	long			-17.5	7.5
5	1999-02-04	536.25	5	long			3.75	11.25
6	1999-02-05	541.0	5	long			23.75	35.0
7	1999-02-08	537.0	5	long			-20.0	15.0
8	1999-02-09	530.0	5	long			-35.0	-20.0
9	1999-02-10	528.75	5	long			-6.25	-26.25
10	1999-02-11	526.0	5	long			-13.75	-40.0
11	1999-02-12	524.0	5	long			-10.0	-50.0
12	1999-02-15		5	long			0.0	-50.0
13	1999-02-16	521.0	5	long			-15.0	-65.0
14	1999-02-17	520.5	5	long			-2.5	-67.5
15	1999-02-18	517.5	5	long			-15.0	-82.5
16	1999-02-19	511.5	5	long			-30.0	-112.5
17	1999-02-22	506.25	5	long			-26.25	-138.75
18	1999-02-23	506.5	5	long			1.25	-137.5
19	1999-02-24	493.0	5	long			-67.5	-205.0
20	1999-02-25	492.0	5	long			-5.0	-210.0
21	1999-02-26	493.0	5	long			5.0	-205.0
22	1999-03-01	496.75	5	long			18.75	-186.25
23	1999-03-02	504.0	5	long			36.25	-150.0
24	1999-03-03	501.5	5	long			-12.5	-162.5
25	1999-03-04	500.5	5	long			-5.0	-167.5
26	1999-03-05	497.5	5	long			-15.0	-182.5
27	1999-03-08	504.0	5	long			32.5	-150.0
28	1999-03-09	504.0	5	long			0.0	-150.0
29	1999-03-10	507.0	5	long			15.0	-135.0
30	1999-03-11	506.5	5	long			-2.5	-137.5
31	1999-03-12	503.0	5	long			-17.5	-155.0
32	1999-03-15	500.5	5	long			-12.5	-167.5
33	1999-03-16	511.0	5	long			52.5	-115.0
34	1999-03-17	511.25	5	long			1.25	-113.75
35	1999-03-18	514.0	5	long			13.75	-100.0
36	1999-03-19	521.5	5	long			37.5	-62.5
37	1999-03-22	531.25	5	long			48.75	-13.75
38	1999-03-23	525.25	5	long			-30.0	-43.75
39	1999-03-24	518.5	5	long			-33.75	-77.5
40	1999-03-25	529.0	5	long			52.5	-25.0
41	1999-03-26	527.5	5	long			-7.5	-32.5
42	1999-03-29	526.5	5	long			-5.0	-37.5
43	1999-03-30	533.0	5	long			32.5	-5.0
44	1999-03-31	516.5	5	long			-82.5	-87.5
45	1999-04-01	517.0	5	long			2.5	-85.0
46	1999-04-02		5	long			0.0	-85.0
47	1999-04-05	516.5	5	long			-2.5	-87.5
48	1999-04-06	512.0	5	long			-22.5	-110.0
49	1999-04-07	513.0	5	long			5.0	-105.0
50	1999-04-08	511.75	5	long			-6.25	-111.25
51	1999-04-09	514.75	5	long			15.0	-96.25
52	1999-04-12	514.0	5	long			-3.75	-100.0
53	1999-04-13	518.5	5	long			22.5	-77.5
54	1999-04-14	522.5	5	long			20.0	-57.5
55	1999-04-15	524.5	5	long			10.0	-47.5
56	1999-04-16	522.0	5	long			-12.5	-60.0
57	1999-04-19	522.75	5	long			3.75	-56.25
58	1999-04-20	530.25	5	long			37.5	-18.75
59	1999-04-21	529.5	5	long			-3.75	-22.5
60	1999-04-22	518.5	5	long			-55.0	-77.5
61	1999-04-23	520.25	5	long			8.75	-68.75
62	1999-04-26	514.5	5	long			-28.75	-97.5
63	1999-04-27	512.5	5	long			-10.0	-107.5
64	1999-04-28	513.5	5	long			5.0	-102.5
65	1999-04-29	509.5	5	long			-20.0	-122.5
66	1999-04-30	510.5	5	long			5.0	-117.5
67	1999-05-03	512.5	5	long			10.0	-107.5
68	1999-05-04	511.5	5	long			-5.0	-112.5
69	1999-05-05	508.0	5	long			-17.5	-130.0
70	1999-05-06	506.25	5	long			-8.75	-138.75
71	1999-05-07	501.0	5	long			-26.25	-165.0
72	1999-05-10	502.25	5	long			6.25	-158.75
73	1999-05-11	501.0	5	long			-6.25	-165.0
74	1999-05-12	499.25	5	long			-8.75	-173.75
75	1999-05-13	493.75	5	long			-27.5	-201.25
76	1999-05-14	492.25	5	long			-7.5	-208.75
77	1999-05-17	494.0	5	long			8.75	-200.0
78	1999-05-18	497.25	5	long			16.25	-183.75
79	1999-05-19	492.5	5	long			-23.75	-207.5
80	1999-05-20	491.0	5	long			-7.5	-215.0
81	1999-05-21	484.75	5	long			-31.25	-246.25
82	1999-05-24	477.5	5	long			-36.25	-282.5
83	1999-05-25	482.0	5	long			22.5	-260.0
84	1999-05-26	478.0	5	long			-20.0	-280.0
85	1999-05-27	479.25	5	long			6.25	-273.75
86	1999-05-28	483.5	5	long			21.25	-252.5
87	1999-05-31		5	long			0.0	-252.5
88	1999-06-01	479.5	5	long			-20.0	-272.5
89	1999-06-02	479.5	5	long			0.0	-272.5
90	1999-06-03	486.0	5	long			32.5	-240.0
91	1999-06-04	484.5	5	long			-7.5	-247.5
92	1999-06-07	491.0	5	long			32.5	-215.0
93	1999-06-08	491.25	5	long			1.25	-213.75
94	1999-06-09	492.25	5	long			5.0	-208.75
95	1999-06-10	488.25	5	long			-20.0	-228.75
96	1999-06-11	489.75	5	long			7.5	-221.25
97	1999-06-14	490.25	5	long			2.5	-218.75
98	1999-06-15	481.5	5	long			-43.75	-262.5
99	1999-06-16	479.25	5	long			-11.25	-273.75
100	1999-06-17	479.5	5	long			1.25	-272.5
101	1999-06-18	490.75	5	long			56.25	-216.25
102	1999-06-21	487.5	5	long			-16.25	-232.5
103	1999-06-22	483.5	5	long			-20.0	-252.5
104	1999-06-23	479.5	5	long			-20.0	-272.5
105	1999-06-24	472.25	5	long			-36.25	-308.75
106	1999-06-25	469.0	5	long			-16.25	-325.0
107	1999-06-28	465.5	5	long			-17.5	-342.5
108	1999-06-29	466.0	5	long			2.5	-340.0
109	1999-06-30	470.75	5	long			23.75	-316.25
110	1999-07-01	463.25	5	long			-37.5	-353.75
111	1999-07-02	450.75	5	long			-62.5	-416.25
112	1999-07-05		5	long			0.0	-416.25
113	1999-07-06	431.0	5	long			-98.75	-515.0
114	1999-07-07	432.25	5	long			6.25	-508.75
115	1999-07-08	425.25	5	long			-35.0	-543.75
116	1999-07-09	420.0	5	long			-26.25	-570.0
117	1999-07-12	426.75	5	long			33.75	-536.25
118	1999-07-13	427.5	5	long			3.75	-532.5
119	1999-07-14	429.5	5	long			10.0	-522.5
120	1999-07-15	437.0	5	long			37.5	-485.0
121	1999-07-16	427.25	5	long			-48.75	-533.75
122	1999-07-19	434.75	5	long			37.5	-496.25
123	1999-07-20	444.5	5	long			48.75	-447.5
124	1999-07-21	468.0	5	long			117.5	-330.0
125	1999-07-22	466.5	5	long			-7.5	-337.5
126	1999-07-23	490.5	5	long			120.0	-217.5
127	1999-07-26	472.5	5	long			-90.0	-307.5
128	1999-07-27	445.5	5	long			-135.0	-442.5
129	1999-07-28	438.25	5	long			-36.25	-478.75
130	1999-07-29	444.0	5	long			28.75	-450.0
131	1999-07-30	443.25	5	long			-3.75	-453.75
132	1999-08-02	473.25	5	long			150.0	-303.75
133	1999-08-03	488.75	5	long			77.5	-226.25
134	1999-08-04	503.75	5	long			75.0	-151.25
135	1999-08-05	490.25	5	long			-67.5	-218.75
136	1999-08-06	493.0	5	long			13.75	-205.0
137	1999-08-09	497.75	5	long			23.75	-181.25
138	1999-08-10	503.25	5	long			27.5	-153.75
139	1999-08-11	495.75	5	long			-37.5	-191.25
140	1999-08-12	465.75	5	long			-150.0	-341.25
141	1999-08-13	463.75	5	long			-10.0	-351.25
142	1999-08-16	473.25	5	long			47.5	-303.75
143	1999-08-17	482.75	5	long			47.5	-256.25
144	1999-08-18	479.25	5	long			-17.5	-273.75
145	1999-08-19	487.5	5	long			41.25	-232.5
146	1999-08-20	483.0	5	long			-22.5	-255.0
147	1999-08-23	480.5	5	long			-12.5	-267.5
148	1999-08-24	477.5	5	long			-15.0	-282.5
149	1999-08-25	485.25	5	long			38.75	-243.75
150	1999-08-26	477.0	5	long			-41.25	-285.0
151	1999-08-27	480.75	5	long			18.75	-266.25
152	1999-08-30	480.25	5	long			-2.5	-268.75
153	1999-08-31	492.5	5	long			61.25	-207.5
154	1999-09-01	498.0	5	long			27.5	-180.0
155	1999-09-02	503.75	5	long			28.75	-151.25
156	1999-09-03	507.25	5	long			17.5	-133.75
157	1999-09-06		5	long			0.0	-133.75
158	1999-09-07	529.25	5	long			110.0	-23.75
159	1999-09-08	517.25	5	long			-60.0	-83.75
160	1999-09-09	516.75	5	long			-2.5	-86.25
161	1999-09-10	524.75	5	long			40.0	-46.25
162	1999-09-13	519.5	5	long			-26.25	-72.5
163	1999-09-14	511.5	5	long			-40.0	-112.5
164	1999-09-15	499.25	5	long			-61.25	-173.75
165	1999-09-16	502.75	5	long			17.5	-156.25
166	1999-09-17	497.25	5	long			-27.5	-183.75
167	1999-09-20	497.25	5	long			0.0	-183.75
168	1999-09-21	495.0	5	long			-11.25	-195.0
169	1999-09-22	495.25	5	long			1.25	-193.75
170	1999-09-23	488.25	5	long			-35.0	-228.75
171	1999-09-24	489.25	5	long			5.0	-223.75
172	1999-09-27	494.0	5	long			23.75	-200.0
173	1999-09-28	499.75	5	long			28.75	-171.25
174	1999-09-29	501.75	5	long			10.0	-161.25
