	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-10-08	1449.5	short	1	True	1.0		
1	2012-10-09	1451.5	short	2	True	2.0	-2.0	-2.0
2	2012-10-10	1439.5	short	3	True	3.0	24.0	22.0
3	2012-10-11	1478.25	short	4	True	4.0	-116.25	-94.25
4	2012-10-12	1449.75	short	5	True	5.0	114.0	19.75
5	2012-10-15	1428.25	short	5			107.5	127.25
6	2012-10-16	1432.75	short	5			-22.5	104.75
7	2012-10-17	1445.25	short	5			-62.5	42.25
8	2012-10-18	1475.75	short	5			-152.5	-110.25
9	2012-10-19	1463.75	short	5			60.0	-50.25
10	2012-10-22	1474.0	short	5			-51.25	-101.5
11	2012-10-23	1474.25	short	5			-1.25	-102.75
12	2012-10-24	1483.0	short	5			-43.75	-146.5
13	2012-10-25	1483.75	short	5			-3.75	-150.25
14	2012-10-26	1488.0	short	5			-21.25	-171.5
15	2012-10-29	1460.25	short	5			138.75	-32.75
16	2012-10-30	1465.75	short	5			-27.5	-60.25
17	2012-10-31	1478.25	short	5			-62.5	-122.75
18	2012-11-01	1493.0	short	5			-73.75	-196.5
19	2012-11-02	1471.25	short	5			108.75	-87.75
20	2012-11-05	1456.5	short	5			73.75	-14.0
21	2012-11-06	1465.25	short	5			-43.75	-57.75
22	2012-11-07	1461.0	short	5			21.25	-36.5
23	2012-11-08	1456.0	short	5			25.0	-11.5
24	2012-11-09	1419.25	short	5			183.75	172.25
25	2012-11-12	1375.5	short	5			218.75	391.0
26	2012-11-13	1372.5	short	5			15.0	406.0
27	2012-11-14	1377.25	short	5			-23.75	382.25
28	2012-11-15	1362.25	short	5			75.0	457.25
29	2012-11-16	1351.5	short	5			53.75	511.0
30	2012-11-19	1365.75	short	5			-71.25	439.75
31	2012-11-20	1379.0	short	5			-66.25	373.5
32	2012-11-21	1374.5	short	5			22.5	396.0
33	2012-11-22		short	5			-0.0	396.0
34	2012-11-23	1382.75	short	5			-41.25	354.75
35	2012-11-26	1392.25	short	5			-47.5	307.25
36	2012-11-27	1414.25	short	5			-110.0	197.25
37	2012-11-28	1410.5	short	5			18.75	216.0
38	2012-11-29	1418.5	short	5			-40.0	176.0
39	2012-11-30	1409.75	short	5			43.75	219.75
40	2012-12-03	1427.0	short	5			-86.25	133.5
41	2012-12-04	1428.0	short	5			-5.0	128.5
42	2012-12-05	1450.75	short	5			-113.75	14.75
43	2012-12-06	1463.75	short	5			-65.0	-50.25
44	2012-12-07	1453.25	short	5			52.5	2.25
45	2012-12-10	1462.75	short	4	True	1.0	-47.5	-45.25
46	2012-12-11	1459.0	short	3	True	2.0	15.0	-30.25
47	2012-12-12	1455.0	short	2	True	3.0	12.0	-18.25
48	2012-12-13	1456.5	short	1	True	4.0	-3.0	-21.25
49	2012-12-14	1471.5	short	0	True	5.0	-15.0	-36.25
50	2013-02-08	1436.75	long	1	True	1.0		
51	2013-02-11	1417.25	long	2	True	2.0	-19.5	-55.75
52	2013-02-12	1409.5	long	3	True	3.0	-15.5	-71.25
53	2013-02-13	1413.5	long	4	True	4.0	12.0	-59.25
54	2013-02-14	1408.5	long	5	True	5.0	-20.0	-79.25
55	2013-02-15	1414.75	long	5			31.25	-48.0
56	2013-02-18		long	5			0.0	-48.0
57	2013-02-19	1457.25	long	5			212.5	164.5
58	2013-02-20	1468.5	long	5			56.25	220.75
59	2013-02-21	1470.5	long	5			10.0	230.75
60	2013-02-22	1443.75	long	5			-133.75	97.0
61	2013-02-25	1435.25	long	5			-42.5	54.5
62	2013-02-26	1431.75	long	5			-17.5	37.0
63	2013-02-27	1439.5	long	5			38.75	75.75
64	2013-02-28	1452.25	long	5			63.75	139.5
65	2013-03-01	1443.5	long	5			-43.75	95.75
66	2013-03-04	1462.0	long	5			92.5	188.25
67	2013-03-05	1466.5	long	5			22.5	210.75
68	2013-03-06	1466.0	long	5			-2.5	208.25
69	2013-03-07	1473.5	long	5			37.5	245.75
70	2013-03-08	1471.0	long	5			-12.5	233.25
71	2013-03-11	1479.5	long	5			42.5	275.75
72	2013-03-12	1468.75	long	5			-53.75	222.0
73	2013-03-13	1447.0	long	5			-108.75	113.25
74	2013-03-14	1435.5	long	5			-57.5	55.75
75	2013-03-15	1426.0	long	5			-47.5	8.25
76	2013-03-18	1409.5	long	5			-82.5	-74.25
77	2013-03-19	1406.75	long	5			-13.75	-88.0
78	2013-03-20	1419.75	long	5			65.0	-23.0
79	2013-03-21	1449.0	long	5			146.25	123.25
80	2013-03-22	1440.5	long	5			-42.5	80.75
81	2013-03-25	1437.25	long	5			-16.25	64.5
82	2013-03-26	1447.75	long	5			52.5	117.0
83	2013-03-27	1453.75	long	5			30.0	147.0
84	2013-03-28	1404.75	long	5			-245.0	-98.0
85	2013-03-29		long	5			0.0	-98.0
86	2013-04-01	1390.75	long	5			-70.0	-168.0
87	2013-04-02	1394.0	long	5			16.25	-151.75
88	2013-04-03	1380.25	long	5			-68.75	-220.5
89	2013-04-04	1372.0	long	5			-41.25	-261.75
90	2013-04-05	1361.75	long	5			-51.25	-313.0
91	2013-04-08	1378.0	long	4	True	1.0	81.25	-231.75
92	2013-04-09	1395.5	long	3	True	2.0	70.0	-161.75
93	2013-04-10	1392.75	long	2	True	3.0	-8.25	-170.0
94	2013-04-11	1402.0	long	1	True	4.0	18.5	-151.5
95	2013-04-12	1413.0	long	0	True	5.0	11.0	-140.5
