	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-02-08	522.25	short	1	True	1.0		
1	2005-02-09	524.25	short	2	True	2.0	-2.0	-2.0
2	2005-02-10	530.5	short	3	True	3.0	-12.5	-14.5
3	2005-02-11	539.0	short	4	True	4.0	-25.5	-40.0
4	2005-02-14	547.5	short	5	True	5.0	-34.0	-74.0
5	2005-02-15	547.75	short	5			-1.25	-75.25
6	2005-02-16	546.75	short	5			5.0	-70.25
7	2005-02-17	566.5	short	5			-98.75	-169.0
8	2005-02-18	570.25	short	5			-18.75	-187.75
9	2005-02-21		short	5			-0.0	-187.75
10	2005-02-22	596.0	short	5			-128.75	-316.5
11	2005-02-23	591.5	short	5			22.5	-294.0
12	2005-02-24	581.5	short	5			50.0	-244.0
13	2005-02-25	608.0	short	5			-132.5	-376.5
14	2005-02-28	619.0	short	5			-55.0	-431.5
15	2005-03-01	614.25	short	5			23.75	-407.75
16	2005-03-02	624.0	short	5			-48.75	-456.5
17	2005-03-03	619.75	short	5			21.25	-435.25
18	2005-03-04	618.75	short	5			5.0	-430.25
19	2005-03-07	610.5	short	5			41.25	-389.0
20	2005-03-08	612.5	short	5			-10.0	-399.0
21	2005-03-09	615.5	short	5			-15.0	-414.0
22	2005-03-10	624.5	short	5			-45.0	-459.0
23	2005-03-11	634.5	short	5			-50.0	-509.0
24	2005-03-14	634.0	short	5			2.5	-506.5
25	2005-03-15	644.0	short	5			-50.0	-556.5
26	2005-03-16	635.5	short	5			42.5	-514.0
27	2005-03-17	636.5	short	5			-5.0	-519.0
28	2005-03-18	626.0	short	5			52.5	-466.5
29	2005-03-21	606.0	short	5			100.0	-366.5
30	2005-03-22	607.75	short	5			-8.75	-375.25
31	2005-03-23	602.5	short	5			26.25	-349.0
32	2005-03-24	604.0	short	5			-7.5	-356.5
33	2005-03-25		short	5			-0.0	-356.5
34	2005-03-28	601.0	short	5			15.0	-341.5
35	2005-03-29	597.5	short	5			17.5	-324.0
36	2005-03-30	611.25	short	5			-68.75	-392.75
37	2005-03-31	605.5	short	5			28.75	-364.0
38	2005-04-01	600.25	short	5			26.25	-337.75
39	2005-04-04	601.5	short	5			-6.25	-344.0
40	2005-04-05	606.25	short	5			-23.75	-367.75
41	2005-04-06	611.75	short	5			-27.5	-395.25
42	2005-04-07	613.25	short	5			-7.5	-402.75
43	2005-04-08	606.5	short	4	True	1.0	33.75	-369.0
44	2005-04-11	612.5	short	3	True	2.0	-24.0	-393.0
45	2005-04-12	608.25	short	2	True	3.0	12.75	-380.25
46	2005-04-13	610.0	short	1	True	4.0	-3.5	-383.75
47	2005-04-14	606.0	short	0	True	5.0	4.0	-379.75
48	2005-06-08	678.0	long	1	True	1.0		
49	2005-06-09	684.25	long	2	True	2.0	6.25	-373.5
50	2005-06-10	678.0	long	3	True	3.0	-12.5	-386.0
51	2005-06-13	694.5	long	4	True	4.0	49.5	-336.5
52	2005-06-14	704.75	long	5	True	5.0	41.0	-295.5
53	2005-06-15	720.75	long	5			80.0	-215.5
54	2005-06-16	720.5	long	5			-1.25	-216.75
55	2005-06-17	741.5	long	5			105.0	-111.75
56	2005-06-20	757.5	long	5			80.0	-31.75
57	2005-06-21	753.0	long	5			-22.5	-54.25
58	2005-06-22	754.0	long	5			5.0	-49.25
59	2005-06-23	745.5	long	5			-42.5	-91.75
60	2005-06-24	765.75	long	5			101.25	9.5
61	2005-06-27	715.75	long	5			-250.0	-240.5
62	2005-06-28	686.0	long	5			-148.75	-389.25
63	2005-06-29	689.0	long	5			15.0	-374.25
64	2005-06-30	666.25	long	5			-113.75	-488.0
65	2005-07-01	686.0	long	5			98.75	-389.25
66	2005-07-04		long	5			0.0	-389.25
67	2005-07-05	728.0	long	5			210.0	-179.25
68	2005-07-06	709.5	long	5			-92.5	-271.75
69	2005-07-07	707.5	long	5			-10.0	-281.75
70	2005-07-08	688.0	long	5			-97.5	-379.25
71	2005-07-11	701.5	long	5			67.5	-311.75
72	2005-07-12	712.5	long	5			55.0	-256.75
73	2005-07-13	725.0	long	5			62.5	-194.25
74	2005-07-14	731.0	long	5			30.0	-164.25
75	2005-07-15	731.5	long	5			2.5	-161.75
76	2005-07-18	727.75	long	5			-18.75	-180.5
77	2005-07-19	691.0	long	5			-183.75	-364.25
78	2005-07-20	694.5	long	5			17.5	-346.75
79	2005-07-21	679.5	long	5			-75.0	-421.75
80	2005-07-22	679.5	long	5			0.0	-421.75
81	2005-07-25	682.5	long	5			15.0	-406.75
82	2005-07-26	689.0	long	5			32.5	-374.25
83	2005-07-27	686.5	long	5			-12.5	-386.75
84	2005-07-28	698.25	long	5			58.75	-328.0
85	2005-07-29	686.75	long	5			-57.5	-385.5
86	2005-08-01	687.5	long	5			3.75	-381.75
87	2005-08-02	704.5	long	5			85.0	-296.75
88	2005-08-03	681.5	long	5			-115.0	-411.75
89	2005-08-04	682.5	long	5			5.0	-406.75
90	2005-08-05	669.0	long	5			-67.5	-474.25
91	2005-08-08	670.75	long	5			8.75	-465.5
92	2005-08-09	652.75	long	5			-90.0	-555.5
93	2005-08-10	652.75	long	5			0.0	-555.5
94	2005-08-11	650.25	long	5			-12.5	-568.0
95	2005-08-12	648.0	long	5			-11.25	-579.25
96	2005-08-15	619.75	long	5			-141.25	-720.5
97	2005-08-16	625.0	long	5			26.25	-694.25
98	2005-08-17	624.75	long	5			-1.25	-695.5
99	2005-08-18	620.25	long	5			-22.5	-718.0
100	2005-08-19	607.5	long	5			-63.75	-781.75
101	2005-08-22	617.25	long	5			48.75	-733.0
102	2005-08-23	620.5	long	5			16.25	-716.75
103	2005-08-24	612.75	long	5			-38.75	-755.5
104	2005-08-25	597.75	long	5			-75.0	-830.5
105	2005-08-26	602.0	long	5			21.25	-809.25
106	2005-08-29	606.0	long	5			20.0	-789.25
107	2005-08-30	611.0	long	5			25.0	-764.25
108	2005-08-31	598.75	long	5			-61.25	-825.5
109	2005-09-01	607.0	long	5			41.25	-784.25
110	2005-09-02	599.0	long	5			-40.0	-824.25
111	2005-09-05		long	5			0.0	-824.25
112	2005-09-06	614.25	long	5			76.25	-748.0
113	2005-09-07	606.25	long	5			-40.0	-788.0
114	2005-09-08	600.5	long	5			-28.75	-816.75
115	2005-09-09	590.0	long	5			-52.5	-869.25
116	2005-09-12	585.0	long	5			-25.0	-894.25
117	2005-09-13	586.0	long	5			5.0	-889.25
118	2005-09-14	580.25	long	5			-28.75	-918.0
119	2005-09-15	568.75	long	5			-57.5	-975.5
120	2005-09-16	571.25	long	5			12.5	-963.0
121	2005-09-19	576.0	long	5			23.75	-939.25
122	2005-09-20	572.0	long	5			-20.0	-959.25
123	2005-09-21	577.75	long	5			28.75	-930.5
124	2005-09-22	580.5	long	5			13.75	-916.75
125	2005-09-23	574.0	long	5			-32.5	-949.25
126	2005-09-26	567.5	long	5			-32.5	-981.75
127	2005-09-27	557.5	long	5			-50.0	-1031.75
128	2005-09-28	562.75	long	5			26.25	-1005.5
129	2005-09-29	560.5	long	5			-11.25	-1016.75
130	2005-09-30	573.25	long	5			63.75	-953.0
131	2005-10-03	581.0	long	5			38.75	-914.25
132	2005-10-04	562.5	long	5			-92.5	-1006.75
133	2005-10-05	563.5	long	5			5.0	-1001.75
134	2005-10-06	564.25	long	5			3.75	-998.0
135	2005-10-07	564.25	long	5			0.0	-998.0
136	2005-10-10	555.5	long	4	True	1.0	-43.75	-1041.75
137	2005-10-11	563.5	long	3	True	2.0	32.0	-1009.75
138	2005-10-12	589.0	long	2	True	3.0	76.5	-933.25
139	2005-10-13	588.25	long	1	True	4.0	-1.5	-934.75
140	2005-10-14	589.5	long	0	True	5.0	1.25	-933.5
