	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-11-10	633.0	5	short				
1	1998-11-11	635.0	5	short			-10.0	-10.0
2	1998-11-12	645.0	5	short			-50.0	-60.0
3	1998-11-13	645.0	5	short			-0.0	-60.0
4	1998-11-16	631.0	5	short			70.0	10.0
5	1998-11-17	641.0	5	short			-50.0	-40.0
6	1998-11-18	640.0	5	short			5.0	-35.0
7	1998-11-19	639.0	5	short			5.0	-30.0
8	1998-11-20	639.0	5	short			-0.0	-30.0
9	1998-11-23	629.0	5	short			50.0	20.0
10	1998-11-24	629.0	5	short			-0.0	20.0
11	1998-11-25	630.0	5	short			-5.0	15.0
12	1998-11-26		5	short			-0.0	15.0
13	1998-11-27	640.0	5	short			-50.0	-35.0
14	1998-11-30	647.0	5	short			-35.0	-70.0
15	1998-12-01	635.0	5	short			60.0	-10.0
16	1998-12-02	644.0	5	short			-45.0	-55.0
17	1998-12-03	638.0	5	short			30.0	-25.0
18	1998-12-04	636.0	5	short			10.0	-15.0
19	1998-12-07	635.0	5	short			5.0	-10.0
20	1998-12-08	633.5	5	short			7.5	-2.5
21	1998-12-09	621.0	5	short			62.5	60.0
22	1998-12-10	616.0	5	short			25.0	85.0
23	1998-12-11	603.0	5	short			65.0	150.0
24	1998-12-14	605.5	5	short			-12.5	137.5
25	1998-12-15	606.0	5	short			-2.5	135.0
26	1998-12-16	605.0	5	short			5.0	140.0
27	1998-12-17	600.0	5	short			25.0	165.0
28	1998-12-18	595.0	5	short			25.0	190.0
29	1998-12-21	592.0	5	short			15.0	205.0
30	1998-12-22	590.0	5	short			10.0	215.0
31	1998-12-23	589.0	5	short			5.0	220.0
32	1998-12-24	591.75	5	short			-13.75	206.25
33	1998-12-25		5	short			-0.0	206.25
34	1998-12-28	587.0	5	short			23.75	230.0
35	1998-12-29	585.0	5	short			10.0	240.0
36	1998-12-30	583.0	5	short			10.0	250.0
37	1998-12-31	576.0	5	short			35.0	285.0
38	1999-01-01		5	short			-0.0	285.0
39	1999-01-04	585.0	5	short			-45.0	240.0
40	1999-01-05	589.0	5	short			-20.0	220.0
