	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-12-08	901.0	short	1	True	1.0		
1	2015-12-09	901.0	short	2	True	2.0	-0.0	0.0
2	2015-12-10	905.0	short	3	True	3.0	-8.0	-8.0
3	2015-12-11	896.25	short	4	True	4.0	26.25	18.25
4	2015-12-14	896.5	short	5	True	5.0	-1.0	17.25
5	2015-12-15	889.75	short	5			33.75	51.0
6	2015-12-16	885.0	short	5			23.75	74.75
7	2015-12-17	898.5	short	5			-67.5	7.25
8	2015-12-18	911.75	short	5			-66.25	-59.0
9	2015-12-21	910.75	short	5			5.0	-54.0
10	2015-12-22	906.5	short	5			21.25	-32.75
11	2015-12-23	900.75	short	5			28.75	-4.0
12	2015-12-24	895.75	short	5			25.0	21.0
13	2015-12-25		short	5			-0.0	21.0
14	2015-12-28	885.25	short	5			52.5	73.5
15	2015-12-29	891.0	short	5			-28.75	44.75
16	2015-12-30	893.75	short	5			-13.75	31.0
17	2015-12-31	888.5	short	5			26.25	57.25
18	2016-01-01		short	5			-0.0	57.25
19	2016-01-04	878.5	short	5			50.0	107.25
20	2016-01-05	880.5	short	5			-10.0	97.25
21	2016-01-06	884.5	short	5			-20.0	77.25
22	2016-01-07	883.5	short	5			5.0	82.25
23	2016-01-08	884.0	short	5			-2.5	79.75
24	2016-01-11	879.5	short	5			22.5	102.25
25	2016-01-12	892.0	short	5			-62.5	39.75
26	2016-01-13	895.0	short	5			-15.0	24.75
27	2016-01-14	895.75	short	5			-3.75	21.0
28	2016-01-15	891.0	short	5			23.75	44.75
29	2016-01-18		short	5			-0.0	44.75
30	2016-01-19	892.75	short	5			-8.75	36.0
31	2016-01-20	887.75	short	5			25.0	61.0
32	2016-01-21	890.75	short	5			-15.0	46.0
33	2016-01-22	887.0	short	5			18.75	64.75
34	2016-01-25	894.25	short	5			-36.25	28.5
35	2016-01-26	892.0	short	5			11.25	39.75
36	2016-01-27	898.25	short	5			-31.25	8.5
37	2016-01-28	884.0	short	5			71.25	79.75
38	2016-01-29	897.75	short	5			-68.75	11.0
39	2016-02-01	894.25	short	5			17.5	28.5
40	2016-02-02	900.75	short	5			-32.5	-4.0
41	2016-02-03	893.0	short	5			38.75	34.75
42	2016-02-04	892.5	short	5			2.5	37.25
43	2016-02-05	888.0	short	5			22.5	59.75
44	2016-02-08	882.0	short	4	True	1.0	30.0	89.75
45	2016-02-09	883.0	short	3	True	2.0	-4.0	85.75
46	2016-02-10	882.75	short	2	True	3.0	0.75	86.5
47	2016-02-11	893.25	short	1	True	4.0	-21.0	65.5
48	2016-02-12	891.25	short	0	True	5.0	2.0	67.5
49	2016-10-10	961.5	long	1	True	1.0		
50	2016-10-11	961.75	long	2	True	2.0	0.25	67.75
51	2016-10-12	953.5	long	3	True	3.0	-16.5	51.25
52	2016-10-13	964.75	long	4	True	4.0	33.75	85.0
53	2016-10-14	970.25	long	5	True	5.0	22.0	107.0
54	2016-10-17	986.0	long	5			78.75	185.75
55	2016-10-18	981.25	long	5			-23.75	162.0
56	2016-10-19	990.5	long	5			46.25	208.25
57	2016-10-20	984.75	long	5			-28.75	179.5
58	2016-10-21	992.25	long	5			37.5	217.0
59	2016-10-24	1002.25	long	5			50.0	267.0
60	2016-10-25	1002.25	long	5			0.0	267.0
61	2016-10-26	1021.0	long	5			93.75	360.75
62	2016-10-27	1025.0	long	5			20.0	380.75
63	2016-10-28	1012.0	long	5			-65.0	315.75
64	2016-10-31	1011.75	long	5			-1.25	314.5
65	2016-11-01	993.25	long	5			-92.5	222.0
66	2016-11-02	986.5	long	5			-33.75	188.25
67	2016-11-03	989.5	long	5			15.0	203.25
68	2016-11-04	990.75	long	5			6.25	209.5
69	2016-11-07	998.5	long	5			38.75	248.25
70	2016-11-08	1011.25	long	5			63.75	312.0
71	2016-11-09	991.0	long	5			-101.25	210.75
72	2016-11-10	998.0	long	5			35.0	245.75
73	2016-11-11	986.0	long	5			-60.0	185.75
74	2016-11-14	984.25	long	5			-8.75	177.0
75	2016-11-15	989.5	long	5			26.25	203.25
76	2016-11-16	985.75	long	5			-18.75	184.5
77	2016-11-17	989.5	long	5			18.75	203.25
78	2016-11-18	993.75	long	5			21.25	224.5
79	2016-11-21	1020.25	long	5			132.5	357.0
80	2016-11-22	1030.0	long	5			48.75	405.75
81	2016-11-23	1034.25	long	5			21.25	427.0
82	2016-11-24		long	5			0.0	427.0
83	2016-11-25	1046.0	long	5			58.75	485.75
84	2016-11-28	1056.0	long	5			50.0	535.75
85	2016-11-29	1042.5	long	5			-67.5	468.25
86	2016-11-30	1032.25	long	5			-51.25	417.0
87	2016-12-01	1029.75	long	5			-12.5	404.5
88	2016-12-02	1027.5	long	5			-11.25	393.25
89	2016-12-05	1043.5	long	5			80.0	473.25
90	2016-12-06	1047.75	long	5			21.25	494.5
91	2016-12-07	1049.0	long	5			6.25	500.75
92	2016-12-08	1027.0	long	4	True	1.0	-110.0	390.75
93	2016-12-09	1037.5	long	3	True	2.0	42.0	432.75
94	2016-12-12	1031.0	long	2	True	3.0	-19.5	413.25
95	2016-12-13	1028.0	long	1	True	4.0	-6.0	407.25
96	2016-12-14	1023.75	long	0	True	5.0	-4.25	403.0
