	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-02-08	802.0	short	1	True	1.0		
1	2007-02-09	807.0	short	2	True	2.0	-5.0	-5.0
2	2007-02-12	803.25	short	3	True	3.0	7.5	2.5
3	2007-02-13	814.5	short	4	True	4.0	-33.75	-31.25
4	2007-02-14	810.5	short	5	True	5.0	16.0	-15.25
5	2007-02-15	816.25	short	5			-28.75	-44.0
6	2007-02-16	822.0	short	5			-28.75	-72.75
7	2007-02-19		short	5			-0.0	-72.75
8	2007-02-20	829.0	short	5			-35.0	-107.75
9	2007-02-21	837.0	short	5			-40.0	-147.75
10	2007-02-22	844.5	short	5			-37.5	-185.25
11	2007-02-23	837.0	short	5			37.5	-147.75
12	2007-02-26	839.0	short	5			-10.0	-157.75
13	2007-02-27	826.0	short	5			65.0	-92.75
14	2007-02-28	835.0	short	5			-45.0	-137.75
15	2007-03-01	810.0	short	5			125.0	-12.75
16	2007-03-02	803.5	short	5			32.5	19.75
17	2007-03-05	797.5	short	5			30.0	49.75
18	2007-03-06	797.0	short	5			2.5	52.25
19	2007-03-07	805.0	short	5			-40.0	12.25
20	2007-03-08	808.0	short	5			-15.0	-2.75
21	2007-03-09	810.0	short	5			-10.0	-12.75
22	2007-03-12	814.5	short	5			-22.5	-35.25
23	2007-03-13	807.0	short	5			37.5	2.25
24	2007-03-14	803.0	short	5			20.0	22.25
25	2007-03-15	803.0	short	5			-0.0	22.25
26	2007-03-16	808.0	short	5			-25.0	-2.75
27	2007-03-19	817.0	short	5			-45.0	-47.75
28	2007-03-20	824.5	short	5			-37.5	-85.25
29	2007-03-21	826.0	short	5			-7.5	-92.75
30	2007-03-22	832.0	short	5			-30.0	-122.75
31	2007-03-23	829.5	short	5			12.5	-110.25
32	2007-03-26	817.5	short	5			60.0	-50.25
33	2007-03-27	816.5	short	5			5.0	-45.25
34	2007-03-28	829.75	short	5			-66.25	-111.5
35	2007-03-29	835.75	short	5			-30.0	-141.5
36	2007-03-30	821.0	short	5			73.75	-67.75
37	2007-04-02	835.0	short	5			-70.0	-137.75
38	2007-04-03	822.0	short	5			65.0	-72.75
39	2007-04-04	820.5	short	5			7.5	-65.25
40	2007-04-05	819.5	short	5			5.0	-60.25
41	2007-04-06		short	5			-0.0	-60.25
42	2007-04-09	809.0	short	4	True	1.0	52.5	-7.75
43	2007-04-10	807.0	short	3	True	2.0	8.0	0.25
44	2007-04-11	809.5	short	2	True	3.0	-7.5	-7.25
45	2007-04-12	802.5	short	1	True	4.0	14.0	6.75
46	2007-04-13	801.0	short	0	True	5.0	1.5	8.25
47	2007-12-10	1144.25	long	1	True	1.0		
48	2007-12-11	1154.5	long	2	True	2.0	10.25	18.5
49	2007-12-12	1170.75	long	3	True	3.0	32.5	51.0
50	2007-12-13	1166.0	long	4	True	4.0	-14.25	36.75
51	2007-12-14	1175.0	long	5	True	5.0	36.0	72.75
52	2007-12-17	1176.0	long	5			5.0	77.75
53	2007-12-18	1168.5	long	5			-37.5	40.25
54	2007-12-19	1177.75	long	5			46.25	86.5
55	2007-12-20	1179.75	long	5			10.0	96.5
56	2007-12-21	1196.0	long	5			81.25	177.75
57	2007-12-24	1199.25	long	5			16.25	194.0
58	2007-12-25		long	5			0.0	194.0
59	2007-12-26	1239.5	long	5			201.25	395.25
60	2007-12-27	1231.5	long	5			-40.0	355.25
61	2007-12-28	1223.0	long	5			-42.5	312.75
62	2007-12-31	1214.25	long	5			-43.75	269.0
63	2008-01-01		long	5			0.0	269.0
64	2008-01-02	1248.75	long	5			172.5	441.5
65	2008-01-03	1267.5	long	5			93.75	535.25
66	2008-01-04	1262.5	long	5			-25.0	510.25
67	2008-01-07	1249.75	long	5			-63.75	446.5
68	2008-01-08	1267.0	long	5			86.25	532.75
69	2008-01-09	1262.5	long	5			-22.5	510.25
70	2008-01-10	1260.25	long	5			-11.25	499.0
71	2008-01-11	1298.75	long	5			192.5	691.5
72	2008-01-14	1296.5	long	5			-11.25	680.25
73	2008-01-15	1301.5	long	5			25.0	705.25
74	2008-01-16	1277.0	long	5			-122.5	582.75
75	2008-01-17	1271.0	long	5			-30.0	552.75
76	2008-01-18	1264.0	long	5			-35.0	517.75
77	2008-01-21		long	5			0.0	517.75
78	2008-01-22	1239.5	long	5			-122.5	395.25
79	2008-01-23	1189.5	long	5			-250.0	145.25
80	2008-01-24	1230.5	long	5			205.0	350.25
81	2008-01-25	1243.0	long	5			62.5	412.75
82	2008-01-28	1253.75	long	5			53.75	466.5
83	2008-01-29	1266.75	long	5			65.0	531.5
84	2008-01-30	1275.75	long	5			45.0	576.5
85	2008-01-31	1274.5	long	5			-6.25	570.25
86	2008-02-01	1287.25	long	5			63.75	634.0
87	2008-02-04	1326.0	long	5			193.75	827.75
88	2008-02-05	1323.0	long	5			-15.0	812.75
89	2008-02-06	1318.5	long	5			-22.5	790.25
90	2008-02-07	1331.5	long	5			65.0	855.25
91	2008-02-08	1339.0	long	4	True	1.0	37.5	892.75
92	2008-02-11	1326.0	long	3	True	2.0	-52.0	840.75
93	2008-02-12	1321.0	long	2	True	3.0	-15.0	825.75
94	2008-02-13	1328.5	long	1	True	4.0	15.0	840.75
95	2008-02-14	1368.0	long	0	True	5.0	39.5	880.25
