	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-06-08	941.0	short	1	True	1.0		
1	2015-06-09	945.0	short	2	True	2.0	-4.0	-4.0
2	2015-06-10	941.25	short	3	True	3.0	7.5	3.5
3	2015-06-11	927.5	short	4	True	4.0	41.25	44.75
4	2015-06-12	923.5	short	5	True	5.0	16.0	60.75
5	2015-06-15	924.0	short	5			-2.5	58.25
6	2015-06-16	943.5	short	5			-97.5	-39.25
7	2015-06-17	953.5	short	5			-50.0	-89.25
8	2015-06-18	954.5	short	5			-5.0	-94.25
9	2015-06-19	952.25	short	5			11.25	-83.0
10	2015-06-22	971.0	short	5			-93.75	-176.75
11	2015-06-23	968.75	short	5			11.25	-165.5
12	2015-06-24	965.75	short	5			15.0	-150.5
13	2015-06-25	982.0	short	5			-81.25	-231.75
14	2015-06-26	984.75	short	5			-13.75	-245.5
15	2015-06-29	979.5	short	5			26.25	-219.25
16	2015-06-30	1014.0	short	5			-172.5	-391.75
17	2015-07-01	1008.75	short	5			26.25	-365.5
18	2015-07-02	1012.75	short	5			-20.0	-385.5
19	2015-07-03		short	5			-0.0	-385.5
20	2015-07-06	1009.0	short	5			18.75	-366.75
21	2015-07-07	980.75	short	5			141.25	-225.5
22	2015-07-08	984.5	short	5			-18.75	-244.25
23	2015-07-09	1008.0	short	5			-117.5	-361.75
24	2015-07-10	1013.0	short	5			-25.0	-386.75
25	2015-07-13	1017.25	short	5			-21.25	-408.0
26	2015-07-14	1015.75	short	5			7.5	-400.5
27	2015-07-15	1008.75	short	5			35.0	-365.5
28	2015-07-16	1005.75	short	5			15.0	-350.5
29	2015-07-17	998.75	short	5			35.0	-315.5
30	2015-07-20	991.25	short	5			37.5	-278.0
31	2015-07-21	994.0	short	5			-13.75	-291.75
32	2015-07-22	983.75	short	5			51.25	-240.5
33	2015-07-23	972.5	short	5			56.25	-184.25
34	2015-07-24	960.5	short	5			60.0	-124.25
35	2015-07-27	934.75	short	5			128.75	4.5
36	2015-07-28	947.5	short	5			-63.75	-59.25
37	2015-07-29	946.25	short	5			6.25	-53.0
38	2015-07-30	952.75	short	5			-32.5	-85.5
39	2015-07-31	943.5	short	5			46.25	-39.25
40	2015-08-03	940.5	short	5			15.0	-24.25
41	2015-08-04	944.75	short	5			-21.25	-45.5
42	2015-08-05	950.5	short	5			-28.75	-74.25
43	2015-08-06	941.25	short	5			46.25	-28.0
44	2015-08-07	956.25	short	5			-75.0	-103.0
45	2015-08-10	984.0	short	5			-138.75	-241.75
46	2015-08-11	965.0	short	5			95.0	-146.75
47	2015-08-12	915.75	short	5			246.25	99.5
48	2015-08-13	935.0	short	5			-96.25	3.25
49	2015-08-14	924.0	short	5			55.0	58.25
50	2015-08-17	924.5	short	5			-2.5	55.75
51	2015-08-18	913.25	short	5			56.25	112.0
52	2015-08-19	904.5	short	5			43.75	155.75
53	2015-08-20	915.25	short	5			-53.75	102.0
54	2015-08-21	898.0	short	5			86.25	188.25
55	2015-08-24	883.25	short	5			73.75	262.0
56	2015-08-25	888.25	short	5			-25.0	237.0
57	2015-08-26	875.75	short	5			62.5	299.5
58	2015-08-27	891.75	short	5			-80.0	219.5
59	2015-08-28	898.5	short	5			-33.75	185.75
60	2015-08-31	900.25	short	5			-8.75	177.0
61	2015-09-01	887.5	short	5			63.75	240.75
62	2015-09-02	884.25	short	5			16.25	257.0
63	2015-09-03	879.75	short	5			22.5	279.5
64	2015-09-04	876.25	short	5			17.5	297.0
65	2015-09-07		short	5			-0.0	297.0
66	2015-09-08	889.0	short	5			-63.75	233.25
67	2015-09-09	884.25	short	5			23.75	257.0
68	2015-09-10	885.25	short	5			-5.0	252.0
69	2015-09-11	883.0	short	5			11.25	263.25
70	2015-09-14	892.75	short	5			-48.75	214.5
71	2015-09-15	898.75	short	5			-30.0	184.5
72	2015-09-16	898.75	short	5			-0.0	184.5
73	2015-09-17	898.75	short	5			-0.0	184.5
74	2015-09-18	882.75	short	5			80.0	264.5
75	2015-09-21	889.75	short	5			-35.0	229.5
76	2015-09-22	879.25	short	5			52.5	282.0
77	2015-09-23	879.75	short	5			-2.5	279.5
78	2015-09-24	884.25	short	5			-22.5	257.0
79	2015-09-25	903.75	short	5			-97.5	159.5
