	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-11-12	615.0	5	short				
1	1998-11-13	615.0	5	short			-0.0	0.0
2	1998-11-16	615.0	5	short			-0.0	0.0
3	1998-11-17	619.0	5	short			-20.0	-20.0
4	1998-11-18	618.0	5	short			5.0	-15.0
5	1998-11-19	615.0	5	short			15.0	0.0
6	1998-11-20	617.0	5	short			-10.0	-10.0
7	1998-11-23	610.0	5	short			35.0	25.0
8	1998-11-24	610.0	5	short			-0.0	25.0
9	1998-11-25	612.0	5	short			-10.0	15.0
10	1998-11-26		5	short			-0.0	15.0
11	1998-11-27	622.0	5	short			-50.0	-35.0
12	1998-11-30	631.0	5	short			-45.0	-80.0
13	1998-12-01	622.5	5	short			42.5	-37.5
14	1998-12-02	625.5	5	short			-15.0	-52.5
15	1998-12-03	620.5	5	short			25.0	-27.5
16	1998-12-04	620.5	5	short			-0.0	-27.5
17	1998-12-07	620.5	5	short			-0.0	-27.5
18	1998-12-08	616.0	5	short			22.5	-5.0
19	1998-12-09	612.0	5	short			20.0	15.0
20	1998-12-10	607.0	5	short			25.0	40.0
21	1998-12-11	604.0	5	short			15.0	55.0
22	1998-12-14	597.0	5	short			35.0	90.0
23	1998-12-15	600.25	5	short			-16.25	73.75
24	1998-12-16	599.25	5	short			5.0	78.75
25	1998-12-17	595.0	5	short			21.25	100.0
26	1998-12-18	590.75	5	short			21.25	121.25
27	1998-12-21	586.0	5	short			23.75	145.0
28	1998-12-22	583.0	5	short			15.0	160.0
29	1998-12-23	581.0	5	short			10.0	170.0
30	1998-12-24	582.0	5	short			-5.0	165.0
31	1998-12-25		5	short			-0.0	165.0
32	1998-12-28	580.0	5	short			10.0	175.0
33	1998-12-29	581.0	5	short			-5.0	170.0
34	1998-12-30	580.0	5	short			5.0	175.0
35	1998-12-31	579.0	5	short			5.0	180.0
36	1999-01-01		5	short			-0.0	180.0
37	1999-01-04	581.25	5	short			-11.25	168.75
38	1999-01-05	583.0	5	short			-8.75	160.0
39	1999-01-06	589.75	5	short			-33.75	126.25
40	1999-01-07	588.5	5	short			6.25	132.5
41	1999-01-08	594.5	5	short			-30.0	102.5
42	1999-01-11	590.0	5	short			22.5	125.0
43	1999-01-12	583.0	5	short			35.0	160.0
44	1999-01-13	580.25	5	short			13.75	173.75
45	1999-01-14	580.0	5	short			1.25	175.0
46	1999-01-15	578.5	5	short			7.5	182.5
47	1999-01-18		5	short			-0.0	182.5
48	1999-01-19	575.0	5	short			17.5	200.0
49	1999-01-20	576.0	5	short			-5.0	195.0
50	1999-01-21	577.0	5	short			-5.0	190.0
51	1999-01-22	574.0	5	short			15.0	205.0
52	1999-01-25	568.0	5	short			30.0	235.0
53	1999-01-26	566.0	5	short			10.0	245.0
54	1999-01-27	564.0	5	short			10.0	255.0
55	1999-01-28	564.5	5	short			-2.5	252.5
56	1999-01-29	563.0	5	short			7.5	260.0
57	1999-02-01	559.75	5	short			16.25	276.25
58	1999-02-02	565.0	5	short			-26.25	250.0
59	1999-02-03	561.0	5	short			20.0	270.0
60	1999-02-04	566.0	5	short			-25.0	245.0
61	1999-02-05	565.0	5	short			5.0	250.0
62	1999-02-08	562.5	5	short			12.5	262.5
63	1999-02-09	558.5	5	short			20.0	282.5
64	1999-02-10	556.5	5	short			10.0	292.5
65	1999-02-11	555.0	5	short			7.5	300.0
66	1999-02-12	553.0	5	short			10.0	310.0
67	1999-02-15		5	short			-0.0	310.0
68	1999-02-16	551.0	5	short			10.0	320.0
69	1999-02-17	552.5	5	short			-7.5	312.5
70	1999-02-18	548.0	5	short			22.5	335.0
71	1999-02-19	542.0	5	short			30.0	365.0
72	1999-02-22	537.0	5	short			25.0	390.0
73	1999-02-23	537.75	5	short			-3.75	386.25
74	1999-02-24	527.5	5	short			51.25	437.5
75	1999-02-25	528.0	5	short			-2.5	435.0
76	1999-02-26	526.0	5	short			10.0	445.0
77	1999-03-01	530.5	5	short			-22.5	422.5
78	1999-03-02	539.5	5	short			-45.0	377.5
79	1999-03-03	536.0	5	short			17.5	395.0
80	1999-03-04	536.75	5	short			-3.75	391.25
