	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-02-08	13.26	short	1	True	1.0		
1	2016-02-09	13.3	short	2	True	2.0	-0.040000000000000924	-0.040000000000000924
2	2016-02-10	13.31	short	3	True	3.0	-0.019999999999999574	-0.0600000000000005
3	2016-02-11	13.0	short	4	True	4.0	0.9300000000000015	0.870000000000001
4	2016-02-12	13.07	short	5	True	5.0	-0.28000000000000114	0.5899999999999999
5	2016-02-15		short	5			-0.0	0.5899999999999999
6	2016-02-16	13.17	short	5			-0.4999999999999982	0.09000000000000163
7	2016-02-17	13.12	short	5			0.25000000000000355	0.3400000000000052
8	2016-02-18	12.85	short	5			1.3499999999999979	1.690000000000003
9	2016-02-19	12.75	short	5			0.4999999999999982	2.1900000000000013
10	2016-02-22	12.81	short	5			-0.3000000000000025	1.8899999999999988
11	2016-02-23	13.78	short	5			-4.849999999999994	-2.9599999999999955
12	2016-02-24	13.79	short	5			-0.049999999999998934	-3.0099999999999945
13	2016-02-25	14.07	short	5			-1.4000000000000057	-4.41
14	2016-02-26	13.9	short	5			0.8499999999999996	-3.5600000000000005
15	2016-02-29	14.2	short	5			-1.4999999999999947	-5.059999999999995
16	2016-03-01	14.25	short	5			-0.25000000000000355	-5.309999999999999
17	2016-03-02	14.48	short	5			-1.1500000000000021	-6.460000000000001
18	2016-03-03	14.67	short	5			-0.9499999999999975	-7.409999999999998
19	2016-03-04	14.7	short	5			-0.1499999999999968	-7.559999999999995
20	2016-03-07	14.61	short	5			0.4499999999999993	-7.109999999999996
21	2016-03-08	14.78	short	5			-0.8499999999999996	-7.9599999999999955
22	2016-03-09	14.58	short	5			0.9999999999999964	-6.959999999999999
23	2016-03-10	14.79	short	5			-1.0499999999999954	-8.009999999999994
24	2016-03-11	15.06	short	5			-1.3500000000000068	-9.360000000000001
25	2016-03-14	15.33	short	5			-1.3499999999999979	-10.709999999999999
26	2016-03-15	15.27	short	5			0.3000000000000025	-10.409999999999997
27	2016-03-16	15.41	short	5			-0.7000000000000028	-11.11
28	2016-03-17	15.91	short	5			-2.5	-13.61
29	2016-03-18	15.91	short	5			-0.0	-13.61
30	2016-03-21	16.19	short	5			-1.4000000000000057	-15.010000000000005
31	2016-03-22	16.43	short	5			-1.1999999999999922	-16.209999999999997
32	2016-03-23	16.59	short	5			-0.8000000000000007	-17.009999999999998
33	2016-03-24	15.88	short	5			3.5499999999999954	-13.460000000000003
34	2016-03-25		short	5			-0.0	-13.460000000000003
35	2016-03-28	16.03	short	5			-0.7500000000000018	-14.210000000000004
36	2016-03-29	15.94	short	5			0.45000000000000817	-13.759999999999996
37	2016-03-30	15.96	short	5			-0.10000000000000675	-13.860000000000003
38	2016-03-31	15.45	short	5			2.550000000000008	-11.309999999999995
39	2016-04-01	15.27	short	5			0.8999999999999986	-10.409999999999997
40	2016-04-04	14.82	short	5			2.2499999999999964	-8.16
41	2016-04-05	14.79	short	5			0.15000000000000568	-8.009999999999994
42	2016-04-06	14.77	short	5			0.09999999999999787	-7.909999999999997
43	2016-04-07	14.61	short	5			0.8000000000000007	-7.109999999999996
44	2016-04-08	14.88	long	1	True	1.0		
45	2016-04-08	14.88	short	4	True	1.0	-1.3500000000000068	-8.460000000000003
46	2016-04-11	14.39	long	2	True	2.0	-0.4900000000000002	-8.950000000000003
47	2016-04-11	14.39	short	3	True	2.0	1.9600000000000009	-6.990000000000002
48	2016-04-12	14.34	long	3	True	3.0	-0.10000000000000142	-7.090000000000003
49	2016-04-12	14.34	short	2	True	3.0	0.15000000000000213	-6.940000000000001
50	2016-04-13	14.29	long	4	True	4.0	-0.15000000000000213	-7.090000000000003
51	2016-04-13	14.29	short	1	True	4.0	0.10000000000000142	-6.990000000000002
52	2016-04-14	14.37	long	5	True	5.0	0.3200000000000003	-6.670000000000002
53	2016-04-14	14.37	short	0	True	5.0	-0.08000000000000007	-6.750000000000002
54	2016-04-15	15.2	long	5			4.15	-2.6000000000000014
55	2016-04-18	15.54	long	5			1.6999999999999993	-0.9000000000000021
56	2016-04-19	15.42	long	5			-0.5999999999999961	-1.4999999999999982
57	2016-04-20	15.81	long	5			1.9500000000000028	0.4500000000000046
58	2016-04-21	15.79	long	5			-0.10000000000000675	0.34999999999999787
59	2016-04-22	15.47	long	5			-1.5999999999999925	-1.2499999999999947
60	2016-04-25	15.89	long	5			2.0999999999999996	0.850000000000005
61	2016-04-26	16.05	long	5			0.8000000000000007	1.6500000000000057
62	2016-04-27	15.84	long	5			-1.0500000000000043	0.6000000000000014
63	2016-04-28	15.71	long	5			-0.649999999999995	-0.049999999999993605
64	2016-04-29	16.32	long	5			3.049999999999997	3.0000000000000036
65	2016-05-02	16.21	long	5			-0.5499999999999972	2.4500000000000064
66	2016-05-03	16.25	long	5			0.19999999999999574	2.650000000000002
67	2016-05-04	16.65	long	5			1.999999999999993	4.649999999999995
68	2016-05-05	15.84	long	5			-4.049999999999994	0.6000000000000014
69	2016-05-06	15.74	long	5			-0.4999999999999982	0.1000000000000032
70	2016-05-09	15.88	long	5			0.7000000000000028	0.800000000000006
71	2016-05-10	16.02	long	5			0.699999999999994	1.5
72	2016-05-11	16.77	long	5			3.75	5.25
73	2016-05-12	16.98	long	5			1.0500000000000043	6.300000000000004
74	2016-05-13	16.74	long	5			-1.20000000000001	5.099999999999994
75	2016-05-16	16.89	long	5			0.7500000000000107	5.850000000000005
76	2016-05-17	16.82	long	5			-0.3500000000000014	5.5000000000000036
77	2016-05-18	16.81	long	5			-0.050000000000007816	5.449999999999996
78	2016-05-19	16.7	long	5			-0.5499999999999972	4.899999999999999
79	2016-05-20	17.07	long	5			1.850000000000005	6.7500000000000036
80	2016-05-23	16.8	long	5			-1.3499999999999979	5.400000000000006
81	2016-05-24	16.61	long	5			-0.9500000000000064	4.449999999999999
82	2016-05-25	17.16	long	5			2.7500000000000036	7.200000000000003
83	2016-05-26	17.42	long	5			1.3000000000000078	8.50000000000001
84	2016-05-27	17.52	long	5			0.49999999999998934	9.0
85	2016-05-30		long	5			0.0	9.0
