	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-04-10	17.35	short	1	True	1.0		
1	2017-04-11	17.45	short	2	True	2.0	-0.09999999999999787	-0.09999999999999787
2	2017-04-12	17.38	short	3	True	3.0	0.14000000000000057	0.0400000000000027
3	2017-04-13	17.15	short	4	True	4.0	0.6900000000000013	0.730000000000004
4	2017-04-14		short	4	True	5.0	-0.0	0.730000000000004
5	2017-04-17	17.14	short	5			0.03999999999999204	0.769999999999996
6	2017-04-18	17.45	short	5			-1.5499999999999936	-0.7799999999999976
7	2017-04-19	17.25	short	5			0.9999999999999964	0.21999999999999886
8	2017-04-20	17.13	short	5			0.600000000000005	0.8200000000000038
9	2017-04-21	17.15	short	5			-0.09999999999999787	0.720000000000006
10	2017-04-24	17.09	short	5			0.2999999999999936	1.0199999999999996
11	2017-04-25	17.06	short	5			0.15000000000000568	1.1700000000000053
12	2017-04-26	16.46	short	5			2.9999999999999893	4.169999999999995
13	2017-04-27	16.27	short	5			0.9500000000000064	5.120000000000001
14	2017-04-28	16.86	short	5			-2.9499999999999993	2.1700000000000017
15	2017-05-01	16.96	short	5			-0.5000000000000071	1.6699999999999946
16	2017-05-02	16.79	short	5			0.8500000000000085	2.520000000000003
17	2017-05-03	16.65	short	5			0.7000000000000028	3.220000000000006
18	2017-05-04	16.26	short	5			1.949999999999985	5.169999999999991
19	2017-05-05	16.21	short	5			0.25000000000000355	5.419999999999995
20	2017-05-08	16.32	short	5			-0.5499999999999972	4.869999999999997
21	2017-05-09	16.39	short	5			-0.3500000000000014	4.519999999999996
22	2017-05-10	16.72	short	5			-1.6499999999999915	2.8700000000000045
23	2017-05-11	16.55	short	5			0.8499999999999908	3.7199999999999953
24	2017-05-12	16.42	short	5			0.649999999999995	4.36999999999999
25	2017-05-15	16.47	short	5			-0.2499999999999858	4.1200000000000045
26	2017-05-16	16.71	short	5			-1.20000000000001	2.9199999999999946
27	2017-05-17	17.08	short	5			-1.8499999999999872	1.0700000000000074
28	2017-05-18	16.72	short	5			1.7999999999999972	2.8700000000000045
29	2017-05-19	17.08	short	5			-1.7999999999999972	1.0700000000000074
30	2017-05-22	17.18	short	5			-0.5000000000000071	0.5700000000000003
31	2017-05-23	16.69	short	5			2.449999999999992	3.0199999999999925
32	2017-05-24	16.52	short	5			0.8500000000000085	3.870000000000001
33	2017-05-25	16.54	short	5			-0.09999999999999787	3.770000000000003
34	2017-05-26	15.99	short	5			2.7499999999999947	6.519999999999998
35	2017-05-29		short	5			-0.0	6.519999999999998
36	2017-05-30	15.87	short	5			0.600000000000005	7.120000000000003
37	2017-05-31	15.73	short	5			0.699999999999994	7.819999999999997
38	2017-06-01	15.18	short	5			2.7500000000000036	10.57
39	2017-06-02	14.74	short	5			2.1999999999999975	12.769999999999998
40	2017-06-05	14.83	short	5			-0.4499999999999993	12.319999999999999
41	2017-06-06	14.87	short	5			-0.19999999999999574	12.120000000000003
42	2017-06-07	14.93	short	5			-0.3000000000000025	11.82
43	2017-06-08	15.13	short	4	True	1.0	-1.0000000000000053	10.819999999999995
44	2017-06-09	15.07	short	3	True	2.0	0.240000000000002	11.059999999999997
45	2017-06-12	14.86	short	2	True	3.0	0.6300000000000026	11.69
46	2017-06-13	14.66	short	1	True	4.0	0.3999999999999986	12.089999999999998
47	2017-06-14	14.54	short	0	True	5.0	0.120000000000001	12.209999999999999
48	2017-09-08	14.64	long	1	True	1.0		
49	2017-09-11	14.84	long	2	True	2.0	0.1999999999999993	12.409999999999998
50	2017-09-12	14.54	long	3	True	3.0	-0.6000000000000014	11.809999999999997
51	2017-09-13	14.8	long	4	True	4.0	0.7800000000000047	12.590000000000002
52	2017-09-14	14.85	long	5	True	5.0	0.19999999999999574	12.789999999999997
53	2017-09-15	15.17	long	5			1.6000000000000014	14.389999999999999
54	2017-09-18	14.92	long	5			-1.25	13.139999999999999
55	2017-09-19	14.37	long	5			-2.7500000000000036	10.389999999999995
56	2017-09-20	14.7	long	5			1.6500000000000004	12.039999999999996
57	2017-09-21	14.73	long	5			0.15000000000000568	12.190000000000001
58	2017-09-22	14.64	long	5			-0.4499999999999993	11.740000000000002
59	2017-09-25	14.35	long	5			-1.4500000000000046	10.289999999999997
60	2017-09-26	13.91	long	5			-2.1999999999999975	8.09
61	2017-09-27	13.83	long	5			-0.40000000000000036	7.6899999999999995
62	2017-09-28	13.95	long	5			0.5999999999999961	8.289999999999996
63	2017-09-29	14.1	long	5			0.7500000000000018	9.039999999999997
64	2017-10-02	14.31	long	5			1.0500000000000043	10.090000000000002
65	2017-10-03	14.04	long	5			-1.3500000000000068	8.739999999999995
66	2017-10-04	14.25	long	5			1.0500000000000043	9.79
67	2017-10-05	14.39	long	5			0.7000000000000028	10.490000000000002
68	2017-10-06	13.98	long	5			-2.0500000000000007	8.440000000000001
69	2017-10-09	14.0	long	5			0.09999999999999787	8.54
70	2017-10-10	14.17	long	5			0.8499999999999996	9.389999999999999
71	2017-10-11	14.3	long	5			0.6500000000000039	10.040000000000003
72	2017-10-12	14.28	long	5			-0.10000000000000675	9.939999999999996
73	2017-10-13	14.41	long	5			0.6500000000000039	10.59
74	2017-10-16	14.18	long	5			-1.1500000000000021	9.439999999999998
75	2017-10-17	14.03	long	5			-0.7500000000000018	8.689999999999996
76	2017-10-18	14.08	long	5			0.25000000000000355	8.94
77	2017-10-19	14.13	long	5			0.25000000000000355	9.190000000000003
78	2017-10-20	14.0	long	5			-0.6500000000000039	8.54
79	2017-10-23	13.88	long	5			-0.5999999999999961	7.940000000000003
80	2017-10-24	14.28	long	5			1.999999999999993	9.939999999999996
81	2017-10-25	14.18	long	5			-0.4999999999999982	9.439999999999998
82	2017-10-26	14.11	long	5			-0.3500000000000014	9.089999999999996
83	2017-10-27	14.63	long	5			2.6000000000000068	11.690000000000003
84	2017-10-30	14.73	long	5			0.4999999999999982	12.190000000000001
85	2017-10-31	14.74	long	5			0.049999999999998934	12.24
86	2017-11-01	14.61	long	5			-0.6500000000000039	11.589999999999996
87	2017-11-02	14.23	long	5			-1.899999999999995	9.690000000000001
88	2017-11-03	14.38	long	5			0.7500000000000018	10.440000000000003
89	2017-11-06	14.56	long	5			0.8999999999999986	11.340000000000002
90	2017-11-07	14.72	long	5			0.8000000000000007	12.140000000000002
91	2017-11-08	14.84	long	5			0.5999999999999961	12.739999999999998
92	2017-11-09	14.88	long	5			0.20000000000000462	12.940000000000003
93	2017-11-10	14.96	long	5			0.40000000000000036	13.340000000000003
94	2017-11-13	15.13	long	5			0.8499999999999996	14.190000000000003
95	2017-11-14	15.1	long	5			-0.15000000000000568	14.039999999999997
96	2017-11-15	15.09	long	5			-0.049999999999998934	13.989999999999998
97	2017-11-16	15.26	long	5			0.8499999999999996	14.839999999999998
98	2017-11-17	15.37	long	5			0.5499999999999972	15.389999999999995
99	2017-11-20	14.98	long	5			-1.949999999999994	13.440000000000001
100	2017-11-21	14.88	long	5			-0.4999999999999982	12.940000000000003
101	2017-11-22	15.28	long	5			1.999999999999993	14.939999999999996
102	2017-11-23		long	5			0.0	14.939999999999996
103	2017-11-24	15.45	long	5			0.8499999999999996	15.789999999999996
104	2017-11-27	15.39	long	5			-0.2999999999999936	15.490000000000002
105	2017-11-28	15.04	long	5			-1.750000000000007	13.739999999999995
106	2017-11-29	15.07	long	5			0.15000000000000568	13.89
107	2017-11-30	15.08	long	5			0.049999999999998934	13.94
108	2017-12-01	14.98	long	5			-0.4999999999999982	13.440000000000001
109	2017-12-04	15.06	long	5			0.40000000000000036	13.840000000000002
110	2017-12-05	14.9	long	5			-0.8000000000000007	13.040000000000001
111	2017-12-06	14.45	long	5			-2.2500000000000053	10.789999999999996
112	2017-12-07	14.31	long	5			-0.699999999999994	10.090000000000002
113	2017-12-08	14.05	long	5			-1.299999999999999	8.790000000000003
114	2017-12-11	13.95	long	5			-0.5000000000000071	8.289999999999996
115	2017-12-12	13.77	long	5			-0.8999999999999986	7.389999999999997
116	2017-12-13	13.85	long	5			0.40000000000000036	7.789999999999997
117	2017-12-14	13.77	long	5			-0.40000000000000036	7.389999999999997
118	2017-12-15	13.66	long	5			-0.5499999999999972	6.84
119	2017-12-18	13.76	long	5			0.4999999999999982	7.339999999999998
120	2017-12-19	14.41	long	5			3.2500000000000018	10.59
121	2017-12-20	14.57	long	5			0.8000000000000007	11.39
122	2017-12-21	14.77	long	5			0.9999999999999964	12.389999999999997
123	2017-12-22	14.6	long	5			-0.8499999999999996	11.539999999999997
124	2017-12-25		long	5			0.0	11.539999999999997
125	2017-12-26	14.7	long	5			0.4999999999999982	12.039999999999996
