	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-06-30	5.647	5	short				
1	1998-07-01	5.587	5	short			0.3000000000000025	0.3000000000000025
2	1998-07-02	5.445	5	short			0.7099999999999973	1.0099999999999998
3	1998-07-03		5	short			-0.0	1.0099999999999998
4	1998-07-06	5.453	5	short			-0.040000000000000036	0.9699999999999998
5	1998-07-07	5.53	5	short			-0.3849999999999998	0.585
6	1998-07-08	5.487	5	short			0.21500000000000075	0.8000000000000007
7	1998-07-09	5.477	5	short			0.049999999999998934	0.8499999999999996
8	1998-07-10	5.431	5	short			0.23000000000000131	1.080000000000001
9	1998-07-13	5.46	5	short			-0.14499999999999957	0.9350000000000014
10	1998-07-14	5.454	5	short			0.030000000000001137	0.9650000000000025
11	1998-07-15	5.473	5	short			-0.09500000000000064	0.8700000000000019
12	1998-07-16	5.47	5	short			0.015000000000000568	0.8850000000000025
13	1998-07-17	5.506	5	short			-0.18000000000000238	0.7050000000000001
14	1998-07-20	5.603	5	short			-0.48499999999999766	0.22000000000000242
15	1998-07-21	5.643	5	short			-0.20000000000000018	0.020000000000002238
16	1998-07-22	5.743	5	short			-0.5000000000000027	-0.4800000000000004
17	1998-07-23	5.87	5	short			-0.6349999999999989	-1.1149999999999993
18	1998-07-24	5.775	5	short			0.47499999999999876	-0.6400000000000006
19	1998-07-27	5.719	5	short			0.28000000000000025	-0.3600000000000003
20	1998-07-28	5.745	5	short			-0.129999999999999	-0.4899999999999993
21	1998-07-29	5.671	5	short			0.3699999999999992	-0.1200000000000001
22	1998-07-30	5.591	5	short			0.40000000000000036	0.28000000000000025
23	1998-07-31	5.539	5	short			0.26000000000000245	0.5400000000000027
24	1998-08-03	5.459	5	short			0.40000000000000036	0.940000000000003
25	1998-08-04	5.554	5	short			-0.4750000000000032	0.46499999999999986
26	1998-08-05	5.509	5	short			0.22499999999999964	0.6899999999999995
27	1998-08-06	5.537	5	short			-0.1399999999999979	0.5500000000000016
28	1998-08-07	5.392	5	short			0.7249999999999979	1.2749999999999995
29	1998-08-10	5.43	5	short			-0.18999999999999684	1.0850000000000026
30	1998-08-11	5.3	5	short			0.6499999999999995	1.735000000000002
31	1998-08-12	5.267	5	short			0.16499999999999737	1.8999999999999995
32	1998-08-13	5.317	5	short			-0.2499999999999991	1.6500000000000004
33	1998-08-14	5.303	5	short			0.07000000000000117	1.7200000000000015
34	1998-08-17	5.263	5	short			0.20000000000000018	1.9200000000000017
35	1998-08-18	5.216	5	short			0.23499999999999854	2.1550000000000002
36	1998-08-19	5.214	5	short			0.009999999999998899	2.164999999999999
37	1998-08-20	5.292	5	short			-0.389999999999997	1.7750000000000021
38	1998-08-21	5.314	5	short			-0.11000000000000121	1.665000000000001
39	1998-08-24	5.279	5	short			0.1750000000000007	1.8400000000000016
40	1998-08-25	5.177	5	short			0.5100000000000016	2.350000000000003
41	1998-08-26	5.137	5	short			0.20000000000000018	2.5500000000000034
42	1998-08-27	5.033	5	short			0.519999999999996	3.0699999999999994
43	1998-08-28	4.827	5	short			1.030000000000002	4.100000000000001
44	1998-08-31	4.819	5	short			0.040000000000000036	4.1400000000000015
45	1998-09-01	4.929	5	short			-0.5500000000000016	3.59
46	1998-09-02	4.979	5	short			-0.2499999999999991	3.3400000000000007
47	1998-09-03	5.088	5	short			-0.5449999999999999	2.795000000000001
48	1998-09-04	5.168	5	short			-0.40000000000000036	2.3950000000000005
49	1998-09-07		5	short			-0.0	2.3950000000000005
50	1998-09-08	5.051	5	short			0.585	2.9800000000000004
51	1998-09-09	5.098	5	short			-0.23499999999999854	2.745000000000002
52	1998-09-10	5.176	5	short			-0.39000000000000146	2.3550000000000004
53	1998-09-11	5.149	5	short			0.13500000000000068	2.490000000000001
54	1998-09-14	5.084	5	short			0.32500000000000195	2.815000000000003
55	1998-09-15	5.081	5	short			0.014999999999996128	2.829999999999999
56	1998-09-16	5.056	5	short			0.12500000000000178	2.955000000000001
57	1998-09-17	5.122	5	short			-0.3299999999999992	2.6250000000000018
58	1998-09-18	5.112	5	short			0.049999999999998934	2.6750000000000007
59	1998-09-21	4.992	5	short			0.6000000000000005	3.2750000000000012
60	1998-09-22	5.055	5	short			-0.3149999999999986	2.9600000000000026
61	1998-09-23	5.217	5	short			-0.8099999999999996	2.150000000000003
62	1998-09-24	5.319	5	short			-0.5100000000000016	1.6400000000000015
63	1998-09-25	5.333	5	short			-0.07000000000000117	1.5700000000000003
64	1998-09-28	5.44	5	short			-0.535000000000001	1.0349999999999993
65	1998-09-29	5.475	5	short			-0.17499999999999627	0.860000000000003
66	1998-09-30	5.474	5	short			0.004999999999997229	0.8650000000000002
67	1998-10-01	5.389	5	short			0.4249999999999998	1.29
68	1998-10-02	5.311	5	short			0.39000000000000146	1.6800000000000015
69	1998-10-05	5.182	5	short			0.6449999999999978	2.3249999999999993
70	1998-10-06	5.21	5	short			-0.1399999999999979	2.1850000000000014
71	1998-10-07	5.262	5	short			-0.259999999999998	1.9250000000000034
72	1998-10-08	5.123	5	short			0.6949999999999967	2.62
73	1998-10-09	4.963	5	short			0.8000000000000007	3.420000000000001
74	1998-10-12	5.016	5	short			-0.2649999999999997	3.155000000000001
75	1998-10-13	4.992	5	short			0.1200000000000001	3.2750000000000012
76	1998-10-14	4.987	5	short			0.024999999999999467	3.3000000000000007
77	1998-10-15	5.052	5	short			-0.3249999999999975	2.975000000000003
78	1998-10-16	5.095	5	short			-0.21500000000000075	2.7600000000000025
79	1998-10-19	5.045	5	short			0.2499999999999991	3.0100000000000016
80	1998-10-20	5.045	5	short			-0.0	3.0100000000000016
81	1998-10-21	5.046	5	short			-0.00500000000000167	3.005
82	1998-10-22	5.044	5	short			0.01000000000000334	3.0150000000000032
83	1998-10-23	5.039	5	short			0.024999999999999467	3.0400000000000027
84	1998-10-26	5.15	5	short			-0.5550000000000033	2.4849999999999994
85	1998-10-27	5.092	5	short			0.2900000000000036	2.775000000000003
86	1998-10-28	5.179	5	short			-0.43500000000000316	2.34
87	1998-10-29	5.209	5	short			-0.1499999999999968	2.190000000000003
88	1998-10-30	5.179	5	short			0.1499999999999968	2.34
89	1998-11-02	5.166	5	short			0.0649999999999995	2.4049999999999994
90	1998-11-03	5.065	5	short			0.5049999999999999	2.9099999999999993
91	1998-11-04	5.088	5	short			-0.11499999999999844	2.795000000000001
92	1998-11-05	5.197	5	short			-0.5449999999999999	2.250000000000001
93	1998-11-06	5.166	5	short			0.15499999999999847	2.4049999999999994
94	1998-11-09	5.192	5	short			-0.129999999999999	2.2750000000000004
95	1998-11-10	5.154	5	short			0.19000000000000128	2.4650000000000016
96	1998-11-11	5.172	5	short			-0.08999999999999897	2.3750000000000027
97	1998-11-12	5.291	5	short			-0.5950000000000033	1.7799999999999994
98	1998-11-13	5.188	5	short			0.5150000000000032	2.2950000000000026
99	1998-11-16	5.095	5	short			0.46499999999999986	2.7600000000000025
100	1998-11-17	5.099	5	short			-0.020000000000002238	2.74
101	1998-11-18	5.147	5	short			-0.2400000000000002	2.5
102	1998-11-19	5.128	5	short			0.09500000000000064	2.5950000000000006
103	1998-11-20	5.07	5	short			0.28999999999999915	2.885
104	1998-11-23	5.102	5	short			-0.16000000000000014	2.7249999999999996
105	1998-11-24	5.113	5	short			-0.055000000000000604	2.669999999999999
106	1998-11-25	5.134	5	short			-0.10499999999999954	2.5649999999999995
107	1998-11-26		5	short			-0.0	2.5649999999999995
108	1998-11-27		5	short			-0.0	2.5649999999999995
109	1998-11-30	5.055	5	short			0.3950000000000031	2.9600000000000026
110	1998-12-01	5.07	5	short			-0.07500000000000284	2.885
111	1998-12-02	4.875	5	short			0.9750000000000014	3.860000000000001
112	1998-12-03	4.95	5	short			-0.3750000000000009	3.4850000000000003
113	1998-12-04	4.94	5	short			0.049999999999998934	3.5349999999999993
114	1998-12-07	4.957	5	short			-0.0849999999999973	3.450000000000002
115	1998-12-08	4.948	5	short			0.044999999999997264	3.494999999999999
116	1998-12-09	4.929	5	short			0.09500000000000064	3.59
117	1998-12-10	4.948	5	short			-0.09500000000000064	3.494999999999999
118	1998-12-11	4.945	5	short			0.015000000000000568	3.51
119	1998-12-14	5.035	5	short			-0.4499999999999993	3.0600000000000005
120	1998-12-15	5.035	5	short			-0.0	3.0600000000000005
121	1998-12-16	5.218	5	short			-0.9149999999999991	2.1450000000000014
122	1998-12-17	5.103	5	short			0.5750000000000011	2.7200000000000024
123	1998-12-18	5.09	5	short			0.0649999999999995	2.785000000000002
124	1998-12-21	5.05	5	short			0.20000000000000018	2.985000000000002
125	1998-12-22	5.063	5	short			-0.0649999999999995	2.9200000000000026
126	1998-12-23	5.048	5	short			0.0749999999999984	2.995000000000001
127	1998-12-24	5.075	5	short			-0.13500000000000068	2.8600000000000003
128	1998-12-25		5	short			-0.0	2.8600000000000003
129	1998-12-28	5.08	5	short			-0.024999999999999467	2.835000000000001
130	1998-12-29	5.169	5	short			-0.4449999999999976	2.3900000000000032
131	1998-12-30	5.17	5	short			-0.00500000000000167	2.3850000000000016
132	1998-12-31	5.155	5	short			0.0749999999999984	2.46
133	1999-01-01		5	short			-0.0	2.46
134	1999-01-04	5.076	5	short			0.3950000000000031	2.855000000000003
135	1999-01-05	5.174	5	short			-0.49000000000000377	2.3649999999999993
136	1999-01-06	5.291	5	short			-0.585	1.7799999999999994
137	1999-01-07	5.373	5	short			-0.40999999999999925	1.37
138	1999-01-08	5.426	5	short			-0.2649999999999997	1.1050000000000004
139	1999-01-11	5.497	5	short			-0.35499999999999865	0.7500000000000018
140	1999-01-12	5.389	5	short			0.5399999999999983	1.29
