	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-02-09	6.456	short	1	True	1.0		
1	2004-02-10	6.419	short	2	True	2.0	0.03700000000000081	0.03700000000000081
2	2004-02-11	6.59	short	3	True	3.0	-0.3420000000000005	-0.3049999999999997
3	2004-02-12	6.651	short	4	True	4.0	-0.18299999999999983	-0.48799999999999955
4	2004-02-13	6.613	short	5	True	5.0	0.15199999999999747	-0.3360000000000021
5	2004-02-16		short	5			-0.0	-0.3360000000000021
6	2004-02-17	6.812	short	5			-0.9949999999999992	-1.3310000000000013
7	2004-02-18	6.732	short	5			0.40000000000000036	-0.9310000000000009
8	2004-02-19	6.691	short	5			0.20500000000000185	-0.7259999999999991
9	2004-02-20	6.564	short	5			0.6349999999999989	-0.09100000000000019
10	2004-02-23	6.522	short	5			0.20999999999999908	0.11899999999999888
11	2004-02-24	6.653	short	5			-0.6549999999999967	-0.5359999999999978
12	2004-02-25	6.566	short	5			0.4349999999999987	-0.10099999999999909
13	2004-02-26	6.742	short	5			-0.8800000000000008	-0.9809999999999999
14	2004-02-27	6.728	short	5			0.07000000000000117	-0.9109999999999987
15	2004-03-01	6.956	short	5			-1.1400000000000032	-2.051000000000002
16	2004-03-02	6.736	short	5			1.1000000000000032	-0.9509999999999987
17	2004-03-03	6.762	short	5			-0.129999999999999	-1.0809999999999977
18	2004-03-04	6.778	short	5			-0.08000000000000007	-1.1609999999999978
19	2004-03-05	7.001	short	5			-1.1150000000000038	-2.2760000000000016
20	2004-03-08	7.001	short	5			-0.0	-2.2760000000000016
21	2004-03-09	7.19	short	5			-0.9450000000000003	-3.221000000000002
22	2004-03-10	7.195	short	5			-0.024999999999999467	-3.2460000000000013
23	2004-03-11	7.203	short	5			-0.040000000000000036	-3.2860000000000014
24	2004-03-12	7.073	short	5			0.6499999999999995	-2.636000000000002
25	2004-03-15	7.149	short	5			-0.3799999999999981	-3.016
26	2004-03-16	7.176	short	5			-0.13500000000000068	-3.1510000000000007
27	2004-03-17	7.269	short	5			-0.46499999999999986	-3.6160000000000005
28	2004-03-18	7.473	short	5			-1.0199999999999987	-4.635999999999999
29	2004-03-19	7.572	short	5			-0.495000000000001	-5.131
30	2004-03-22	7.637	short	5			-0.3249999999999975	-5.455999999999998
31	2004-03-23	7.717	short	5			-0.40000000000000036	-5.855999999999998
32	2004-03-24	7.659	short	5			0.28999999999999915	-5.565999999999999
33	2004-03-25	7.612	short	5			0.23499999999999854	-5.331
34	2004-03-26	7.727	short	5			-0.5750000000000011	-5.9060000000000015
35	2004-03-29	7.635	short	5			0.46000000000000263	-5.445999999999999
36	2004-03-30	7.786	short	5			-0.754999999999999	-6.200999999999998
37	2004-03-31	7.956	short	5			-0.8500000000000041	-7.051000000000002
38	2004-04-01	8.159	short	5			-1.0150000000000015	-8.066000000000003
39	2004-04-02	8.167	short	5			-0.039999999999995595	-8.105999999999998
40	2004-04-05	8.131	short	5			0.17999999999999794	-7.926
41	2004-04-06	8.235	short	5			-0.519999999999996	-8.445999999999996
42	2004-04-07	8.207	short	5			0.13999999999999346	-8.306000000000003
43	2004-04-08	8.107	long	1	True	1.0		
44	2004-04-08	8.107	short	4	True	1.0	0.5000000000000071	-7.805999999999996
45	2004-04-09		long	4	True	2.0	0.0	-7.805999999999996
46	2004-04-09		short	4	True	2.0	-0.0	-7.805999999999996
47	2004-04-12	8.047	long	3	True	3.0	-0.23999999999999488	-8.04599999999999
48	2004-04-12	8.047	short	2	True	3.0	0.23999999999999488	-7.805999999999996
49	2004-04-13	7.468	long	4	True	4.0	-1.7370000000000019	-9.542999999999997
50	2004-04-13	7.468	short	1	True	4.0	1.1580000000000013	-8.384999999999996
51	2004-04-14	7.023	long	5	True	5.0	-1.7800000000000011	-10.164999999999997
