,Due,Future,Month,Pair
0,2000-02-29,SIH00,H,SIN00
1,2000-04-28,SIK00,K,SIU00
2,2000-06-30,SIN00,N,SIZ00
3,2000-08-31,SIU00,U,SIH01
4,2000-11-30,SIZ00,Z,SIK01
5,2001-02-28,SIH01,H,SIN01
6,2001-04-30,SIK01,K,SIU01
7,2001-06-29,SIN01,N,SIZ01
8,2001-08-31,SIU01,U,SIH02
9,2001-11-30,SIZ01,Z,SIK02
10,2002-02-28,SIH02,H,SIN02
11,2002-04-30,SIK02,K,SIU02
12,2002-06-28,SIN02,N,SIZ02
13,2002-08-30,SIU02,U,SIH03
14,2002-11-27,SIZ02,Z,SIK03
15,2003-02-28,SIH03,H,SIN03
16,2003-04-30,SIK03,K,SIU03
17,2003-06-30,SIN03,N,SIZ03
18,2003-08-29,SIU03,U,SIH04
19,2003-11-26,SIZ03,Z,SIK04
20,2004-02-27,SIH04,H,SIN04
21,2004-04-30,SIK04,K,SIU04
22,2004-06-30,SIN04,N,SIZ04
23,2004-08-31,SIU04,U,SIH05
24,2004-11-30,SIZ04,Z,SIK05
25,2005-02-28,SIH05,H,SIN05
26,2005-04-29,SIK05,K,SIU05
27,2005-06-30,SIN05,N,SIZ05
28,2005-08-31,SIU05,U,SIH06
29,2005-11-30,SIZ05,Z,SIK06
30,2006-02-28,SIH06,H,SIN06
31,2006-04-28,SIK06,K,SIU06
32,2006-06-30,SIN06,N,SIZ06
33,2006-08-31,SIU06,U,SIH07
34,2006-11-30,SIZ06,Z,SIK07
35,2007-02-28,SIH07,H,SIN07
36,2007-04-30,SIK07,K,SIU07
37,2007-06-29,SIN07,N,SIZ07
38,2007-08-31,SIU07,U,SIH08
39,2007-11-30,SIZ07,Z,SIK08
40,2008-02-29,SIH08,H,SIN08
41,2008-04-30,SIK08,K,SIU08
42,2008-06-30,SIN08,N,SIZ08
43,2008-08-29,SIU08,U,SIH09
44,2008-11-28,SIZ08,Z,SIK09
45,2009-02-27,SIH09,H,SIN09
46,2009-04-30,SIK09,K,SIU09
47,2009-06-30,SIN09,N,SIZ09
48,2009-08-31,SIU09,U,SIH10
49,2009-11-30,SIZ09,Z,SIK10
50,2010-02-26,SIH10,H,SIN10
51,2010-04-30,SIK10,K,SIU10
52,2010-06-30,SIN10,N,SIZ10
53,2010-08-31,SIU10,U,SIH11
54,2010-11-30,SIZ10,Z,SIK11
55,2011-02-28,SIH11,H,SIN11
56,2011-04-29,SIK11,K,SIU11
57,2011-06-30,SIN11,N,SIZ11
58,2011-08-31,SIU11,U,SIH12
59,2011-11-30,SIZ11,Z,SIK12
60,2012-02-29,SIH12,H,SIN12
61,2012-04-30,SIK12,K,SIU12
62,2012-06-29,SIN12,N,SIZ12
63,2012-08-31,SIU12,U,SIH13
64,2012-11-30,SIZ12,Z,SIK13
65,2013-02-28,SIH13,H,SIN13
66,2013-04-30,SIK13,K,SIU13
67,2013-06-28,SIN13,N,SIZ13
68,2013-08-30,SIU13,U,SIH14
69,2013-11-29,SIZ13,Z,SIK14
70,2014-02-28,SIH14,H,SIN14
71,2014-04-30,SIK14,K,SIU14
72,2014-06-30,SIN14,N,SIZ14
73,2014-08-29,SIU14,U,SIH15
74,2014-11-28,SIZ14,Z,SIK15
75,2015-02-27,SIH15,H,SIN15
76,2015-04-30,SIK15,K,SIU15
77,2015-06-30,SIN15,N,SIZ15
78,2015-08-31,SIU15,U,SIH16
79,2015-11-30,SIZ15,Z,SIK16
80,2016-02-29,SIH16,H,SIN16
81,2016-04-29,SIK16,K,SIU16
82,2016-06-30,SIN16,N,SIZ16
83,2016-08-31,SIU16,U,SIH17
84,2016-11-30,SIZ16,Z,SIK17
85,2017-02-28,SIH17,H,SIN17
86,2017-04-28,SIK17,K,SIU17
87,2017-06-30,SIN17,N,SIZ17
88,2017-08-31,SIU17,U,SIH18
89,2017-11-30,SIZ17,Z,SIK18
90,2018-02-28,SIH18,H,SIN18
91,2018-04-30,SIK18,K,SIU18
92,2018-06-29,SIN18,N,SIZ18
93,2018-08-31,SIU18,U,SIH19
94,2018-11-30,SIZ18,Z,SIK19
95,2019-02-28,SIH19,H,SIN19
96,2019-04-30,SIK19,K,SIU19
97,2019-06-28,SIN19,N,SIZ19
98,2019-08-30,SIU19,U,SIH20
99,2019-11-29,SIZ19,Z,SIK20
100,2020-02-28,SIH20,H,SIN20
101,2020-04-30,SIK20,K,SIU20
102,2020-06-30,SIN20,N,SIZ20
103,2020-08-31,SIU20,U,SIH21
104,2020-11-30,SIZ20,Z,SIK21
105,2021-02-26,SIH21,H,SIN21
106,2021-04-30,SIK21,K,SIU21
107,2021-06-30,SIN21,N,SIZ21
108,2021-08-31,SIU21,U,SIH22
109,2021-11-30,SIZ21,Z,SIK22
110,2022-02-28,SIH22,H,SIN22
111,2022-04-29,SIK22,K,SIU22
112,2022-06-30,SIN22,N,SIZ22
113,2022-08-31,SIU22,U,SIH23
114,2022-11-30,SIZ22,Z,SIK23
115,2023-02-28,SIH23,H,SIN23
116,2023-04-28,SIK23,K,SIU23
117,2023-06-30,SIN23,N,SIZ23
118,2023-08-31,SIU23,U,SIZ23
