	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-06-09	17.596	short	1	True	1.0		
1	2008-06-10	17.028	short	2	True	2.0	0.5680000000000014	0.5680000000000014
2	2008-06-11	17.248	short	3	True	3.0	-0.44000000000000483	0.12799999999999656
3	2008-06-12	16.878	short	4	True	4.0	1.110000000000003	1.2379999999999995
4	2008-06-13	16.952	short	5	True	5.0	-0.2960000000000065	0.9419999999999931
5	2008-06-16	17.637	short	5			-3.4249999999999936	-2.4830000000000005
6	2008-06-17	17.475	short	5			0.8099999999999952	-1.6730000000000054
7	2008-06-18	17.743	short	5			-1.3399999999999856	-3.012999999999991
8	2008-06-19	17.877	short	5			-0.6700000000000017	-3.6829999999999927
9	2008-06-20	17.804	short	5			0.365000000000002	-3.3179999999999907
10	2008-06-23	17.194	short	5			3.049999999999997	-0.2679999999999936
11	2008-06-24	17.035	short	5			0.7949999999999946	0.527000000000001
12	2008-06-25	16.903	short	5			0.6600000000000072	1.1870000000000083
13	2008-06-26	17.511	short	5			-3.0400000000000027	-1.8529999999999944
14	2008-06-27	18.001	short	5			-2.45000000000001	-4.303000000000004
15	2008-06-30	17.798	short	5			1.0150000000000148	-3.2879999999999896
16	2008-07-01	18.583	short	5			-3.9250000000000007	-7.21299999999999
17	2008-07-02	18.719	short	5			-0.6800000000000139	-7.893000000000004
18	2008-07-03	18.661	short	5			0.28999999999999915	-7.603000000000005
19	2008-07-04		short	5			-0.0	-7.603000000000005
20	2008-07-07	18.207	short	5			2.270000000000003	-5.333000000000002
21	2008-07-08	18.243	short	5			-0.17999999999998906	-5.512999999999991
22	2008-07-09	18.469	short	5			-1.1300000000000132	-6.643000000000004
23	2008-07-10	18.616	short	5			-0.7349999999999923	-7.377999999999997
24	2008-07-11	19.124	short	5			-2.5399999999999956	-9.917999999999992
25	2008-07-14	19.557	short	5			-2.164999999999999	-12.082999999999991
26	2008-07-15	19.317	short	5			1.1999999999999922	-10.883
27	2008-07-16	19.108	short	5			1.0449999999999982	-9.838000000000001
28	2008-07-17	19.047	short	5			0.3049999999999997	-9.533000000000001
29	2008-07-18	18.508	short	5			2.6950000000000074	-6.837999999999994
30	2008-07-21	18.742	short	5			-1.1700000000000088	-8.008000000000003
31	2008-07-22	18.321	short	5			2.104999999999997	-5.903000000000006
32	2008-07-23	17.77	short	5			2.7550000000000097	-3.147999999999996
33	2008-07-24	17.606	short	5			0.8199999999999896	-2.3280000000000065
34	2008-07-25	17.683	short	5			-0.3849999999999909	-2.7129999999999974
35	2008-07-28	17.77	short	5			-0.4349999999999987	-3.147999999999996
36	2008-07-29	17.678	short	5			0.45999999999999375	-2.6880000000000024
37	2008-07-30	17.763	short	5			-0.42500000000000426	-3.1130000000000067
38	2008-07-31	18.087	short	5			-1.6199999999999903	-4.732999999999997
39	2008-08-01	17.815	short	5			1.3599999999999923	-3.3730000000000047
40	2008-08-04	17.43	short	5			1.9250000000000078	-1.4479999999999968
41	2008-08-05	16.855	short	5			2.8749999999999964	1.4269999999999996
42	2008-08-06	16.785	short	5			0.3500000000000014	1.777000000000001
43	2008-08-07	16.535	short	5			1.25	3.027000000000001
44	2008-08-08	15.597	short	4	True	1.0	4.690000000000003	7.717000000000004
45	2008-08-11	14.878	short	3	True	2.0	2.8759999999999977	10.593000000000002
46	2008-08-12	14.738	short	2	True	3.0	0.4200000000000017	11.013000000000003
47	2008-08-13	15.106	short	1	True	4.0	-0.7360000000000007	10.277000000000003
48	2008-08-14	14.486	short	0	True	5.0	0.6199999999999992	10.897000000000002
49	2008-11-10	10.264	long	1	True	1.0		
50	2008-11-11	9.844	long	2	True	2.0	-0.41999999999999993	10.477000000000002
51	2008-11-12	9.519	long	3	True	3.0	-0.6499999999999986	9.827000000000004
52	2008-11-13	8.828	long	4	True	4.0	-2.073000000000002	7.754000000000001
53	2008-11-14	9.528	long	5	True	5.0	2.8000000000000043	10.554000000000006
54	2008-11-17	9.365	long	5			-0.8150000000000013	9.739000000000004
55	2008-11-18	9.579	long	5			1.070000000000002	10.809000000000006
56	2008-11-19	9.338	long	5			-1.2050000000000072	9.604
57	2008-11-20	9.049	long	5			-1.4449999999999985	8.159
58	2008-11-21	9.505	long	5			2.2800000000000065	10.439000000000007
59	2008-11-24	10.378	long	5			4.364999999999997	14.804000000000004
60	2008-11-25	10.305	long	5			-0.365000000000002	14.439000000000002
61	2008-11-26	10.269	long	5			-0.17999999999999794	14.259000000000004
62	2008-11-27		long	5			0.0	14.259000000000004
63	2008-11-28	10.23	long	5			-0.1949999999999985	14.064000000000005
64	2008-12-01	9.38	long	5			-4.249999999999998	9.814000000000007
65	2008-12-02	9.615	long	5			1.1749999999999972	10.989000000000004
66	2008-12-03	9.59	long	5			-0.12500000000000178	10.864000000000003
67	2008-12-04	9.52	long	5			-0.3500000000000014	10.514000000000001
68	2008-12-05	9.43	long	5			-0.4499999999999993	10.064000000000002
69	2008-12-08	9.975	long	5			2.7249999999999996	12.789000000000001
70	2008-12-09	9.85	long	5			-0.625	12.164000000000001
71	2008-12-10	10.2	long	5			1.7499999999999982	13.914
72	2008-12-11	10.425	long	5			1.125000000000007	15.039000000000007
73	2008-12-12	10.23	long	5			-0.9750000000000014	14.064000000000005
74	2008-12-15	10.62	long	5			1.949999999999994	16.014
75	2008-12-16	10.705	long	5			0.42500000000000426	16.439000000000004
76	2008-12-17	11.42	long	5			3.5749999999999993	20.014000000000003
77	2008-12-18	11.12	long	5			-1.5000000000000036	18.514
78	2008-12-19	10.85	long	5			-1.3499999999999979	17.164
79	2008-12-22	10.86	long	5			0.049999999999998934	17.214
80	2008-12-23	10.26	long	5			-2.9999999999999982	14.214
81	2008-12-24	10.35	long	5			0.4499999999999993	14.664
82	2008-12-25		long	5			0.0	14.664
83	2008-12-26	10.53	long	5			0.8999999999999986	15.563999999999998
84	2008-12-29	10.81	long	5			1.4000000000000057	16.964000000000006
85	2008-12-30	10.98	long	5			0.8499999999999996	17.814000000000007
86	2008-12-31	11.295	long	5			1.5749999999999975	19.389000000000003
87	2009-01-01		long	5			0.0	19.389000000000003
88	2009-01-02	11.49	long	5			0.9750000000000014	20.364000000000004
89	2009-01-05	11.27	long	5			-1.1000000000000032	19.264000000000003
90	2009-01-06	11.445	long	5			0.8750000000000036	20.139000000000006
91	2009-01-07	11.105	long	5			-1.6999999999999993	18.439000000000007
92	2009-01-08	11.097	long	5			-0.040000000000004476	18.399
93	2009-01-09	11.32	long	5			1.1150000000000038	19.514000000000003
94	2009-01-12	10.75	long	5			-2.8500000000000014	16.664
95	2009-01-13	10.68	long	5			-0.3500000000000014	16.314
96	2009-01-14	10.475	long	5			-1.0250000000000004	15.289
97	2009-01-15	10.44	long	5			-0.1750000000000007	15.113999999999999
98	2009-01-16	11.215	long	5			3.8750000000000018	18.989
99	2009-01-19		long	5			0.0	18.989
100	2009-01-20	11.175	long	5			-0.19999999999999574	18.789000000000005
101	2009-01-21	11.325	long	5			0.7499999999999929	19.538999999999998
102	2009-01-22	11.365	long	5			0.20000000000000462	19.739000000000004
103	2009-01-23	11.94	long	5			2.8749999999999964	22.614
104	2009-01-26	12.11	long	5			0.8499999999999996	23.464
105	2009-01-27	12.175	long	5			0.3250000000000064	23.789000000000005
