	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-06-08	13.635	short	1	True	1.0		
1	2007-06-11	13.877	short	2	True	2.0	-0.24200000000000088	-0.24200000000000088
2	2007-06-12	13.689	short	3	True	3.0	0.3760000000000012	0.13400000000000034
3	2007-06-13	13.657	short	4	True	4.0	0.09600000000000009	0.23000000000000043
4	2007-06-14	13.769	short	5	True	5.0	-0.4480000000000004	-0.21799999999999997
5	2007-06-15	13.863	short	5			-0.4699999999999971	-0.6879999999999971
6	2007-06-18	13.839	short	5			0.11999999999999567	-0.5680000000000014
7	2007-06-19	13.928	short	5			-0.44500000000000206	-1.0130000000000035
8	2007-06-20	13.853	short	5			0.37500000000000533	-0.6379999999999981
9	2007-06-21	13.683	short	5			0.8499999999999996	0.21200000000000152
10	2007-06-22	13.616	short	5			0.33500000000000085	0.5470000000000024
11	2007-06-25	13.47	short	5			0.7299999999999951	1.2769999999999975
12	2007-06-26	12.847	short	5			3.1150000000000055	4.392000000000003
13	2007-06-27	12.77	short	5			0.3849999999999998	4.777000000000003
14	2007-06-28	12.956	short	5			-0.9299999999999997	3.847000000000003
15	2007-06-29	12.927	short	5			0.14499999999999957	3.9920000000000027
16	2007-07-02	13.197	short	5			-1.3499999999999979	2.642000000000005
17	2007-07-03	13.14	short	5			0.28499999999999304	2.926999999999998
18	2007-07-04		short	5			-0.0	2.926999999999998
19	2007-07-05	13.034	short	5			0.5299999999999994	3.456999999999997
20	2007-07-06	13.216	short	5			-0.909999999999993	2.547000000000004
21	2007-07-09	13.283	short	5			-0.33500000000000085	2.2120000000000033
22	2007-07-10	13.44	short	5			-0.7850000000000001	1.4270000000000032
23	2007-07-11	13.437	short	5			0.015000000000000568	1.4420000000000037
24	2007-07-12	13.644	short	5			-1.0350000000000037	0.40700000000000003
25	2007-07-13	13.572	short	5			0.36000000000000476	0.7670000000000048
26	2007-07-16	13.523	short	5			0.24499999999999744	1.0120000000000022
27	2007-07-17	13.476	short	5			0.2349999999999941	1.2469999999999963
28	2007-07-18	13.752	short	5			-1.379999999999999	-0.13300000000000267
29	2007-07-19	13.838	short	5			-0.4299999999999926	-0.5629999999999953
30	2007-07-20	13.868	short	5			-0.15000000000000568	-0.713000000000001
31	2007-07-23	13.797	short	5			0.35499999999999865	-0.3580000000000023
32	2007-07-24	13.913	short	5			-0.5799999999999983	-0.9380000000000006
33	2007-07-25	13.612	short	5			1.5050000000000008	0.5670000000000002
34	2007-07-26	13.403	short	5			1.0449999999999982	1.6119999999999983
35	2007-07-27	13.161	short	5			1.2100000000000044	2.8220000000000027
36	2007-07-30	13.353	short	5			-0.9600000000000009	1.8620000000000019
37	2007-07-31	13.475	short	5			-0.6099999999999994	1.2520000000000024
38	2007-08-01	13.414	short	5			0.3049999999999997	1.5570000000000022
39	2007-08-02	13.457	short	5			-0.2150000000000052	1.341999999999997
40	2007-08-03	13.624	short	5			-0.8349999999999991	0.5069999999999979
41	2007-08-06	13.495	short	5			0.6450000000000067	1.1520000000000046
42	2007-08-07	13.562	short	5			-0.33500000000000085	0.8170000000000037
43	2007-08-08	13.643	short	4	True	1.0	-0.40500000000000647	0.41199999999999726
44	2007-08-09	13.16	short	3	True	2.0	1.9320000000000022	2.3439999999999994
45	2007-08-10	13.33	short	2	True	3.0	-0.5099999999999998	1.8339999999999996
46	2007-08-13	13.318	short	1	True	4.0	0.02400000000000091	1.8580000000000005
47	2007-08-14	13.211	short	0	True	5.0	0.10699999999999932	1.9649999999999999
48	2008-02-08	17.208	long	1	True	1.0		
49	2008-02-11	17.571	long	2	True	2.0	0.3630000000000031	2.328000000000003
50	2008-02-12	17.35	long	3	True	3.0	-0.44200000000000017	1.8860000000000028
51	2008-02-13	17.454	long	4	True	4.0	0.3119999999999976	2.1980000000000004
52	2008-02-14	17.356	long	5	True	5.0	-0.3919999999999959	1.8060000000000045
53	2008-02-15	17.22	long	5			-0.6800000000000139	1.1259999999999906
54	2008-02-18		long	5			0.0	1.1259999999999906
55	2008-02-19	17.613	long	5			1.9650000000000034	3.090999999999994
56	2008-02-20	17.867	long	5			1.2700000000000067	4.361000000000001
57	2008-02-21	18.06	long	5			0.9649999999999892	5.32599999999999
