	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-08-09	18.431	short	1	True	1.0		
1	2010-08-10	18.347	short	2	True	2.0	0.08399999999999963	0.08399999999999963
2	2010-08-11	18.081	short	3	True	3.0	0.5320000000000036	0.6160000000000032
3	2010-08-12	18.255	short	4	True	4.0	-0.5219999999999985	0.09400000000000475
4	2010-08-13	18.303	short	5	True	5.0	-0.19200000000000728	-0.09800000000000253
5	2010-08-16	18.621	short	5			-1.5899999999999892	-1.6879999999999917
6	2010-08-17	18.788	short	5			-0.835000000000008	-2.5229999999999997
7	2010-08-18	18.587	short	5			1.0050000000000026	-1.5179999999999971
8	2010-08-19	18.509	short	5			0.389999999999997	-1.1280000000000001
9	2010-08-20	18.167	short	5			1.7099999999999937	0.5819999999999936
10	2010-08-23	18.168	short	5			-0.004999999999988347	0.5770000000000053
11	2010-08-24	18.556	short	5			-1.9400000000000084	-1.363000000000003
12	2010-08-25	19.222	short	5			-3.330000000000002	-4.693000000000005
13	2010-08-26	19.166	short	5			0.2800000000000047	-4.413
14	2010-08-27	19.224	short	5			-0.28999999999999915	-4.702999999999999
15	2010-08-30	19.217	short	5			0.03500000000000725	-4.667999999999992
16	2010-08-31	19.572	short	5			-1.7750000000000021	-6.442999999999994
17	2010-09-01	19.533	short	5			0.19499999999998963	-6.248000000000005
18	2010-09-02	19.813	short	5			-1.399999999999988	-7.647999999999993
19	2010-09-03	20.094	short	5			-1.4050000000000118	-9.053000000000004
20	2010-09-06		short	5			-0.0	-9.053000000000004
21	2010-09-07	20.054	short	5			0.2000000000000135	-8.85299999999999
22	2010-09-08	20.156	short	5			-0.5100000000000016	-9.362999999999992
23	2010-09-09	20.007	short	5			0.7449999999999868	-8.618000000000006
24	2010-09-10	20.001	short	5			0.030000000000001137	-8.588000000000005
25	2010-09-13	20.302	short	5			-1.504999999999992	-10.092999999999996
26	2010-09-14	20.578	short	5			-1.379999999999999	-11.472999999999995
27	2010-09-15	20.719	short	5			-0.705000000000009	-12.178000000000004
28	2010-09-16	20.921	short	5			-1.009999999999991	-13.187999999999995
29	2010-09-17	20.969	short	5			-0.2400000000000091	-13.428000000000004
30	2010-09-20	20.955	short	5			0.0700000000000145	-13.35799999999999
31	2010-09-21	20.789	short	5			0.8299999999999841	-12.528000000000006
32	2010-09-22	21.206	short	5			-2.08499999999999	-14.612999999999996
33	2010-09-23	21.37	short	5			-0.8200000000000074	-15.433000000000003
34	2010-09-24	21.56	short	5			-0.9499999999999886	-16.382999999999992
35	2010-09-27	21.631	short	5			-0.35500000000000753	-16.738
36	2010-09-28	21.866	short	5			-1.1749999999999972	-17.912999999999997
37	2010-09-29	22.116	short	5			-1.25	-19.162999999999997
38	2010-09-30	21.982	short	5			0.6700000000000017	-18.492999999999995
39	2010-10-01	22.23	short	5			-1.2400000000000055	-19.733
40	2010-10-04	22.202	short	5			0.13999999999999346	-19.593000000000007
41	2010-10-05	22.906	short	5			-3.5199999999999854	-23.112999999999992
42	2010-10-06	23.21	short	5			-1.5200000000000102	-24.633000000000003
43	2010-10-07	22.744	short	5			2.3300000000000054	-22.302999999999997
44	2010-10-08	23.269	short	5			-2.624999999999993	-24.92799999999999
45	2010-10-11	23.519	short	5			-1.25	-26.17799999999999
46	2010-10-12	23.315	short	5			1.0199999999999854	-25.158000000000005
47	2010-10-13	24.106	short	5			-3.955000000000002	-29.113000000000007
48	2010-10-14	24.616	short	5			-2.54999999999999	-31.662999999999997
49	2010-10-15	24.471	short	5			0.7249999999999979	-30.938
50	2010-10-18	24.596	short	5			-0.625	-31.563
51	2010-10-19	23.959	short	5			3.1850000000000023	-28.377999999999997
52	2010-10-20	24.041	short	5			-0.4100000000000037	-28.788
53	2010-10-21	23.312	short	5			3.644999999999996	-25.143000000000004
54	2010-10-22	23.292	short	5			0.09999999999999787	-25.043000000000006
55	2010-10-25	23.723	short	5			-2.154999999999987	-27.197999999999993
56	2010-10-26	24.018	short	5			-1.4750000000000085	-28.673000000000002
57	2010-10-27	23.591	short	5			2.134999999999998	-26.538000000000004
58	2010-10-28	24.061	short	5			-2.3499999999999943	-28.887999999999998
59	2010-10-29	24.755	short	5			-3.4699999999999953	-32.35799999999999
60	2010-11-01	24.747	short	5			0.039999999999995595	-32.318
61	2010-11-02	25.042	short	5			-1.4750000000000085	-33.793000000000006
62	2010-11-03	24.641	short	5			2.0050000000000168	-31.78799999999999
63	2010-11-04	26.258	short	5			-8.085000000000004	-39.87299999999999
64	2010-11-05	26.992	short	5			-3.670000000000009	-43.543
65	2010-11-08	27.702	short	4	True	1.0	-3.5500000000000043	-47.093
66	2010-11-09	29.2	short	3	True	2.0	-5.99199999999999	-53.084999999999994
67	2010-11-10	27.145	short	2	True	3.0	6.164999999999999	-46.919999999999995
68	2010-11-11	27.7	short	1	True	4.0	-1.1099999999999994	-48.029999999999994
69	2010-11-12	26.211	short	0	True	5.0	1.4890000000000008	-46.541
70	2011-08-08	39.413	long	1	True	1.0		
71	2011-08-09	37.918	long	2	True	2.0	-1.4949999999999974	-48.035999999999994
72	2011-08-10	39.362	long	3	True	3.0	2.8880000000000052	-45.14799999999999
73	2011-08-11	38.704	long	4	True	4.0	-1.9740000000000038	-47.12199999999999
74	2011-08-12	39.147	long	5	True	5.0	1.7719999999999914	-45.35
75	2011-08-15	39.337	long	5			0.9500000000000242	-44.39999999999998
76	2011-08-16	39.848	long	5			2.5549999999999784	-41.845
77	2011-08-17	40.378	long	5			2.6500000000000057	-39.19499999999999
78	2011-08-18	40.716	long	5			1.6900000000000048	-37.50499999999999
79	2011-08-19	42.467	long	5			8.754999999999988	-28.75
80	2011-08-22	43.365	long	5			4.490000000000016	-24.259999999999984
81	2011-08-23	42.33	long	5			-5.1750000000000185	-29.435000000000002
82	2011-08-24	39.201	long	5			-15.644999999999989	-45.07999999999999
83	2011-08-25	40.793	long	5			7.959999999999994	-37.12
84	2011-08-26	41.001	long	5			1.039999999999992	-36.080000000000005
85	2011-08-29	40.601	long	5			-1.999999999999993	-38.08
86	2011-08-30	41.464	long	5			4.314999999999998	-33.765
87	2011-08-31	41.768	long	5			1.5200000000000102	-32.24499999999999
88	2011-09-01	41.532	long	5			-1.180000000000021	-33.42500000000001
89	2011-09-02	43.069	long	5			7.685000000000031	-25.73999999999998
90	2011-09-05		long	5			0.0	-25.73999999999998
91	2011-09-06	41.868	long	5			-6.005000000000003	-31.744999999999983
92	2011-09-07	41.631	long	5			-1.1850000000000094	-32.92999999999999
93	2011-09-08	42.53	long	5			4.4950000000000045	-28.434999999999988
94	2011-09-09	41.624	long	5			-4.529999999999994	-32.96499999999998
95	2011-09-12	40.217	long	5			-7.035000000000018	-40.0
96	2011-09-13	41.193	long	5			4.8799999999999955	-35.120000000000005
97	2011-09-14	40.533	long	5			-3.299999999999983	-38.41999999999999
98	2011-09-15	39.501	long	5			-5.160000000000018	-43.580000000000005
99	2011-09-16	40.831	long	5			6.650000000000027	-36.92999999999998
100	2011-09-19	39.163	long	5			-8.340000000000032	-45.27000000000001
101	2011-09-20	40.137	long	5			4.870000000000019	-40.39999999999999
102	2011-09-21	40.469	long	5			1.6600000000000037	-38.73999999999999
103	2011-09-22	36.578	long	5			-19.45499999999999	-58.19499999999998
104	2011-09-23	30.101	long	5			-32.38500000000002	-90.58
105	2011-09-26	29.976	long	5			-0.625	-91.205
106	2011-09-27	31.536	long	5			7.800000000000011	-83.40499999999999
107	2011-09-28	30.134	long	5			-7.010000000000005	-90.41499999999999
108	2011-09-29	30.522	long	5			1.9399999999999906	-88.475
109	2011-09-30	30.083	long	5			-2.1950000000000003	-90.66999999999999
110	2011-10-03	30.795	long	5			3.5600000000000165	-87.10999999999997
111	2011-10-04	29.839	long	5			-4.780000000000015	-91.88999999999999
112	2011-10-05	30.352	long	5			2.5650000000000084	-89.32499999999997
113	2011-10-06	32.005	long	5			8.265000000000011	-81.05999999999996
114	2011-10-07	30.993	long	5			-5.06000000000002	-86.11999999999998
115	2011-10-10	31.98	long	5			4.935000000000009	-81.18499999999997
116	2011-10-11	31.998	long	5			0.09000000000000341	-81.09499999999997
117	2011-10-12	32.789	long	5			3.955000000000002	-77.13999999999997
118	2011-10-13	31.667	long	5			-5.609999999999999	-82.74999999999997
119	2011-10-14	32.173	long	5			2.530000000000001	-80.21999999999997
