	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2020-04-08	300.8	short	1	True	1.0		
1	2020-04-09	302.5	short	2	True	2.0	-1.6999999999999886	-1.6999999999999886
2	2020-04-10		short	2	True	3.0	-0.0	-1.6999999999999886
3	2020-04-13	301.4	short	4	True	4.0	2.2000000000000455	0.5000000000000568
4	2020-04-14	298.7	short	5	True	5.0	10.799999999999955	11.300000000000011
5	2020-04-15	299.0	short	5			-1.5000000000000568	9.799999999999955
6	2020-04-16	298.6	short	5			1.9999999999998863	11.79999999999984
7	2020-04-17	297.0	short	5			8.000000000000114	19.799999999999955
8	2020-04-20	295.8	short	5			5.999999999999943	25.799999999999898
9	2020-04-21	298.6	short	5			-14.000000000000057	11.79999999999984
10	2020-04-22	296.6	short	5			10.0	21.79999999999984
11	2020-04-23	295.8	short	5			4.000000000000057	25.799999999999898
12	2020-04-24	295.3	short	5			2.5	28.299999999999898
13	2020-04-27	294.6	short	5			3.499999999999943	31.79999999999984
14	2020-04-28	293.7	short	5			4.5000000000001705	36.30000000000001
15	2020-04-29	294.6	short	5			-4.5000000000001705	31.79999999999984
16	2020-04-30	297.9	short	5			-16.499999999999773	15.300000000000068
17	2020-05-01	297.0	short	5			4.499999999999886	19.799999999999955
18	2020-05-04	294.2	short	5			14.000000000000057	33.80000000000001
19	2020-05-05	294.4	short	5			-0.9999999999999432	32.80000000000007
20	2020-05-06	294.0	short	5			1.9999999999998863	34.799999999999955
21	2020-05-07	294.1	short	5			-0.5000000000001137	34.29999999999984
22	2020-05-08	296.4	short	5			-11.499999999999773	22.800000000000068
23	2020-05-11	296.2	short	5			0.9999999999999432	23.80000000000001
24	2020-05-12	297.4	short	5			-5.999999999999943	17.800000000000068
25	2020-05-13	295.4	short	5			10.0	27.800000000000068
26	2020-05-14	293.4	short	5			10.0	37.80000000000007
27	2020-05-15	293.0	short	5			1.9999999999998863	39.799999999999955
28	2020-05-18	292.3	short	5			3.499999999999943	43.2999999999999
29	2020-05-19	292.5	short	5			-0.9999999999999432	42.299999999999955
30	2020-05-20	293.1	short	5			-3.0000000000001137	39.29999999999984
31	2020-05-21	290.9	short	5			11.000000000000227	50.30000000000007
32	2020-05-22	292.5	short	5			-8.000000000000114	42.299999999999955
33	2020-05-25		short	5			-0.0	42.299999999999955
34	2020-05-26	292.8	short	5			-1.5000000000000568	40.7999999999999
35	2020-05-27	292.2	short	5			3.0000000000001137	43.80000000000001
36	2020-05-28	293.7	short	5			-7.5	36.30000000000001
37	2020-05-29	291.8	short	5			9.499999999999886	45.7999999999999
38	2020-06-01	290.8	short	5			5.0	50.7999999999999
39	2020-06-02	292.2	short	5			-6.999999999999886	43.80000000000001
40	2020-06-03	294.3	short	5			-10.500000000000114	33.2999999999999
41	2020-06-04	297.8	short	5			-17.5	15.799999999999898
42	2020-06-05	298.2	short	5			-1.9999999999998863	13.800000000000011
43	2020-06-08	298.0	long	1	True	1.0		
