	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2006-04-10	179.4	short	1	True	1.0		
1	2006-04-11	181.5	short	2	True	2.0	-2.0999999999999943	-2.0999999999999943
2	2006-04-12	181.4	short	3	True	3.0	0.19999999999998863	-1.9000000000000057
3	2006-04-13	182.5	short	4	True	4.0	-3.299999999999983	-5.199999999999989
4	2006-04-14		short	4	True	5.0	-0.0	-5.199999999999989
5	2006-04-17	185.1	short	5			-10.399999999999977	-15.599999999999966
6	2006-04-18	185.0	short	5			0.4999999999999716	-15.099999999999994
7	2006-04-19	182.0	short	5			15.0	-0.09999999999999432
8	2006-04-20	180.5	short	5			7.5	7.400000000000006
9	2006-04-21	178.8	short	5			8.499999999999943	15.899999999999949
10	2006-04-24	180.3	short	5			-7.5	8.399999999999949
11	2006-04-25	179.8	short	5			2.5	10.899999999999949
12	2006-04-26	180.1	short	5			-1.4999999999999147	9.400000000000034
13	2006-04-27	178.8	short	5			6.499999999999915	15.899999999999949
14	2006-04-28	180.5	short	5			-8.499999999999943	7.400000000000006
15	2006-05-01	185.3	short	5			-24.000000000000057	-16.60000000000005
16	2006-05-02	184.8	short	5			2.5	-14.100000000000051
17	2006-05-03	184.4	short	5			2.0000000000000284	-12.100000000000023
18	2006-05-04	184.5	short	5			-0.4999999999999716	-12.599999999999994
19	2006-05-05	186.5	short	5			-10.0	-22.599999999999994
20	2006-05-08	185.2	short	5			6.500000000000057	-16.099999999999937
21	2006-05-09	187.0	short	5			-9.000000000000057	-25.099999999999994
22	2006-05-10	186.3	short	5			3.499999999999943	-21.60000000000005
23	2006-05-11	185.5	short	5			4.000000000000057	-17.599999999999994
24	2006-05-12	186.2	short	5			-3.499999999999943	-21.099999999999937
25	2006-05-15	186.5	short	5			-1.5000000000000568	-22.599999999999994
26	2006-05-16	186.0	short	5			2.5	-20.099999999999994
27	2006-05-17	185.8	short	5			0.9999999999999432	-19.10000000000005
28	2006-05-18	184.8	short	5			5.0	-14.100000000000051
29	2006-05-19	182.6	short	5			11.000000000000085	-3.099999999999966
30	2006-05-22	181.8	short	5			3.9999999999999147	0.8999999999999488
