,Due,Future,Month
0,1999-12-30,SMF00,F
1,2000-02-29,SMH00,H
2,2000-04-28,SMK00,K
3,2000-06-30,SMN00,N
4,2000-11-30,SMZ00,Z
5,2000-12-29,SMF01,F
6,2001-02-28,SMH01,H
7,2001-04-30,SMK01,K
8,2001-06-29,SMN01,N
9,2001-11-30,SMZ01,Z
10,2001-12-31,SMF02,F
11,2002-02-28,SMH02,H
12,2002-04-30,SMK02,K
13,2002-06-28,SMN02,N
14,2002-11-29,SMZ02,Z
15,2002-12-31,SMF03,F
16,2003-02-28,SMH03,H
17,2003-04-30,SMK03,K
18,2003-06-30,SMN03,N
19,2003-11-28,SMZ03,Z
20,2003-12-31,SMF04,F
21,2004-02-27,SMH04,H
22,2004-04-30,SMK04,K
23,2004-06-30,SMN04,N
24,2004-11-30,SMZ04,Z
25,2004-12-30,SMF05,F
26,2005-02-28,SMH05,H
27,2005-04-29,SMK05,K
28,2005-06-30,SMN05,N
29,2005-11-30,SMZ05,Z
30,2005-12-30,SMF06,F
31,2006-02-28,SMH06,H
32,2006-04-28,SMK06,K
33,2006-06-30,SMN06,N
34,2006-11-30,SMZ06,Z
35,2006-12-29,SMF07,F
36,2007-02-28,SMH07,H
37,2007-04-30,SMK07,K
38,2007-06-29,SMN07,N
39,2007-11-30,SMZ07,Z
40,2007-12-31,SMF08,F
41,2008-02-29,SMH08,H
42,2008-04-30,SMK08,K
43,2008-06-30,SMN08,N
44,2008-11-28,SMZ08,Z
45,2008-12-31,SMF09,F
46,2009-02-27,SMH09,H
47,2009-04-30,SMK09,K
48,2009-06-30,SMN09,N
49,2009-11-30,SMZ09,Z
50,2009-12-31,SMF10,F
51,2010-02-26,SMH10,H
52,2010-04-30,SMK10,K
53,2010-06-30,SMN10,N
54,2010-11-30,SMZ10,Z
55,2010-12-31,SMF11,F
56,2011-02-28,SMH11,H
57,2011-04-29,SMK11,K
58,2011-06-30,SMN11,N
59,2011-11-30,SMZ11,Z
60,2011-12-30,SMF12,F
61,2012-02-29,SMH12,H
62,2012-04-30,SMK12,K
63,2012-06-29,SMN12,N
64,2012-11-30,SMZ12,Z
65,2012-12-31,SMF13,F
66,2013-02-28,SMH13,H
67,2013-04-30,SMK13,K
68,2013-06-28,SMN13,N
69,2013-11-29,SMZ13,Z
70,2013-12-31,SMF14,F
71,2014-02-28,SMH14,H
72,2014-04-30,SMK14,K
73,2014-06-30,SMN14,N
74,2014-11-28,SMZ14,Z
75,2014-12-31,SMF15,F
76,2015-02-27,SMH15,H
77,2015-04-30,SMK15,K
78,2015-06-30,SMN15,N
79,2015-11-30,SMZ15,Z
80,2015-12-31,SMF16,F
81,2016-02-29,SMH16,H
82,2016-04-29,SMK16,K
83,2016-06-30,SMN16,N
84,2016-11-30,SMZ16,Z
85,2016-12-30,SMF17,F
86,2017-02-28,SMH17,H
87,2017-04-28,SMK17,K
88,2017-06-30,SMN17,N
89,2017-11-30,SMZ17,Z
90,2017-12-29,SMF18,F
91,2018-02-28,SMH18,H
92,2018-04-30,SMK18,K
93,2018-06-29,SMN18,N
94,2018-11-30,SMZ18,Z
95,2018-12-31,SMF19,F
96,2019-02-28,SMH19,H
97,2019-04-30,SMK19,K
98,2019-06-28,SMN19,N
99,2019-11-29,SMZ19,Z
100,2019-12-31,SMF20,F
101,2020-02-28,SMH20,H
102,2020-04-30,SMK20,K
103,2020-06-30,SMN20,N
104,2020-11-30,SMZ20,Z
105,2020-12-31,SMF21,F
106,2021-02-26,SMH21,H
107,2021-04-30,SMK21,K
108,2021-06-30,SMN21,N
109,2021-11-30,SMZ21,Z
110,2021-12-31,SMF22,F
111,2022-02-28,SMH22,H
112,2022-04-29,SMK22,K
113,2022-06-30,SMN22,N
114,2022-11-30,SMZ22,Z
115,2022-12-30,SMF23,F
116,2023-02-28,SMH23,H
117,2023-04-28,SMK23,K
118,2023-06-30,SMN23,N
119,2023-10-31,SMZ23,Z
