	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2014-06-09	648.25	short	1	True	1.0		
1	2014-06-10	637.0	short	2	True	2.0	11.25	11.25
2	2014-06-11	626.25	short	3	True	3.0	21.5	32.75
3	2014-06-12	621.0	short	4	True	4.0	15.75	48.5
4	2014-06-13	617.0	short	5	True	5.0	16.0	64.5
5	2014-06-16	611.25	short	5			28.75	93.25
6	2014-06-17	612.0	short	5			-3.75	89.5
7	2014-06-18	617.75	short	5			-28.75	60.75
8	2014-06-19	623.75	short	5			-30.0	30.75
9	2014-06-20	615.75	short	5			40.0	70.75
10	2014-06-23	612.25	short	5			17.5	88.25
11	2014-06-24	602.5	short	5			48.75	137.0
12	2014-06-25	606.0	short	5			-17.5	119.5
13	2014-06-26	604.0	short	5			10.0	129.5
14	2014-06-27	612.75	short	5			-43.75	85.75
15	2014-06-30	598.25	short	5			72.5	158.25
16	2014-07-01	595.0	short	5			16.25	174.5
17	2014-07-02	598.25	short	5			-16.25	158.25
18	2014-07-03	603.75	short	5			-27.5	130.75
19	2014-07-04		short	5			-0.0	130.75
20	2014-07-07	580.5	short	5			116.25	247.0
21	2014-07-08	580.25	short	5			1.25	248.25
22	2014-07-09	575.0	short	5			26.25	274.5
23	2014-07-10	570.5	short	5			22.5	297.0
24	2014-07-11	547.75	short	5			113.75	410.75
25	2014-07-14	560.5	short	5			-63.75	347.0
26	2014-07-15	561.0	short	5			-2.5	344.5
27	2014-07-16	562.0	short	5			-5.0	339.5
28	2014-07-17	573.5	short	5			-57.5	282.0
29	2014-07-18	556.25	short	5			86.25	368.25
30	2014-07-21	554.25	short	5			10.0	378.25
31	2014-07-22	548.75	short	5			27.5	405.75
32	2014-07-23	554.5	short	5			-28.75	377.0
33	2014-07-24	550.25	short	5			21.25	398.25
34	2014-07-25	559.75	short	5			-47.5	350.75
35	2014-07-28	557.75	short	5			10.0	360.75
36	2014-07-29	543.75	short	5			70.0	430.75
37	2014-07-30	549.5	short	5			-28.75	402.0
38	2014-07-31	550.25	short	5			-3.75	398.25
39	2014-08-01	553.25	short	5			-15.0	383.25
40	2014-08-04	564.5	short	5			-56.25	327.0
41	2014-08-05	572.75	short	5			-41.25	285.75
42	2014-08-06	586.75	short	5			-70.0	215.75
43	2014-08-07	579.0	short	5			38.75	254.5
44	2014-08-08	566.0	long	1	True	1.0		
45	2014-08-08	566.0	short	4	True	1.0	65.0	319.5
46	2014-08-11	562.75	long	2	True	2.0	-3.25	316.25
47	2014-08-11	562.75	short	3	True	2.0	13.0	329.25
48	2014-08-12	551.25	long	3	True	3.0	-23.0	306.25
49	2014-08-12	551.25	short	2	True	3.0	34.5	340.75
50	2014-08-13	545.5	long	4	True	4.0	-17.25	323.5
51	2014-08-13	545.5	short	1	True	4.0	11.5	335.0
52	2014-08-14	552.75	long	5	True	5.0	29.0	364.0
53	2014-08-14	552.75	short	0	True	5.0	-7.25	356.75
54	2014-08-15	563.5	long	5			53.75	410.5
55	2014-08-18	554.25	long	5			-46.25	364.25
56	2014-08-19	558.5	long	5			21.25	385.5
57	2014-08-20	550.0	long	5			-42.5	343.0
58	2014-08-21	555.5	long	5			27.5	370.5
59	2014-08-22	562.25	long	5			33.75	404.25
60	2014-08-25	554.5	long	5			-38.75	365.5
