	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2018-06-08	577.5	short	1	True	1.0		
1	2018-06-11	572.25	short	2	True	2.0	5.25	5.25
2	2018-06-12	590.75	short	3	True	3.0	-37.0	-31.75
3	2018-06-13	575.0	short	4	True	4.0	47.25	15.5
4	2018-06-14	560.0	short	5	True	5.0	60.0	75.5
5	2018-06-15	553.75	short	5			31.25	106.75
6	2018-06-18	539.75	short	5			70.0	176.75
7	2018-06-19	527.75	short	5			60.0	236.75
8	2018-06-20	534.0	short	5			-31.25	205.5
9	2018-06-21	539.5	short	5			-27.5	178.0
10	2018-06-22	538.5	short	5			5.0	183.0
11	2018-06-25	526.25	short	5			61.25	244.25
12	2018-06-26	517.75	short	5			42.5	286.75
13	2018-06-27	519.25	short	5			-7.5	279.25
14	2018-06-28	515.25	short	5			20.0	299.25
15	2018-06-29	532.25	short	5			-85.0	214.25
16	2018-07-02	512.5	short	5			98.75	313.0
17	2018-07-03	521.5	short	5			-45.0	268.0
18	2018-07-04		short	5			-0.0	268.0
19	2018-07-05	533.25	short	5			-58.75	209.25
20	2018-07-06	543.75	short	5			-52.5	156.75
21	2018-07-09	540.5	short	5			16.25	173.0
22	2018-07-10	527.25	short	5			66.25	239.25
23	2018-07-11	509.25	short	5			90.0	329.25
24	2018-07-12	518.25	short	5			-45.0	284.25
25	2018-07-13	527.5	short	5			-46.25	238.0
26	2018-07-16	519.0	short	5			42.5	280.5
27	2018-07-17	526.0	short	5			-35.0	245.5
28	2018-07-18	526.25	short	5			-1.25	244.25
29	2018-07-19	536.0	short	5			-48.75	195.5
30	2018-07-20	548.75	short	5			-63.75	131.75
31	2018-07-23	549.5	short	5			-3.75	128.0
32	2018-07-24	546.5	short	5			15.0	143.0
33	2018-07-25	576.75	short	5			-151.25	-8.25
34	2018-07-26	572.0	short	5			23.75	15.5
35	2018-07-27	566.0	short	5			30.0	45.5
36	2018-07-30	581.75	short	5			-78.75	-33.25
37	2018-07-31	587.75	short	5			-30.0	-63.25
38	2018-08-01	594.0	short	5			-31.25	-94.5
39	2018-08-02	600.0	short	5			-30.0	-124.5
40	2018-08-03	599.25	short	5			3.75	-120.75
41	2018-08-06	615.0	short	5			-78.75	-199.5
42	2018-08-07	609.25	short	5			28.75	-170.75
43	2018-08-08	611.5	short	4	True	1.0	-11.25	-182.0
44	2018-08-09	607.0	short	3	True	2.0	18.0	-164.0
45	2018-08-10	591.0	short	2	True	3.0	48.0	-116.0
46	2018-08-13	575.5	short	1	True	4.0	31.0	-85.0
47	2018-08-14	582.75	short	0	True	5.0	-7.25	-92.25
48	2018-11-08	519.75	long	1	True	1.0		
49	2018-11-09	512.25	long	2	True	2.0	-7.5	-99.75
50	2018-11-12	526.5	long	3	True	3.0	28.5	-71.25
51	2018-11-13	517.75	long	4	True	4.0	-26.25	-97.5
52	2018-11-14	512.0	long	5	True	5.0	-23.0	-120.5
53	2018-11-15	514.75	long	5			13.75	-106.75
54	2018-11-16	515.25	long	5			2.5	-104.25
55	2018-11-19	506.5	long	5			-43.75	-148.0
56	2018-11-20	508.5	long	5			10.0	-138.0
57	2018-11-21	506.75	long	5			-8.75	-146.75
58	2018-11-22		long	5			0.0	-146.75
59	2018-11-23	507.25	long	5			2.5	-144.25
60	2018-11-26	514.0	long	5			33.75	-110.5
61	2018-11-27	506.5	long	5			-37.5	-148.0
62	2018-11-28	511.5	long	5			25.0	-123.0
63	2018-11-29	507.75	long	5			-18.75	-141.75
64	2018-11-30	515.75	long	5			40.0	-101.75
65	2018-12-03	521.25	long	5			27.5	-74.25
66	2018-12-04	522.5	long	5			6.25	-68.0
67	2018-12-05	518.0	long	5			-22.5	-90.5
68	2018-12-06	515.5	long	5			-12.5	-103.0
69	2018-12-07	531.25	long	5			78.75	-24.25
70	2018-12-10	525.25	long	5			-30.0	-54.25
71	2018-12-11	521.0	long	5			-21.25	-75.5
72	2018-12-12	526.5	long	5			27.5	-48.0
73	2018-12-13	536.0	long	5			47.5	-0.5
74	2018-12-14	530.0	long	5			-30.0	-30.5
75	2018-12-17	535.25	long	5			26.25	-4.25
76	2018-12-18	532.75	long	5			-12.5	-16.75
77	2018-12-19	522.5	long	5			-51.25	-68.0
78	2018-12-20	523.5	long	5			5.0	-63.0
79	2018-12-21	514.0	long	5			-47.5	-110.5
80	2018-12-24	516.5	long	5			12.5	-98.0
81	2018-12-25		long	5			0.0	-98.0
