	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-08-08	829.0	short	1	True	1.0		
1	2022-08-09	827.5	short	2	True	2.0	1.5	1.5
2	2022-08-10	843.25	short	3	True	3.0	-31.5	-30.0
3	2022-08-11	850.75	short	4	True	4.0	-22.5	-52.5
4	2022-08-12	844.5	short	5	True	5.0	25.0	-27.5
5	2022-08-15	840.75	short	5			18.75	-8.75
6	2022-08-16	825.75	short	5			75.0	66.25
7	2022-08-17	805.75	short	5			100.0	166.25
8	2022-08-18	776.75	short	5			145.0	311.25
9	2022-08-19	797.5	short	5			-103.75	207.5
10	2022-08-22	815.0	short	5			-87.5	120.0
11	2022-08-23	827.5	short	5			-62.5	57.5
12	2022-08-24	837.25	short	5			-48.75	8.75
13	2022-08-25	813.75	short	5			117.5	126.25
14	2022-08-26	830.5	short	5			-83.75	42.5
15	2022-08-29	864.75	short	5			-171.25	-128.75
16	2022-08-30	845.0	short	5			98.75	-30.0
17	2022-08-31	856.75	short	5			-58.75	-88.75
18	2022-09-01	821.0	short	5			178.75	90.0
19	2022-09-02	837.25	short	5			-81.25	8.75
20	2022-09-05		short	5			-0.0	8.75
21	2022-09-06	841.0	short	5			-18.75	-10.0
22	2022-09-07	863.75	short	5			-113.75	-123.75
23	2022-09-08	852.75	short	5			55.0	-68.75
24	2022-09-09	890.5	short	5			-188.75	-257.5
25	2022-09-12	881.25	short	5			46.25	-211.25
26	2022-09-13	886.25	short	5			-25.0	-236.25
27	2022-09-14	897.0	short	5			-53.75	-290.0
28	2022-09-15	869.5	short	5			137.5	-152.5
29	2022-09-16	884.0	short	5			-72.5	-225.0
30	2022-09-19	855.75	short	5			141.25	-83.75
31	2022-09-20	914.75	short	5			-295.0	-378.75
32	2022-09-21	921.75	short	5			-35.0	-413.75
33	2022-09-22	927.5	short	5			-28.75	-442.5
34	2022-09-23	900.75	short	5			133.75	-308.75
35	2022-09-26	877.75	short	5			115.0	-193.75
36	2022-09-27	890.5	short	5			-63.75	-257.5
37	2022-09-28	920.5	short	5			-150.0	-407.5
38	2022-09-29	914.75	short	5			28.75	-378.75
39	2022-09-30	936.75	short	5			-110.0	-488.75
40	2022-10-03	931.25	short	5			27.5	-461.25
41	2022-10-04	921.75	short	5			47.5	-413.75
42	2022-10-05	922.25	short	5			-2.5	-416.25
43	2022-10-06	900.5	short	5			108.75	-307.5
44	2022-10-07	903.25	short	5			-13.75	-321.25
45	2022-10-10	956.0	short	5			-263.75	-585.0
46	2022-10-11	924.0	short	5			160.0	-425.0
47	2022-10-12	907.25	short	5			83.75	-341.25
48	2022-10-13	915.5	short	5			-41.25	-382.5
49	2022-10-14	885.5	short	5			150.0	-232.5
50	2022-10-17	887.5	short	5			-10.0	-242.5
51	2022-10-18	876.75	short	5			53.75	-188.75
52	2022-10-19	868.75	short	5			40.0	-148.75
53	2022-10-20	878.0	short	5			-46.25	-195.0
54	2022-10-21	879.5	short	5			-7.5	-202.5
55	2022-10-24	868.5	short	5			55.0	-147.5
56	2022-10-25	865.25	short	5			16.25	-131.25
57	2022-10-26	869.75	short	5			-22.5	-153.75
58	2022-10-27	868.5	short	5			6.25	-147.5
59	2022-10-28	860.0	short	5			42.5	-105.0
60	2022-10-31	907.5	short	5			-237.5	-342.5
61	2022-11-01	924.75	short	5			-86.25	-428.75
62	2022-11-02	873.5	short	5			256.25	-172.5
63	2022-11-03	869.75	short	5			18.75	-153.75
64	2022-11-04	877.25	short	5			-37.5	-191.25
65	2022-11-07	874.25	short	5			15.0	-176.25
66	2022-11-08	858.0	short	4	True	1.0	81.25	-95.0
67	2022-11-09	839.25	short	3	True	2.0	75.0	-20.0
68	2022-11-10	837.0	short	2	True	3.0	6.75	-13.25
69	2022-11-11	846.5	short	1	True	4.0	-19.0	-32.25
70	2022-11-14	849.25	short	0	True	5.0	-2.75	-35.0
71	2023-02-08	775.0	long	1	True	1.0		
72	2023-02-09	768.0	long	2	True	2.0	-7.0	-42.0
73	2023-02-10	795.75	long	3	True	3.0	55.5	13.5
74	2023-02-13	800.75	long	4	True	4.0	15.0	28.5
75	2023-02-14	796.75	long	5	True	5.0	-16.0	12.5
76	2023-02-15	780.25	long	5			-82.5	-70.0
77	2023-02-16	776.25	long	5			-20.0	-90.0
78	2023-02-17	776.25	long	5			0.0	-90.0
79	2023-02-20		long	5			0.0	-90.0
80	2023-02-21	762.75	long	5			-67.5	-157.5
